gene	direction	mean_log2fc	meta_pvalue	meta_fdr	pathways	is_known_target
SPI1	up	0.9050278144365347	2.9482894711337875e-08	8.368622072349925e-07	GOBP_CONNECTIVE_TISSUE_DEVELOPMENT	False
MAF	down	-0.5781074026826136	3.009650267394472e-08	8.524970423609987e-07	GOBP_CONNECTIVE_TISSUE_DEVELOPMENT	False
PMEPA1	up	0.5405761929316457	3.0376368879692246e-08	8.598045655778281e-07	GOBP_NEGATIVE_REGULATION_OF_SMAD_PROTEIN_SIGNAL_TRANSDUCTION; GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY; GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS; GOBP_REGULATION_OF_SMAD_PROTEIN_SIGNAL_TRANSDUCTION; GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA; GOBP_SMAD_PROTEIN_SIGNAL_TRANSDUCTION; GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; HALLMARK_TGF_BETA_SIGNALING; REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING; REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS; REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX; REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS	False
PDGFB	up	0.24700140774921375	3.0396704665424546e-08	8.598045655778281e-07	GOBP_CONNECTIVE_TISSUE_DEVELOPMENT; GOBP_NEGATIVE_REGULATION_OF_WOUND_HEALING; GOBP_REGULATION_OF_WOUND_HEALING; GOBP_WOUND_HEALING; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	False
PPARA	down	-0.5458443061545042	3.0534587964055505e-08	8.631053691546904e-07	GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY; GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS; GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA; GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY; GOBP_WOUND_HEALING	False
CTDSPL2	down	-0.4191022957345574	3.253314316702214e-08	9.132598121841115e-07	GOBP_NEGATIVE_REGULATION_OF_BMP_SIGNALING_PATHWAY; GOBP_REGULATION_OF_BMP_SIGNALING_PATHWAY; GOBP_RESPONSE_TO_BMP	False
GSK3A	down	-0.13364002971235145	3.276680000111323e-08	9.191854666978953e-07	GOBP_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_NEGATIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_NEGATIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_WNT_SIGNALING_PATHWAY	False
CD59	up	0.5819033729110834	3.3273592754799834e-08	9.314776495453656e-07	GOBP_WOUND_HEALING; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	False
GIPC1	up	0.39733129153597657	3.493506003871928e-08	9.746403188336395e-07	GOBP_POSITIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS; GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS; GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA; GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY; REACTOME_SIGNALING_BY_TGFBR3; REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS; REACTOME_TGFBR3_REGULATES_TGF_BETA_SIGNALING	False
TMEM88	up	0.4450660297623179	3.5759598321508185e-08	9.935606813312901e-07	GOBP_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_NEGATIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_NEGATIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_WNT_SIGNALING_PATHWAY	False
LAMA4	up	0.5896719995065292	3.593184903649149e-08	9.969864270806345e-07	REACTOME_ECM_PROTEOGLYCANS; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_LAMININ_INTERACTIONS; REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	False
ERLIN2	down	-0.3411777287485467	3.6663077633802835e-08	1.0158914817551409e-06	REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS	False
CDH11	up	0.9837757966187384	3.73152578129682e-08	1.0324530619535907e-06	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	False
ANXA2	up	0.3407573985585959	3.753615303154764e-08	1.037260912673676e-06	GOBP_COLLAGEN_FIBRIL_ORGANIZATION; GOBP_NEGATIVE_REGULATION_OF_WOUND_HEALING; GOBP_REGULATION_OF_WOUND_HEALING; GOBP_WOUND_HEALING	False
COL5A1	up	1.0759320928655842	3.815448366373028e-08	1.0536328329430927e-06	GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS; GOBP_COLLAGEN_FIBRIL_ORGANIZATION; GOBP_COLLAGEN_METABOLIC_PROCESS; GOBP_CONNECTIVE_TISSUE_DEVELOPMENT; GOBP_INTEGRIN_BIOSYNTHETIC_PROCESS; GOBP_WOUND_HEALING; GOBP_WOUND_HEALING_SPREADING_OF_EPIDERMAL_CELLS; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES; REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES; REACTOME_COLLAGEN_CHAIN_TRIMERIZATION; REACTOME_COLLAGEN_DEGRADATION; REACTOME_COLLAGEN_FORMATION; REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX; REACTOME_ECM_PROTEOGLYCANS; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS; REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	False
RNF5	down	-0.4380993767825654	4.020908501049835e-08	1.102151043504454e-06	REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS	False
KRT6A	up	0.7029551511527062	4.055649411237728e-08	1.110926105033861e-06	GOBP_WOUND_HEALING	False
EMILIN1	up	0.2017291085402917	4.65149096018204e-08	1.250590955710461e-06	GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN; GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS; GOBP_COLLAGEN_FIBRIL_ORGANIZATION; GOBP_COLLAGEN_METABOLIC_PROCESS; GOBP_EXTRACELLULAR_MATRIX_ASSEMBLY; GOBP_NEGATIVE_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS; GOBP_NEGATIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION; GOBP_NEGATIVE_REGULATION_OF_SMAD_PROTEIN_SIGNAL_TRANSDUCTION; GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ASSEMBLY; GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION; GOBP_POSITIVE_REGULATION_OF_WOUND_HEALING; GOBP_REGULATION_OF_COLLAGEN_FIBRIL_ORGANIZATION; GOBP_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS; GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ASSEMBLY; GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION; GOBP_REGULATION_OF_SMAD_PROTEIN_SIGNAL_TRANSDUCTION; GOBP_REGULATION_OF_WOUND_HEALING; GOBP_SMAD_PROTEIN_SIGNAL_TRANSDUCTION; GOBP_WOUND_HEALING; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	False
CHST7	up	0.556319459552741	4.919660857515557e-08	1.3131561339994997e-06	GOBP_CHONDROITIN_SULFATE_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS; GOBP_CHONDROITIN_SULFATE_PROTEOGLYCAN_METABOLIC_PROCESS; GOBP_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS; GOBP_PROTEOGLYCAN_METABOLIC_PROCESS	False
RXRA	down	-0.3678886715479972	5.213768903033208e-08	1.3853048594804217e-06	REACTOME_SIGNALING_BY_TGFBR3; REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS; REACTOME_TGFBR3_EXPRESSION	False
ICAM4	up	0.6108190395455972	5.2415377784913114e-08	1.389962999957735e-06	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	False
HSPA5	up	0.41720461580164514	5.349825393291625e-08	1.4159135017514908e-06	GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY; GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS; GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA; GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY	False
LYN	up	0.7450858049793121	5.5086114611810195e-08	1.453217370704827e-06	GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN; GOBP_REGULATION_OF_CELL_ADHESION_MEDIATED_BY_INTEGRIN; GOBP_WOUND_HEALING; REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN	False
RNF14	down	-0.28514857254246206	5.573968128831003e-08	1.4660684858111706e-06	GOBP_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_WNT_SIGNALING_PATHWAY	False
ANXA1	up	1.2666631149682779	5.5926819556133326e-08	1.4687370819860882e-06	GOBP_POSITIVE_REGULATION_OF_WOUND_HEALING; GOBP_REGULATION_OF_WOUND_HEALING; GOBP_WOUND_HEALING	False
RORC	down	-0.42575581458172485	5.982609331903701e-08	1.5600745410185758e-06	GOBP_CONNECTIVE_TISSUE_DEVELOPMENT	False
NOTUM	up	0.3415244864720064	6.29812341185124e-08	1.636066089359214e-06	GOBP_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_NEGATIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_NEGATIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_WNT_SIGNALING_PATHWAY; KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_WNT_INHIBITOR	False
SPIN1	down	-0.3447375176953842	6.491970167644704e-08	1.6789265324984385e-06	GOBP_POSITIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_WNT_SIGNALING_PATHWAY	False
BRD7	down	-0.13635803854855144	6.800663732567844e-08	1.7465613818092901e-06	GOBP_WNT_SIGNALING_PATHWAY	False
RAPGEF4	up	0.9574646941996485	7.06020593111561e-08	1.805249893196491e-06	REACTOME_INTEGRIN_SIGNALING	False
FGFR3	down	-0.7593057188639125	7.338573211031412e-08	1.8693856412240868e-06	GOBP_CONNECTIVE_TISSUE_DEVELOPMENT	False
PRKG2	down	-1.3734641605751552	8.269191488770064e-08	2.0676532088433532e-06	GOBP_CONNECTIVE_TISSUE_DEVELOPMENT; REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING; REACTOME_SIGNALING_BY_WNT	False
EPHA2	up	0.6740489847723214	8.436151852801679e-08	2.101659555157908e-06	GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN; GOBP_REGULATION_OF_CELL_ADHESION_MEDIATED_BY_INTEGRIN	False
RARA	down	-0.6289277461069971	8.67301166843778e-08	2.1514562197247724e-06	GOBP_CONNECTIVE_TISSUE_DEVELOPMENT; GOBP_HIPPOCAMPUS_DEVELOPMENT; REACTOME_SIGNALING_BY_TGFBR3; REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS; REACTOME_TGFBR3_EXPRESSION	False
TLL1	up	0.13299825672179172	8.802172634084331e-08	2.1808399983669283e-06	GOBP_COLLAGEN_FIBRIL_ORGANIZATION; REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES; REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES; REACTOME_COLLAGEN_FORMATION; REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS; REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	False
NID2	up	0.4852111164567051	8.835446489710138e-08	2.1877209823585176e-06	GOBP_BASEMENT_MEMBRANE_ORGANIZATION; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_LAMININ_INTERACTIONS	False
SLC26A2	down	-1.01096492129083	8.874943575846677e-08	2.193532777496279e-06	GOBP_CONNECTIVE_TISSUE_DEVELOPMENT	False
KPNA1	down	-0.2711089478700892	9.762090643184696e-08	2.3924757886774915e-06	GOBP_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_WNT_SIGNALING_PATHWAY	False
HTRA1	up	0.7821307290483417	1.0160339486664085e-07	2.479634199944886e-06	GOBP_NEGATIVE_REGULATION_OF_BMP_SIGNALING_PATHWAY; GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY; GOBP_REGULATION_OF_BMP_SIGNALING_PATHWAY; GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS; GOBP_RESPONSE_TO_BMP; GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA; GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	False
CHST12	up	0.5513919270901166	1.0206301961442249e-07	2.4893598293021897e-06	GOBP_CHONDROITIN_SULFATE_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS; GOBP_CHONDROITIN_SULFATE_PROTEOGLYCAN_METABOLIC_PROCESS; GOBP_DERMATAN_SULFATE_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS; GOBP_DERMATAN_SULFATE_PROTEOGLYCAN_METABOLIC_PROCESS; GOBP_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS; GOBP_PROTEOGLYCAN_METABOLIC_PROCESS	False
HYAL1	up	1.0520009227198286	1.0679675959321799e-07	2.5893128641374735e-06	GOBP_CHONDROITIN_SULFATE_PROTEOGLYCAN_METABOLIC_PROCESS; GOBP_CONNECTIVE_TISSUE_DEVELOPMENT; GOBP_PROTEOGLYCAN_METABOLIC_PROCESS	False
KLKB1	down	-0.650830735000921	1.1655745353674193e-07	2.7927165867403366e-06	GOBP_NEGATIVE_REGULATION_OF_WOUND_HEALING; GOBP_REGULATION_OF_WOUND_HEALING; GOBP_WOUND_HEALING; REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES; REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	False
ADAMTS9	up	1.2556673122602162	1.195111848381646e-07	2.855090663242299e-06	REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	False
RAF1	down	-0.2704254453049244	1.2280946580988792e-07	2.927018818822911e-06	GOBP_WOUND_HEALING; KEGG_MEDICUS_REFERENCE_TGFA_EGFR_RAS_ERK_SIGNALING_PATHWAY	False
