gene	direction	tl1a_dr3_components	n_components	msigdb_pathways	n_msigdb_pathways
SMAD3	up	ALK5_TGFB_AXIS	1	GOBP_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_CONNECTIVE_TISSUE_DEVELOPMENT; GOBP_EXTRACELLULAR_MATRIX_ASSEMBLY; GOBP_NEGATIVE_REGULATION_OF_WOUND_HEALING; GOBP_POSITIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ASSEMBLY; GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION; GOBP_POSITIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION; GOBP_POSITIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS; GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ASSEMBLY; GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION; GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_WOUND_HEALING; GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA; GOBP_SMAD_PROTEIN_SIGNAL_TRANSDUCTION; GOBP_TRANSFORMING_GROWTH_FACTOR_BETA2_PRODUCTION; GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION; GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY; GOBP_WNT_SIGNALING_PATHWAY; GOBP_WOUND_HEALING; HALLMARK_TGF_BETA_SIGNALING; KEGG_MEDICUS_REFERENCE_TGF_BETA_SIGNALING_PATHWAY; REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY; REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING; REACTOME_LOSS_OF_FUNCTION_OF_SMAD2_3_IN_CANCER; REACTOME_SIGNALING_BY_TGFBR3; REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS; REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX; REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX_IN_CANCER; REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION; REACTOME_TGFBR3_EXPRESSION; REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS; REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER	35
TGFBR1	up	ALK5_TGFB_AXIS	1	GOBP_COLLAGEN_FIBRIL_ORGANIZATION; GOBP_CONNECTIVE_TISSUE_DEVELOPMENT; GOBP_EXTRACELLULAR_MATRIX_ASSEMBLY; GOBP_MYOFIBROBLAST_DIFFERENTIATION; GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ASSEMBLY; GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION; GOBP_POSITIVE_REGULATION_OF_SMAD_PROTEIN_SIGNAL_TRANSDUCTION; GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ASSEMBLY; GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION; GOBP_REGULATION_OF_SMAD_PROTEIN_SIGNAL_TRANSDUCTION; GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA; GOBP_SMAD_PROTEIN_SIGNAL_TRANSDUCTION; GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY; GOBP_WOUND_HEALING; HALLMARK_TGF_BETA_SIGNALING; KEGG_MEDICUS_REFERENCE_TGF_BETA_SIGNALING_PATHWAY; REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING; REACTOME_LOSS_OF_FUNCTION_OF_SMAD2_3_IN_CANCER; REACTOME_SIGNALING_BY_TGFBR3; REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS; REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX; REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX_IN_CANCER; REACTOME_TGFBR3_REGULATES_TGF_BETA_SIGNALING; REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS; REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	25
COL1A2	up	TL1A_FIBROBLAST_EFFECTORS	1	GOBP_COLLAGEN_FIBRIL_ORGANIZATION; GOBP_COLLAGEN_METABOLIC_PROCESS; GOBP_EXTRACELLULAR_MATRIX_ASSEMBLY; GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA; GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES; REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES; REACTOME_COLLAGEN_CHAIN_TRIMERIZATION; REACTOME_COLLAGEN_DEGRADATION; REACTOME_COLLAGEN_FORMATION; REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS; REACTOME_DEFECTS_OF_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN; REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX; REACTOME_ECM_PROTEOGLYCANS; REACTOME_ENHANCED_BINDING_OF_GP1BA_VARIANT_TO_VWF_MULTIMER_COLLAGEN; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS; REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS; REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN; REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS; REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX; REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION; REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER	24
SMAD2	up	ALK5_TGFB_AXIS	1	GOBP_POSITIVE_REGULATION_OF_BMP_SIGNALING_PATHWAY; GOBP_REGULATION_OF_BMP_SIGNALING_PATHWAY; GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS; GOBP_RESPONSE_TO_BMP; GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA; GOBP_SMAD_PROTEIN_SIGNAL_TRANSDUCTION; GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY; KEGG_MEDICUS_REFERENCE_TGF_BETA_SIGNALING_PATHWAY; REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY; REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING; REACTOME_LOSS_OF_FUNCTION_OF_SMAD2_3_IN_CANCER; REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS; REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX; REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX_IN_CANCER; REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION; REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS; REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER	17
COL4A1	up	TL1A_FIBROBLAST_EFFECTORS	1	GOBP_BASEMENT_MEMBRANE_ORGANIZATION; GOBP_COLLAGEN_ACTIVATED_SIGNALING_PATHWAY; GOBP_COLLAGEN_ACTIVATED_TYROSINE_KINASE_RECEPTOR_SIGNALING_PATHWAY; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES; REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES; REACTOME_COLLAGEN_CHAIN_TRIMERIZATION; REACTOME_COLLAGEN_DEGRADATION; REACTOME_COLLAGEN_FORMATION; REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS; REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX; REACTOME_ECM_PROTEOGLYCANS; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS; REACTOME_LAMININ_INTERACTIONS; REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	16
GREM1	up	TL1A_FIBROBLAST_EFFECTORS	1	GOBP_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_COLLAGEN_FIBRIL_ORGANIZATION; GOBP_CONNECTIVE_TISSUE_DEVELOPMENT; GOBP_NEGATIVE_REGULATION_OF_BMP_SIGNALING_PATHWAY; GOBP_NEGATIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_NEGATIVE_REGULATION_OF_SMAD_PROTEIN_SIGNAL_TRANSDUCTION; GOBP_NEGATIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_BMP_SIGNALING_PATHWAY; GOBP_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_SMAD_PROTEIN_SIGNAL_TRANSDUCTION; GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_RESPONSE_TO_BMP; GOBP_SMAD_PROTEIN_SIGNAL_TRANSDUCTION; GOBP_WNT_SIGNALING_PATHWAY; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; KEGG_MEDICUS_REFERENCE_BMP_SIGNALING_PATHWAY_BMP_ANTAGONIST	16
TGFBR2	up	ALK5_TGFB_AXIS	1	GOBP_CONNECTIVE_TISSUE_DEVELOPMENT; GOBP_POSITIVE_REGULATION_OF_SMAD_PROTEIN_SIGNAL_TRANSDUCTION; GOBP_REGULATION_OF_SMAD_PROTEIN_SIGNAL_TRANSDUCTION; GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA; GOBP_SMAD_PROTEIN_SIGNAL_TRANSDUCTION; GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY; KEGG_MEDICUS_REFERENCE_TGF_BETA_SIGNALING_PATHWAY; REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING; REACTOME_LOSS_OF_FUNCTION_OF_SMAD2_3_IN_CANCER; REACTOME_SIGNALING_BY_TGFBR3; REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS; REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX; REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX_IN_CANCER; REACTOME_TGFBR3_REGULATES_TGF_BETA_SIGNALING; REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS; REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	16
TIMP1	up	TL1A_FIBROBLAST_EFFECTORS	1	GOBP_CONNECTIVE_TISSUE_DEVELOPMENT; GOBP_CONNECTIVE_TISSUE_REPLACEMENT; GOBP_CONNECTIVE_TISSUE_REPLACEMENT_INVOLVED_IN_INFLAMMATORY_RESPONSE_WOUND_HEALING; GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY; GOBP_REGULATION_OF_INTEGRIN_MEDIATED_SIGNALING_PATHWAY; GOBP_WOUND_HEALING; GOBP_WOUND_HEALING_INVOLVED_IN_INFLAMMATORY_RESPONSE; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES; REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_SIGNALING_BY_TGFBR3; REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS; REACTOME_TGFBR3_PTM_REGULATION	14
FAP	up	TL1A_FIBROBLAST_EFFECTORS	1	GOBP_COLLAGEN_CATABOLIC_PROCESS; GOBP_COLLAGEN_METABOLIC_PROCESS; GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY; GOBP_NEGATIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_DISASSEMBLY; GOBP_NEGATIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION; GOBP_NEGATIVE_REGULATION_OF_WOUND_HEALING; GOBP_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS; GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_DISASSEMBLY; GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION; GOBP_REGULATION_OF_WOUND_HEALING; GOBP_WOUND_HEALING; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	12
MAPK14	up	TL1A_DR3_SIGNALING	1	GOBP_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_CONNECTIVE_TISSUE_DEVELOPMENT; GOBP_HIPPO_SIGNALING; GOBP_NEGATIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_NEGATIVE_REGULATION_OF_HIPPO_SIGNALING; GOBP_NEGATIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_HIPPO_SIGNALING; GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_WNT_SIGNALING_PATHWAY; GOBP_WOUND_HEALING	11
PTK2	up	RHO_GTPASE_CASCADE	1	GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN; GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY; GOBP_POSITIVE_REGULATION_OF_WOUND_HEALING; GOBP_REGULATION_OF_CELL_ADHESION_MEDIATED_BY_INTEGRIN; GOBP_REGULATION_OF_WOUND_HEALING; GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA; GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY; GOBP_WOUND_HEALING; REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS; REACTOME_INTEGRIN_SIGNALING; REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS	11
LOX	up	TL1A_FIBROBLAST_EFFECTORS	1	GOBP_COLLAGEN_FIBRIL_ORGANIZATION; GOBP_CONNECTIVE_TISSUE_DEVELOPMENT; GOBP_EXTRACELLULAR_MATRIX_ASSEMBLY; GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS; GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA; GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES; REACTOME_COLLAGEN_FORMATION; REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	11
MMP14	up	TL1A_FIBROBLAST_EFFECTORS	1	GOBP_COLLAGEN_CATABOLIC_PROCESS; GOBP_COLLAGEN_METABOLIC_PROCESS; GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES; REACTOME_COLLAGEN_DEGRADATION; REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_SIGNALING_BY_TGFBR3; REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS; REACTOME_TGFBR3_PTM_REGULATION	11
IL6	up	TL1A_FIBROBLAST_EFFECTORS	1	GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS; GOBP_COLLAGEN_METABOLIC_PROCESS; GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY; GOBP_NEGATIVE_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS; GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_DISASSEMBLY; GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION; GOBP_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS; GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_DISASSEMBLY; GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION; GOBP_WOUND_HEALING; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	11
SNAI2	up	ALK5_TGFB_AXIS	1	GOBP_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN; GOBP_CONNECTIVE_TISSUE_DEVELOPMENT; GOBP_NEGATIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_NEGATIVE_REGULATION_OF_CELL_ADHESION_MEDIATED_BY_INTEGRIN; GOBP_NEGATIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_CELL_ADHESION_MEDIATED_BY_INTEGRIN; GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_WNT_SIGNALING_PATHWAY; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	11
RHOA	up	RHO_GTPASE_CASCADE	1	GOBP_NON_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_WNT_SIGNALING_PATHWAY; GOBP_WNT_SIGNALING_PATHWAY_PLANAR_CELL_POLARITY_PATHWAY; GOBP_WOUND_HEALING; HALLMARK_TGF_BETA_SIGNALING; REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING; REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS; REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX; REACTOME_SIGNALING_BY_WNT; REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	10
MMP9	up	TL1A_FIBROBLAST_EFFECTORS	1	GOBP_COLLAGEN_CATABOLIC_PROCESS; GOBP_COLLAGEN_METABOLIC_PROCESS; GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY; REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES; REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES; REACTOME_COLLAGEN_DEGRADATION; REACTOME_COLLAGEN_FORMATION; REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	9
MMP2	up	TL1A_FIBROBLAST_EFFECTORS	1	GOBP_COLLAGEN_CATABOLIC_PROCESS; GOBP_COLLAGEN_METABOLIC_PROCESS; GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES; REACTOME_COLLAGEN_DEGRADATION; REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	8
TNF	up	TL1A_FIBROBLAST_EFFECTORS	1	GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING; GOBP_NEGATIVE_REGULATION_OF_VASCULAR_WOUND_HEALING; GOBP_NEGATIVE_REGULATION_OF_WOUND_HEALING; GOBP_REGULATION_OF_VASCULAR_WOUND_HEALING; GOBP_REGULATION_OF_WOUND_HEALING; GOBP_VASCULAR_WOUND_HEALING; GOBP_WOUND_HEALING	7
CDH2	up	ALK5_TGFB_AXIS	1	GOBP_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_NEGATIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_NEGATIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_WNT_SIGNALING_PATHWAY; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	7
NFKB1	up	TL1A_DR3_SIGNALING	1	GOBP_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_POSITIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_POSITIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_WNT_SIGNALING_PATHWAY	6
RAC1	up	RHO_GTPASE_CASCADE	1	GOBP_NON_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_WNT_SIGNALING_PATHWAY; GOBP_WNT_SIGNALING_PATHWAY_PLANAR_CELL_POLARITY_PATHWAY; REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING; REACTOME_SEMA3A_PLEXIN_REPULSION_SIGNALING_BY_INHIBITING_INTEGRIN_ADHESION; REACTOME_SIGNALING_BY_WNT	6
MAP3K7	up	TL1A_DR3_SIGNALING	1	GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA; GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY; HALLMARK_TGF_BETA_SIGNALING; REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING; REACTOME_SIGNALING_BY_WNT	5
CDC42	up	RHO_GTPASE_CASCADE	1	GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY; GOBP_NON_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_WNT_SIGNALING_PATHWAY; GOBP_WNT_SIGNALING_PATHWAY_PLANAR_CELL_POLARITY_PATHWAY	4
ROCK1	up	RHO_GTPASE_CASCADE	1	GOBP_CONNECTIVE_TISSUE_REPLACEMENT; GOBP_POSITIVE_REGULATION_OF_CONNECTIVE_TISSUE_REPLACEMENT; GOBP_REGULATION_OF_CONNECTIVE_TISSUE_REPLACEMENT; GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA	4
ROCK2	up	RHO_GTPASE_CASCADE	1	GOBP_CONNECTIVE_TISSUE_REPLACEMENT; GOBP_POSITIVE_REGULATION_OF_CONNECTIVE_TISSUE_REPLACEMENT; GOBP_REGULATION_OF_CONNECTIVE_TISSUE_REPLACEMENT; GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA	4
SNAI1	up	ALK5_TGFB_AXIS	1	GOBP_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_CONNECTIVE_TISSUE_DEVELOPMENT; GOBP_WNT_SIGNALING_PATHWAY; REACTOME_EPITHELIAL_MESENCHYMAL_TRANSITION_EMT_DURING_GASTRULATION	4
PXN	up	RHO_GTPASE_CASCADE	1	GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA; GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY; REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS	3
RAC2	up	RHO_GTPASE_CASCADE	1	REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING; REACTOME_SIGNALING_BY_WNT	2
MYH9	up	RHO_GTPASE_CASCADE	1	GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY; GOBP_WOUND_HEALING	2
MYL9	up	RHO_GTPASE_CASCADE	1	GOBP_WOUND_HEALING; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2
POSTN	up	TL1A_FIBROBLAST_EFFECTORS	1	GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2
IL13	up	TL1A_FIBROBLAST_EFFECTORS	1	GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION; GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION	2
RHOB	up	RHO_GTPASE_CASCADE	1	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1
RHOC	up	RHO_GTPASE_CASCADE	1	GOBP_WOUND_HEALING	1
DIAPH3	up	RHO_GTPASE_CASCADE	1	GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY	1
VCL	up	RHO_GTPASE_CASCADE	1	GOBP_WOUND_HEALING	1
TNFSF15	up	TL1A_DR3_SIGNALING	1		0
TNFRSF25	up	TL1A_DR3_SIGNALING	1		0
TNFRSF6B	up	TL1A_DR3_SIGNALING	1		0
NFKB2	up	TL1A_DR3_SIGNALING	1		0
RELA	up	TL1A_DR3_SIGNALING	1		0
RELB	up	TL1A_DR3_SIGNALING	1		0
NFKBIA	up	TL1A_DR3_SIGNALING	1		0
IKBKB	up	TL1A_DR3_SIGNALING	1		0
TRAF2	up	TL1A_DR3_SIGNALING	1		0
TRAF5	up	TL1A_DR3_SIGNALING	1		0
RIPK1	up	TL1A_DR3_SIGNALING	1		0
MAPK8	up	TL1A_DR3_SIGNALING	1		0
ARHGEF2	up	RHO_GTPASE_CASCADE	1		0
ECT2	up	RHO_GTPASE_CASCADE	1		0
NET1	up	RHO_GTPASE_CASCADE	1		0
LIMK1	up	RHO_GTPASE_CASCADE	1		0
LIMK2	up	RHO_GTPASE_CASCADE	1		0
MYH10	up	RHO_GTPASE_CASCADE	1		0
DIAPH1	up	RHO_GTPASE_CASCADE	1		0
IL1B	up	TL1A_FIBROBLAST_EFFECTORS	1		0
IL33	up	TL1A_FIBROBLAST_EFFECTORS	1		0
IL17A	up	TL1A_FIBROBLAST_EFFECTORS	1		0
CXCL9	up	TL1A_FIBROBLAST_EFFECTORS	1		0
CCL2	up	TL1A_FIBROBLAST_EFFECTORS	1		0
TWIST1	up	TL1A_FIBROBLAST_EFFECTORS	1		0
