ModelID,OncotreeLineage,deletion_extent,CDKN2A_CN,CDKN2A_del,CDKN2B_CN,CDKN2B_del,MTAP_CN,MTAP_del,DMRTA1_CN,DMRTA1_del,IFNA2_CN,IFNA2_del,IFNB1_CN,IFNB1_del
ACH-000001,Ovary/Fallopian Tube,intact,1.1846036099499262,False,1.1886943130237075,False,1.1762811074127784,False,1.218205845841408,False,1.166065754425813,False,1.1297480298807725,False
ACH-000002,Myeloid,intact,,False,,False,,False,,False,,False,,False
ACH-000003,Bowel,intact,,False,,False,,False,,False,,False,,False
ACH-000004,Myeloid,full_9p21,1.4433630430066254e-06,True,1.4457661515369991e-06,True,1.6088154073988593e-05,True,1.4448645172978785e-06,True,1.460269056511066e-06,True,0.0094775835631728,True
ACH-000005,Myeloid,full_9p21,1.4433630430066254e-06,True,1.4457661515369991e-06,True,1.116823545933868e-05,True,1.4448645172978785e-06,True,1.460269056511066e-06,True,1.4665580817532257e-06,True
ACH-000006,Myeloid,intact,,False,,False,,False,,False,,False,,False
ACH-000007,Bowel,intact,1.271285616324643,False,1.2933648486937102,False,1.2763847168976192,False,1.2996322483761396,False,1.172314307046786,False,1.2401210052014735,False
ACH-000008,Skin,CDKN2A+MTAP,1.4433630430066254e-06,True,1.4457661515369991e-06,True,1.116823545933868e-05,True,0.9195054654064064,False,0.8615336969330724,False,0.889468140270286,False
ACH-000009,Bowel,intact,0.5789477524399046,False,0.5254899170067003,False,0.7027476286588937,False,0.6509890229276577,False,0.596367490192625,False,0.5132642870112764,False
ACH-000011,Bladder/Urinary Tract,CDKN2A+MTAP,1.4433630430066254e-06,True,2.150386662963728e-05,True,6.527697526397779e-05,True,1.1694905566268043,False,1.1832941094499936,False,1.1664671596103922,False
ACH-000012,Lung,intact,1.0349958695932246,False,1.0341582929491926,False,1.0778429970729888,False,1.0934620619172568,False,1.0138910883757737,False,1.026761087298057,False
ACH-000013,Ovary/Fallopian Tube,intact,1.0406720736648831,False,1.0899057937957095,False,1.0497380833433394,False,1.0841806368293008,False,0.9227616147954638,False,1.054583017506141,False
ACH-000014,Skin,CDKN2A+MTAP,2.538601023035838e-06,True,1.4457661515369991e-06,True,1.2540549602340975e-05,True,0.8274976246195862,False,0.8091029745454293,False,0.9262865471917016,False
ACH-000015,Lung,intact,0.6651956490845455,False,0.7830132848114495,False,0.7533712255203899,False,0.7505501414226907,False,0.7555124098366125,False,0.7556881285820829,False
ACH-000016,Kidney,intact,,False,,False,,False,,False,,False,,False
ACH-000017,Breast,intact,0.8949681149120083,False,0.9685681908168182,False,0.9162678816724028,False,0.9187713743818728,False,0.7889716315145828,False,0.931373117340014,False
ACH-000018,Bladder/Urinary Tract,intact,0.616811406446623,False,0.5931360415940305,False,0.7572489441399888,False,0.6897833108402512,False,0.5384977600388066,False,0.5330319502004734,False
ACH-000019,Breast,CDKN2A+MTAP,2.4653534918678887e-05,True,0.3928562933620911,True,0.0002019191569238,True,0.8544196160417097,False,0.8353144631094143,False,0.8672592263425447,False
ACH-000020,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-000021,Lung,intact,0.7860350472615941,False,0.7956992551553186,False,0.8734179441266273,False,0.8439352302707412,False,0.7530173865098192,False,0.916994426257411,False
ACH-000022,Pancreas,full_9p21,0.4017969007305834,True,0.4443274656840943,True,0.4825477791585124,True,0.4473207601524319,True,0.5041067192899747,False,0.3790116643568282,True
ACH-000023,Pancreas,intact,0.7723265185002588,False,0.7618427063187795,False,0.8175292771063283,False,0.8271737928584206,False,0.7130678099174369,False,0.8364376030099874,False
ACH-000024,Lymphoid,intact,0.9010730962619492,False,0.8507602494253673,False,1.019405479851618,False,0.9728488963781968,False,0.8796554435644443,False,0.8893673634655856,False
ACH-000025,CNS/Brain,CDKN2A+MTAP,1.928439623546668e-06,True,1.4457661515369991e-06,True,0.0029649913749282,True,1.077515694659072,False,1.0737586224031914,False,1.0822491250540167,False
ACH-000026,Bladder/Urinary Tract,intact,,False,,False,,False,,False,,False,,False
ACH-000027,CNS/Brain,intact,,False,,False,,False,,False,,False,,False
ACH-000028,Breast,intact,,False,,False,,False,,False,,False,,False
ACH-000029,Lung,intact,1.0077260273485509,False,1.1671837023539076,False,1.045438562776796,False,1.036871962802367,False,1.1021505019754871,False,0.8452406915534274,False
ACH-000030,Lung,intact,0.7108336056055915,False,0.6657096362804131,False,0.8277953533117745,False,0.797822751137959,False,0.6115844772082124,False,0.7018715861972885,False
ACH-000031,Pancreas,intact,,False,,False,,False,,False,,False,,False
ACH-000032,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-000033,Lung,intact,,False,,False,,False,,False,,False,,False
ACH-000034,Myeloid,intact,,False,,False,,False,,False,,False,,False
ACH-000035,Lung,CDKN2A+MTAP,1.4433630430066254e-06,True,1.4457661515369991e-06,True,7.49469295065984e-05,True,1.1118903595056928,False,0.9092078884912306,False,0.9246544232935096,False
ACH-000036,CNS/Brain,CDKN2A_only,2.5679794513539695e-06,True,1.4457661515369991e-06,True,0.8442071897013569,False,0.826838276507159,False,0.8494147074540035,False,0.788085709176574,False
ACH-000037,Soft Tissue,CDKN2A+MTAP,1.9276377752504434e-06,True,1.4457661515369991e-06,True,7.841162950478114e-05,True,1.4448645172978785e-06,True,1.4988165400344344,False,1.5265240566783589,False
ACH-000038,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-000039,Bone,intact,1.0796169591728622,False,1.0818312344666268,False,1.0576003515780152,False,1.09381652047937,False,1.039561171890727,False,1.047223908234708,False
ACH-000040,CNS/Brain,full_9p21,2.7023856849671108e-06,True,4.929128109845086e-06,True,1.116823545933868e-05,True,1.4448645172978785e-06,True,1.460269056511066e-06,True,1.4665580817532257e-06,True
ACH-000041,Bone,full_9p21,0.4222237011430614,True,0.4327580478006297,True,0.481701228644169,True,0.4543927583441089,True,0.3996893021279309,True,0.4416755665794521,True
ACH-000042,Pancreas,intact,0.6644309744896353,False,0.6392938359788355,False,0.7255826701959046,False,0.6593939880309682,False,0.6624433350590426,False,0.6109762551172616,False
ACH-000043,Fibroblast,intact,,False,,False,,False,,False,,False,,False
ACH-000044,Breast,intact,0.9858373556662946,False,0.9828033283204576,False,1.004232209533822,False,0.9930671383792168,False,0.9628397105500948,False,1.023399181975034,False
ACH-000045,Myeloid,intact,1.021983225228563,False,1.0060210621968635,False,1.021883695837238,False,1.0358720230777652,False,1.0118972546843883,False,1.0878472389369442,False
ACH-000046,Kidney,CDKN2A+MTAP,1.5304959157045168e-05,True,0.9605680587186372,False,2.508099019757174e-05,True,0.9521091994738476,False,2.9929991774639015e-05,True,1.4665580817532257e-06,True
ACH-000047,Esophagus/Stomach,intact,0.7861614942536558,False,0.725320262544754,False,0.9090115442049396,False,0.928982355336542,False,0.713122408511943,False,0.7858670350655185,False
ACH-000048,Ovary/Fallopian Tube,intact,1.1160483951191056,False,1.145162528250821,False,1.0897424979366206,False,1.1730743601827407,False,1.0845494601801184,False,1.1559115253218954,False
ACH-000049,Kidney,intact,,False,,False,,False,,False,,False,,False
ACH-000050,Lymphoid,intact,0.9859008247347002,False,1.0357249036893463,False,0.9890320608959108,False,1.0409835796696414,False,0.9991955893847216,False,0.939629016793286,False
ACH-000051,Soft Tissue,intact,,False,,False,,False,,False,,False,,False
ACH-000052,Bone,CDKN2A+MTAP,2.544238064785317e-06,True,1.4457661515369991e-06,True,0.1025128351863273,True,0.5826628428129853,False,0.6406556419365835,False,0.6011971664018917,False
ACH-000053,Lymphoid,intact,0.9708843595234072,False,1.0055506870638635,False,1.0082932001770455,False,0.983627173295528,False,0.9661658864669966,False,1.0147173606567288,False
ACH-000054,Soft Tissue,CDKN2A+MTAP,1.4433630430066254e-06,True,1.4457661515369991e-06,True,6.737779232109498e-05,True,1.037649494223069,False,1.0417109143608791,False,1.052974747631074,False
ACH-000055,CNS/Brain,intact,,False,,False,,False,,False,,False,,False
ACH-000056,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-000057,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-000058,Thyroid,intact,,False,,False,,False,,False,,False,,False
ACH-000059,Lymphoid,CDKN2A+MTAP,1.4433630430066254e-06,True,2.031290659172135e-05,True,7.782145404841856e-05,True,1.0582468299127783,False,1.1007846379862063,False,1.0853206678814098,False
ACH-000060,Pancreas,intact,1.12038466123422,False,1.1164497328718723,False,1.1478754473138928,False,1.1402512974835617,False,1.1277433450254886,False,1.2101207026815524,False
ACH-000061,Lymphoid,intact,1.056029445489,False,1.0891472430007776,False,1.0376356978262813,False,1.00669275239113,False,1.0309695292256111,False,0.9740778504242844,False
ACH-000062,Lung,intact,0.9649177051636384,False,0.8907435186425495,False,1.0552853113106628,False,1.0874877230304247,False,0.8163498123790816,False,0.9088315886816734,False
ACH-000063,Fibroblast,intact,,False,,False,,False,,False,,False,,False
ACH-000064,Lung,intact,,False,,False,,False,,False,,False,,False
ACH-000065,Myeloid,intact,,False,,False,,False,,False,,False,,False
ACH-000066,Lung,intact,,False,,False,,False,,False,,False,,False
ACH-000067,CNS/Brain,intact,,False,,False,,False,,False,,False,,False
ACH-000068,Lymphoid,CDKN2A+MTAP,1.4433630430066254e-06,True,1.4457661515369991e-06,True,0.0052573696461957,True,0.698551661995464,False,0.5898486228867245,False,0.5656145887391679,False
ACH-000069,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-000070,Lymphoid,intact,0.933064637165396,False,0.948518151679298,False,0.9689559141674108,False,0.926748573556722,False,0.998493137764581,False,1.0631086438323691,False
ACH-000071,Fibroblast,intact,,False,,False,,False,,False,,False,,False
ACH-000072,Myeloid,intact,,False,,False,,False,,False,,False,,False
ACH-000073,Lymphoid,intact,,False,,False,,False,,False,,False,,False
ACH-000074,Myeloid,intact,0.8419117364806991,False,0.8686968588689461,False,0.8649256487187621,False,0.8458145711648157,False,0.7026261731077416,False,0.9238114671595208,False
ACH-000075,CNS/Brain,full_9p21,1.4433630430066254e-06,True,1.4457661515369991e-06,True,1.116823545933868e-05,True,1.4448645172978785e-06,True,1.460269056511066e-06,True,1.4665580817532257e-06,True
ACH-000076,Myeloid,intact,1.2231848706180304,False,1.3113708933651878,False,0.9803079550964076,False,1.186739778838015,False,1.1615522614113687,False,1.1001682866274056,False
ACH-000077,Lymphoid,intact,0.9846036415369392,False,1.023391916961717,False,1.0107250210093102,False,0.9630823811921068,False,1.0325874254727134,False,1.0717992507162784,False
ACH-000078,Peripheral Nervous System,intact,0.901292829592831,False,0.998339341877136,False,0.9078710124213202,False,0.917391025362268,False,0.9053413171409036,False,0.9912992956719068,False
ACH-000079,Fibroblast,intact,,False,,False,,False,,False,,False,,False
ACH-000080,Myeloid,intact,0.9842460159379496,False,1.0492960043256243,False,0.987267733878233,False,1.000725722439204,False,0.9529280528390124,False,0.9071645950450736,False
ACH-000081,Myeloid,intact,,False,,False,,False,,False,,False,,False
ACH-000082,Bone,intact,0.6088049986592281,False,0.6574014058960873,False,0.642384765303727,False,0.6308885534481349,False,0.5176957520949992,False,0.5516143757647224,False
ACH-000083,Fibroblast,intact,,False,,False,,False,,False,,False,,False
ACH-000084,Myeloid,intact,,False,,False,,False,,False,,False,,False
ACH-000085,Pancreas,intact,0.8258249229642115,False,0.8197953355895136,False,0.870828013722046,False,0.84933372208274,False,0.7748782131578508,False,0.8981843875923136,False
ACH-000086,Pleura,CDKN2A+MTAP,1.4433630430066254e-06,True,1.4457661515369991e-06,True,0.0212535339970041,True,1.4448645172978785e-06,True,1.010659138109481,False,0.9149503383352956,False
ACH-000087,Bone,intact,0.5481377598796039,False,0.565267639931966,False,0.6190993883672625,False,0.543460210844,False,0.6160665880566768,False,0.5489886048418304,False
ACH-000088,Fibroblast,intact,,False,,False,,False,,False,,False,,False
ACH-000089,Bowel,intact,,False,,False,,False,,False,,False,,False
