drug_name,targets,n_targets,total_proximity_score,n_pathways_significant,mean_proximity_score,score_R-HSA-112316,score_GO:0007399,score_GO:0007268,score_hsa04728,score_GO:0007409,score_GO:0021987,score_GO:0030182,score_GO:0001764,score_GO:0050804,score_GO:0048699,score_hsa04330,repurposing_rank,repurposing_score,safety_tier,bbb_penetrant
APROFENE,CHRM1;CHRM4,2,0.5587,0,0.0508,0.0,0.0,0.0,0.0364,0.1448,0.0,0.068,0.1405,0.0,0.1119,0.0572,,,,
ARECOLINE,CHRM1;CHRM4,2,0.5587,0,0.0508,0.0,0.0,0.0,0.0364,0.1448,0.0,0.068,0.1405,0.0,0.1119,0.0572,,,,
ATROPINE,CHRM1;CHRM4,2,0.5587,0,0.0508,0.0,0.0,0.0,0.0364,0.1448,0.0,0.068,0.1405,0.0,0.1119,0.0572,,,,
CARBACHOL,CHRM1;CHRM4,2,0.5587,0,0.0508,0.0,0.0,0.0,0.0364,0.1448,0.0,0.068,0.1405,0.0,0.1119,0.0572,,,,
HIMBACINE,CHRM1;CHRM4,2,0.5587,0,0.0508,0.0,0.0,0.0,0.0364,0.1448,0.0,0.068,0.1405,0.0,0.1119,0.0572,,,,
METHSCOPOLAMINE,CHRM1;CHRM4,2,0.5587,0,0.0508,0.0,0.0,0.0,0.0364,0.1448,0.0,0.068,0.1405,0.0,0.1119,0.0572,,,,
MUSCARINE,CHRM1;CHRM4,2,0.5587,0,0.0508,0.0,0.0,0.0,0.0364,0.1448,0.0,0.068,0.1405,0.0,0.1119,0.0572,,,,
OXOTREMORINE,CHRM1;CHRM4,2,0.5587,0,0.0508,0.0,0.0,0.0,0.0364,0.1448,0.0,0.068,0.1405,0.0,0.1119,0.0572,,,,
PIRENZEPINE,CHRM1;CHRM4,2,0.5587,0,0.0508,0.0,0.0,0.0,0.0364,0.1448,0.0,0.068,0.1405,0.0,0.1119,0.0572,,,,
SABCOMELINE,CHRM1;CHRM4,2,0.5587,0,0.0508,0.0,0.0,0.0,0.0364,0.1448,0.0,0.068,0.1405,0.0,0.1119,0.0572,,,,
TRIHEXYPHENIDYL HYDROCHLORIDE,CHRM1;CHRM4,2,0.5587,0,0.0508,0.0,0.0,0.0,0.0364,0.1448,0.0,0.068,0.1405,0.0,0.1119,0.0572,,,,
XANOMELINE,CHRM1;CHRM4,2,0.5587,0,0.0508,0.0,0.0,0.0,0.0364,0.1448,0.0,0.068,0.1405,0.0,0.1119,0.0572,,,,
(+)-EHNA,PDE10A,1,0.5322,0,0.0484,0.079,0.0,0.1092,0.026,0.0584,0.0,0.0,0.0459,0.1125,0.1012,0.0,,,,
DIPYRIDAMOLE,PDE10A,1,0.5322,0,0.0484,0.079,0.0,0.1092,0.026,0.0584,0.0,0.0,0.0459,0.1125,0.1012,0.0,,,,
MARDEPODECT,PDE10A,1,0.5322,0,0.0484,0.079,0.0,0.1092,0.026,0.0584,0.0,0.0,0.0459,0.1125,0.1012,0.0,,,,
PAPAVERINE,PDE10A,1,0.5322,0,0.0484,0.079,0.0,0.1092,0.026,0.0584,0.0,0.0,0.0459,0.1125,0.1012,0.0,,,,
ROLIPRAM,PDE10A,1,0.5322,0,0.0484,0.079,0.0,0.1092,0.026,0.0584,0.0,0.0,0.0459,0.1125,0.1012,0.0,,,,
SCH-351591,PDE10A,1,0.5322,0,0.0484,0.079,0.0,0.1092,0.026,0.0584,0.0,0.0,0.0459,0.1125,0.1012,0.0,,,,
