gene,n_Y220C,n_other_mut,median_Y220C,median_other_mut,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,biology,fdr,significant
TMEM276,11,773,-0.1861808321150869,-0.1902389418972612,-0.9056666594191889,-1.5024937446249171,-0.30883957421346075,3502.0,0.31524733821675155,,0.9416440776118831,False
LY75,11,784,-0.1007330951452778,-0.0334722402993878,-0.9047087057753861,-1.5014505675161776,-0.3079668440345946,2561.0,0.02064479511094137,,0.8511086511978743,False
SETDB2,11,784,-0.0332392720249473,0.0054244012851994,-0.9017707809255809,-1.4985018988102519,-0.30503966304091,3042.0,0.0932562589553129,,0.8891692666539546,False
BORCS8,11,784,-0.2959819276473454,-0.21171386375134377,-0.900574472096679,-1.4973012250917905,-0.3038477191015674,2915.0,0.06483731558025986,,0.8757813927823502,False
KIF9,11,784,-0.1298637088975685,-0.0102191136544774,-0.8991358262952254,-1.4958573378343316,-0.30241431475611924,2278.0,0.007175540414606426,,0.8511086511978743,False
CCDC150,11,784,-0.0137142783669359,0.08057636964329196,-0.8988002255756937,-1.495520515610679,-0.30207993554070856,2203.0,0.005307601466257152,,0.843133106122356,False
TMEM212,11,784,-0.0421504891532581,0.0267026674097447,-0.8970248394588369,-1.4937386750703787,-0.30031100384729525,2225.0,0.005803896825895181,,0.843133106122356,False
GIMAP8,11,784,-0.0473706449142821,0.016188687713902097,-0.8966788853794203,-1.493391464751078,-0.29996630600776275,2721.0,0.03547672704226775,,0.858846264737305,False
OR6C1,10,691,-0.0764118177414765,-0.0155611175230156,-0.8945751407095792,-1.5205926084485077,-0.2685576729706508,1653.0,0.004604686023443795,,0.843133106122356,False
SULT1E1,11,784,-0.0940242123914191,0.01282885214673175,-0.8945126288145678,-1.49121735296099,-0.29780790466814566,2049.0,0.0027774023115887045,,0.843133106122356,False
CHD8,11,784,-0.5091274104578842,-0.25802427169646674,-0.8918820952551431,-1.488577306033008,-0.29518688447727814,2282.0,0.007290018298313005,,0.8511086511978743,False
MARVELD2,11,784,-0.083915120225781,-0.02454242159688675,-0.8914922692619349,-1.4881860725983544,-0.2947984659255154,2899.0,0.06182726067977607,,0.872737186731742,False
UGT2B7,11,784,-0.0481458888652755,0.0541626114216908,-0.8902208094903357,-1.4869100265570032,-0.2935315924236682,2046.0,0.002741536149434839,,0.843133106122356,False
KCNC2,11,784,-0.1694927592234673,-0.0551542455046412,-0.8890992867635198,-1.485784463800977,-0.2924141097260625,2144.0,0.004160181301440749,,0.843133106122356,False
C16orf46,11,784,-0.1983819171295496,-0.0731246872242073,-0.8886579457851638,-1.4853415343815837,-0.29197435718874387,1651.0,0.0004355144110919554,,0.843133106122356,False
KIF2B,11,784,-0.1602792522347818,-0.052814052530711905,-0.8876081995372513,-1.4842880131184042,-0.2909283859560985,1663.0,0.00046228926755657255,,0.843133106122356,False
TIPRL,11,784,-0.7028587810879419,-0.41398645301364356,-0.887426056074404,-1.4841052150973346,-0.2907468970514733,2211.0,0.005483455976144907,,0.843133106122356,False
HOXC6,11,784,-0.2511583268619979,-0.19050362302306295,-0.8872546749825083,-1.4839332182453213,-0.2905761317196953,2775.0,0.04220645492154952,,0.8674256341066815,False
OR4C12,10,691,-0.2008599392058704,-0.1106638153779373,-0.8861500489256421,-1.5121346833556162,-0.2601654144956679,1545.0,0.0026704480852484556,,0.843133106122356,False
TMEM126B,11,784,-0.196743098051781,-0.02965175751846525,-0.8855016702667118,-1.482173921901128,-0.2888294186322955,2002.0,0.0022619000726106157,,0.843133106122356,False
SAP30BP,11,784,-2.0637917905541023,-1.723972037036338,-0.8851383281954383,-1.4818092773240932,-0.2884673790667832,1957.0,0.0018519921430305427,,0.843133106122356,False
AUH,11,784,-0.1604434061302155,-0.03520615446975305,-0.8841041833028976,-1.480771428147565,-0.28743693845823026,2365.0,0.01006584930668262,,0.8511086511978743,False
ZNF217,11,784,-0.8113961672157209,-0.38597907447851304,-0.8836493957121723,-1.4803150128814817,-0.28698377854286294,2572.0,0.021455328059254247,,0.8511086511978743,False
RAX2,11,784,-0.1662344306864693,-0.0767253397029227,-0.8829892667548971,-1.4796525228185393,-0.28632601069125474,2553.0,0.020072209059583658,,0.8511086511978743,False
TAF7L,11,784,-0.1933642201497667,-0.1067544494660541,-0.8781723063958877,-1.474818386607399,-0.2815262261843764,2063.0,0.002950511673949886,,0.843133106122356,False
EIF3J,11,784,-0.7554984136240667,-0.535495612413166,-0.8769802467190959,-1.4736220908259652,-0.28033840261222664,2533.0,0.018700991614728445,,0.8511086511978743,False
DDX27,11,784,-1.106633735322705,-0.9772983405799538,-0.8766150406101029,-1.473255588065585,-0.27997449315462053,2585.0,0.02244883303249455,,0.8511086511978743,False
SLC26A3,11,784,-0.0831144875703487,0.01251338993456835,-0.8765118867690881,-1.4731520680778107,-0.27987170546036544,1886.0,0.0013418886247229694,,0.843133106122356,False
RCBTB2,11,784,-0.1276143950548973,-0.05768233773589785,-0.8757028550627365,-1.4723401661825584,-0.2790655439429147,2223.0,0.005757109120576232,,0.843133106122356,False
PDIK1L,11,784,-0.1107391008500906,-0.02253245804463375,-0.8742866905420553,-1.4709189839046686,-0.27765439717944196,2101.0,0.0034711572498982344,,0.843133106122356,False
NCR3LG1,11,784,-0.1725780410822097,-0.09310063870412685,-0.873701330272083,-1.470331551944771,-0.277071108599395,2171.0,0.004653993499381827,,0.843133106122356,False
CXCL5,11,784,-0.0339056460562846,0.05208636901792525,-0.873054846223609,-1.4696827814829485,-0.2764269109642694,3342.0,0.19990529420079917,,0.914300711738137,False
SNURF,11,784,-0.0895615661447537,-0.0146881256882368,-0.8728879214545008,-1.4695152666262514,-0.27626057628275014,2494.0,0.01626109788074936,,0.8511086511978743,False
SLC48A1,11,784,-0.1538989613258147,-0.05734400944807725,-0.8699238628246185,-1.4665407485910713,-0.27330697705816576,2139.0,0.00407413180502289,,0.843133106122356,False
GRXCR2,11,784,-0.2167308632355396,-0.0539188771844339,-0.869825669775779,-1.4664422096497516,-0.27320912990180646,2044.0,0.0027178609813547057,,0.843133106122356,False
TRAF4,11,784,-0.2627982214224643,-0.1825621497309162,-0.8670531437529998,-1.463659933226118,-0.2704463542798816,2902.0,0.06238266570425559,,0.872737186731742,False
ZNF706,11,784,-0.2567415354902621,-0.15761752731817205,-0.8668167266568629,-1.4634226861329265,-0.2702107671807995,2597.0,0.02340116995434802,,0.8511086511978743,False
TMEM215,11,784,-0.1480716022796368,-0.02524469256725565,-0.8650612094072068,-1.4616610127771725,-0.2684614060372409,2643.0,0.02738385100208544,,0.8511086511978743,False
