gene,n_R175H,n_other_mut,median_R175H,median_other_mut,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,biology,fdr,significant
VAX1,29,766,0.0211173021705732,0.0558573425449789,-0.6022088541315412,-0.9741701915735296,-0.2302475166895529,8062.0,0.01213985083529379,,0.9193225141646324,False
LIFR,29,766,-0.0652425422850205,-0.0082561874817711,-0.6018760115674776,-0.9738360474381234,-0.22991597569683192,8041.0,0.011558225449197468,,0.9193225141646324,False
GLI2,29,766,-0.0944953405760241,-0.0201205547763203,-0.6012468228213508,-0.9732044002207576,-0.2292892454219439,7079.0,0.0009071440916300977,,0.9106342311398871,False
KRTAP13-3,29,766,-0.1208124190472319,-0.0838764922699958,-0.5979823154791247,-0.969927178272837,-0.22603745268541242,8569.0,0.03658302361579893,,0.9238806447272142,False
ERBB3,29,766,-0.2627976038809141,-0.16886235872174227,-0.5947250723295276,-0.9666573173722453,-0.22279282728681005,8422.0,0.02700222872125217,,0.9238806447272142,False
CYSLTR1,29,766,0.0244847637413347,0.0484198941892721,-0.5937023372737535,-0.9656306346237827,-0.22177403992372435,7837.0,0.007072579125557366,,0.9106342311398871,False
SEC14L2,29,766,-0.0547411614928186,-0.039302703804498254,-0.5933770126596991,-0.9653040556929089,-0.22144996962648933,8905.0,0.06974068924091568,,0.9462219400347015,False
CFAP70,29,766,-0.1446378140760911,-0.08904969682191766,-0.5922350884091317,-0.9641577340644212,-0.22031244275384226,7613.0,0.004002836383000016,,0.9106342311398871,False
EMC7,29,766,-0.8750331972377486,-0.678374214503608,-0.5902488229127629,-0.9621638398171803,-0.2183338060083455,7582.0,0.003690454146792201,,0.9106342311398871,False
USP30,29,766,-0.1893677667262105,-0.14372097218169227,-0.5890198606216525,-0.9609301701443205,-0.2171095510989845,8393.0,0.02539269211058344,,0.9238806447272142,False
TFG,29,766,-0.2300684949340007,-0.12858092439741908,-0.5882725868423194,-0.9601800387967173,-0.21636513488792153,8432.0,0.027577301341207765,,0.9238806447272142,False
TMEM107,29,766,-0.0430593012018022,-0.00814635775753655,-0.588031030006423,-0.9599375590207859,-0.2161245009920601,8854.0,0.06350989818614554,,0.9372329450170687,False
SYNPO2L,29,766,-0.3589809322906875,-0.2717926146076361,-0.5872193471094657,-0.9591227776069748,-0.21531591661195648,6892.0,0.0005167956391482155,,0.9106342311398871,False
SEC14L6,29,766,-0.0743667702496467,-0.0345525970128673,-0.5848708386711146,-0.9567653279389083,-0.21297634940332083,7658.0,0.004499104057514485,,0.9106342311398871,False
