drug_id,drug_name,n_group1,n_group2,median_group1,median_group2,cohens_d,mannwhitney_U,pvalue,fdr
BRD:BRD-K17849083-001-32-9,,38,69,-0.0431,-0.0613,0.004,1355.0,0.7770443161231155,0.9964436473790778
BRD:BRD-A81513827-001-03-6,,40,68,-0.2657,-0.2473,-0.0388,1315.0,0.7770936538532501,0.9964436473790778
BRD:BRD-K94455792-001-01-8,,40,70,-0.1433,-0.1009,-0.049,1354.0,0.7773889971168757,0.9964436473790778
BRD:BRD-K74990253-001-02-8,,40,70,0.2723,0.2343,-0.1333,1354.0,0.7773889971168757,0.9964436473790778
BRD:BRD-K39467894-001-05-9,,40,70,0.1356,0.1146,0.1205,1446.0,0.7773889971168757,0.9964436473790778
BRD:BRD-A07704283-001-01-3,,40,70,0.0751,0.0874,-0.1579,1354.0,0.7773889971168757,0.9964436473790778
BRD:BRD-K36732695-001-01-9,,40,70,-0.0101,0.0382,-0.0159,1354.0,0.7773889971168757,0.9964436473790778
BRD:BRD-A29426959-050-13-2,,40,70,0.2574,0.2531,0.0555,1446.0,0.7773889971168757,0.9964436473790778
BRD:BRD-K46344388-001-01-3,,31,65,-0.1005,-0.1291,-0.1161,971.0,0.7778834451682157,0.9964436473790778
BRD:BRD-K77756533-001-01-4,,31,64,0.3969,0.366,-0.0665,956.0,0.7781110328552893,0.9964436473790778
BRD:BRD-K49048664-001-01-2,,31,64,-5.4006,-5.6121,0.0872,1028.0,0.7781110328552893,0.9964436473790778
BRD:BRD-K31476763-001-01-5,,39,69,-0.1698,-0.3308,0.1337,1390.0,0.7783792139135971,0.9964436473790778
BRD:BRD-M56276249-001-01-1,,39,69,0.146,0.14,-0.0546,1301.0,0.7783792139135971,0.9964436473790778
BRD:BRD-K21123171-001-02-9,,39,69,0.0967,0.0694,-0.0078,1301.0,0.7783792139135971,0.9964436473790778
BRD:BRD-K06878038-001-18-6,,39,69,0.1649,0.1113,0.085,1390.0,0.7783792139135971,0.9964436473790778
BRD:BRD-K00075103-001-02-9,Finerenone,49,112,0.0804,0.0285,0.0398,2821.0,0.7786701095340727,0.9964436473790778
BRD:BRD-K00077340-001-02-9,EPI-001,49,112,-0.0998,-0.0595,0.0159,2821.0,0.7786701095340727,0.9964436473790778
BRD:BRD-K00004585-001-01-9,soraprazan,49,115,-0.2013,-0.206,-0.0638,2896.0,0.779310126794102,0.9964436473790778
BRD:BRD-K00004678-001-01-9,DOTMP,49,115,0.0554,0.0126,-0.0105,2896.0,0.779310126794102,0.9964436473790778
BRD:BRD-K01584643-001-04-9,tannic-acid,49,115,-0.311,-0.2827,-0.1608,2739.0,0.779310126794102,0.9964436473790778
BRD:BRD-K00003139-001-01-9,etrasimod,49,116,0.0132,-0.0216,-0.0609,2921.0,0.779516494225973,0.9964436473790778
BRD:BRD-A45543382-001-10-0,,40,69,-0.0052,-0.0296,0.0649,1425.0,0.7796546577046591,0.9964436473790778
BRD:BRD-A03359064-001-02-3,,40,69,0.2484,0.2224,0.0735,1425.0,0.7796546577046591,0.9964436473790778
BRD:BRD-A00578795-001-04-3,,40,71,-0.3527,-0.3587,0.0318,1466.0,0.7798848275719892,0.9964436473790778
BRD:BRD-A28318179-003-08-5,,40,71,0.0976,0.0976,-0.0155,1466.0,0.7798848275719892,0.9964436473790778
BRD:BRD-K37720887-001-07-8,,40,71,-0.576,-0.5888,-0.0559,1374.0,0.7798848275719892,0.9964436473790778
BRD:BRD-K54665485-001-07-9,,40,71,0.3733,0.3541,-0.0826,1374.0,0.7798848275719892,0.9964436473790778
BRD:BRD-K20482099-001-09-4,,38,63,-0.1575,-0.1402,0.0935,1237.0,0.7818556177138657,0.9964436473790778
BRD:BRD-K00004695-001-01-9,monomethyl-fumarate,49,114,-0.0094,0.0216,0.0014,2716.0,0.7818780844751987,0.9964436473790778
BRD:BRD-K00003113-001-01-9,O-304,49,114,-0.0428,-0.1039,0.0663,2870.0,0.7818780844751987,0.9964436473790778
BRD:BRD-K33732501-004-01-0,,38,69,0.117,0.1204,-0.0513,1268.0,0.7820387627935197,0.9964436473790778
BRD:BRD-K01638814-011-01-4,,38,69,0.1613,0.1756,-0.0431,1268.0,0.7820387627935197,0.9964436473790778
BRD:BRD-K11717138-001-30-3,,38,69,-0.1371,-0.1418,-0.038,1268.0,0.7820387627935197,0.9964436473790778
BRD:BRD-K15318383-201-01-5,,38,69,-0.0459,-0.0344,0.147,1354.0,0.7820387627935197,0.9964436473790778
BRD:BRD-K62310379-001-10-5,,38,69,0.0444,-0.0325,0.0096,1354.0,0.7820387627935197,0.9964436473790778
