gene,n_mutant,n_wt,median_dep_mutant,median_dep_wt,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,fdr,significant
MKRN2OS,34,22,0.01058950789029105,-0.02372168282545465,0.08484025882765033,-0.45166950379548776,0.6213500214507884,397.0,0.7058227576145661,0.9862112639191113,False
DKC1,34,22,-1.3048234395452654,-1.300391796737053,0.08488720662043926,-0.4516228107078549,0.6213972239487334,390.0,0.7948357193116373,0.9925402232094982,False
BANF2,34,22,0.10150529912437589,0.08845353556387944,0.08492488491130103,-0.4515853369342935,0.6214351067568955,390.0,0.7948357193116373,0.9925402232094982,False
TUSC1,34,22,0.089687113778329,0.04704396419442175,0.08494693619619359,-0.45156340538556955,0.6214572777779568,418.0,0.4655249836745645,0.9553816643151585,False
PMS2,34,22,0.053544175067769095,0.02757909176225065,0.08495884973366748,-0.45155155655028006,0.621469256017615,454.0,0.18229074333499917,0.877749174796868,False
RANBP10,34,22,-0.19401010084021786,-0.20012973577468224,0.08499255756940259,-0.45151803183024164,0.6215031469690468,385.0,0.8601732176586243,0.9960224609396491,False
FLNA,34,22,-0.0051552507103104495,0.013521663028989949,0.08501012672496977,-0.4515005581467785,0.621520811596718,374.0,1.0,1.0,False
ATP6V1H,34,22,-0.7548726969748221,-0.8337552466347771,0.08501783050278343,-0.4514928962380873,0.6215285572436542,427.0,0.3784432140695009,0.936864223890635,False
DEFB119,34,22,0.0976057892738071,0.1041465520814262,0.08502264884262915,-0.4514881040872763,0.6215334017725346,399.0,0.681054034877716,0.9847905144597947,False
DNLZ,34,22,-0.6765886825308333,-0.5768052358187041,0.08506930481320374,-0.45144170178174825,0.6215803114081557,384.0,0.8733717563276544,0.9961310310868862,False
PSG11,34,22,-0.1600638382905516,-0.1515385579459804,0.08513587450867284,-0.4513754942614909,0.6216472432788366,376.0,0.9799235056326929,1.0,False
PAOX,34,22,-0.04930038706563055,-0.06116071331114595,0.08528493705888217,-0.45122724371885914,0.6217971178366235,401.0,0.6566245253446286,0.9821207898002782,False
SNAP29,34,22,-0.25261923389554436,-0.26762310815310775,0.08535281374690051,-0.45115973725451664,0.6218653647483177,384.0,0.8733717563276544,0.9961310310868862,False
KCNRG,34,22,-0.007947514817724599,-0.01248871442751545,0.08536487104984958,-0.45114774574718053,0.6218774878468797,408.0,0.5741064196186814,0.9698576204537455,False
CTH,34,22,0.09946852376402725,0.09566115626036306,0.08537271949832742,-0.4511399401319663,0.6218853791286212,380.0,0.9264827526061189,0.9971131513184466,False
CDCA8,34,22,-1.4816939430707483,-1.5999428178600539,0.08540499501636996,-0.45110784080038674,0.6219178308331267,393.0,0.756282654287443,0.9897726121558935,False
ARID1B,34,22,-0.08573686797583635,-0.09409536801038865,0.08546212232119457,-0.4510510255067369,0.621975270149126,382.0,0.8998712040149444,0.9968835528040947,False
DCAF5,34,22,-0.04637284533729725,-0.0611692710372094,0.08548162094141261,-0.4510316334294992,0.6219948753123244,396.0,0.7183270070777366,0.9876232878481642,False
TM9SF3,34,22,-0.06998510106124645,-0.11577802301258645,0.0855575884595029,-0.4509560812393588,0.6220712581583646,410.0,0.5514644144168891,0.9669654514228317,False
LARS1,34,22,-1.3052538384637153,-1.258101659827077,0.0855885077619876,-0.45092533108375327,0.6221023466077285,364.0,0.8733717563276544,0.9961310310868862,False
LRRC47,34,22,0.060442940888838545,0.0055204097266397505,0.08560675569659115,-0.4509071830048025,0.6221206943979848,399.0,0.681054034877716,0.9847905144597947,False
SHPK,34,22,-0.0193109161464498,-0.04667117256437435,0.08563766247587917,-0.45087644540093347,0.6221517703526918,425.0,0.39687514418138337,0.9386535960138087,False
KCTD13,34,22,0.0283643584092956,0.03412633941766255,0.08564686499607904,-0.45086729326464864,0.6221610232568067,367.0,0.9131648075421231,0.9971131513184466,False
RAB7A,34,22,-0.6107591551591408,-0.5893207603621241,0.08573459835094194,-0.4507800405226217,0.6222492372245056,387.0,0.8338965570962654,0.9944031952984228,False
MYPOP,34,22,-0.1199533943093172,-0.1225093888592737,0.08574141927524227,-0.45077325698468196,0.6222560955351665,390.0,0.7948357193116373,0.9925402232094982,False
CFH,34,22,0.0384968946725302,-0.0142130155104765,0.08578335298264299,-0.4507315531866007,0.6222982591518866,399.0,0.681054034877716,0.9847905144597947,False
CITED1,34,22,0.049763123675554854,0.03783115149014285,0.08591834469768625,-0.45059730235139417,0.6224339917467666,388.0,0.8208255544248988,0.9939426874910255,False
CKB,34,22,0.02209287015588195,0.019955215032796098,0.08597719512896898,-0.450538775275348,0.6224931655332859,377.0,0.9665454528815088,0.9994154150914659,False
AEN,34,22,0.0347251342406518,-0.010848861846398349,0.08598491334842036,-0.4505310994802642,0.622500926177105,405.0,0.6088718571321212,0.9744878809130727,False
PABIR3,34,22,0.2307233207508276,0.1884133941343412,0.08602931903210873,-0.4504869379530918,0.6225455760173093,406.0,0.5971794023202559,0.9741406849844453,False
FCRL5,34,22,-0.0079256975143497,-0.0038388607701519,0.08615588840360071,-0.4503610651912034,0.6226728419984048,387.0,0.8338965570962654,0.9944031952984228,False
C8A,34,22,0.11719869569179764,0.1032049977571025,0.08616643041901549,-0.45035058124285243,0.6226834420808834,414.0,0.5075397946883882,0.9637675166138957,False
RAB38,34,22,0.0595966336938872,0.072674336261508,0.08621603071269349,-0.4503012542505901,0.622733315675977,385.0,0.8601732176586243,0.9960224609396491,False
ZFHX2,34,22,-0.05415974358209785,-0.10000481470854006,0.08621765849699024,-0.4502996354381724,0.6227349524321529,416.0,0.4862870511830444,0.9593597803230712,False
SLC2A5,34,22,-0.05276361773710435,-0.0597089829297301,0.08623125171197839,-0.4502861171516859,0.6227486205756427,395.0,0.7309071501723846,0.9882664751133565,False
POLDIP3,34,22,0.04598165677928645,0.0043790358949038,0.0863528674095962,-0.45016517234909353,0.622870907168286,397.0,0.7058227576145661,0.9862112639191113,False
SCN1B,34,22,-0.05442812285799605,-0.08158581012680685,0.08637065270947919,-0.4501474852412922,0.6228887906602506,399.0,0.681054034877716,0.9847905144597947,False
GPSM1,34,22,0.035409398753242505,0.01562933453315075,0.08650227669719744,-0.45001658857351734,0.6230211419679123,387.0,0.8338965570962654,0.9944031952984228,False
ABTB1,34,22,0.054256933927613854,0.0524522005743312,0.08651210319052081,-0.45000681642323137,0.623031022804273,397.0,0.7058227576145661,0.9862112639191113,False
S100A14,34,22,-0.1235070122703992,-0.08371951075055716,0.08651567170550238,-0.4500032676445826,0.6230346110555873,379.0,0.9398213291647697,0.9971131513184466,False
NPAS2,34,22,0.1005271794602957,0.077285807865631,0.08652286320137925,-0.4499961159250765,0.623041842327835,393.0,0.756282654287443,0.9897726121558935,False
ABHD8,34,22,0.0041898520430682495,0.0371643391179636,0.08669218868059038,-0.4498277279444838,0.6232121053056645,374.0,1.0,1.0,False
GP1BA,34,22,-0.008846288905819701,-0.0194836141339096,0.08675396484022817,-0.4497662942747361,0.6232742239551924,406.0,0.5971794023202559,0.9741406849844453,False
RANGAP1,34,22,-1.4181707020308307,-1.4781957751705255,0.08697926740879722,-0.44954224285960676,0.6235007776772012,397.0,0.7058227576145661,0.9862112639191113,False
DENND6A,34,22,0.12282360683181655,0.1339505880722116,0.08704952794699271,-0.4494723731564154,0.6235714290504009,368.0,0.9264827526061189,0.9971131513184466,False
CPPED1,34,22,0.10656690159558445,0.07144384452930225,0.0870538896586411,-0.4494680357178504,0.6235758150351326,433.0,0.3263819265445369,0.924481040456764,False
PCDHGB6,34,22,-0.0032496457385413997,-0.0234284070167796,0.08708093251578075,-0.44944114338231167,0.6236030084138732,403.0,0.6325566919155012,0.9785428665073075,False
