gene,cohens_d,p_value,n_lost,n_intact,median_resid_lost,median_resid_intact,fdr,composite_score
NDUFB10,-0.151,0.5951764722572617,67,585,0.036,0.0235,0.9988716805228369,0.0001
ZNF479,-0.151,0.2103456396187463,67,567,-0.0123,-0.0018,0.9988716805228369,0.0001
ING2,-0.151,0.07140526615369384,67,585,-0.0327,0.0067,0.9988716805228369,0.0001
SLC39A1,-0.151,0.1778042374369877,67,585,-0.0243,0.0117,0.9988716805228369,0.0001
LMO4,-0.1508,0.7569431101761911,67,585,0.0093,0.0,0.9988716805228369,0.0001
NUTM2G,-0.1507,0.19631819643808357,67,567,-0.0336,-0.0044,0.9988716805228369,0.0001
SEMA4D,-0.1507,0.27839761291022713,67,585,-0.0152,0.0,0.9988716805228369,0.0001
VWA2,-0.1506,0.215719762113028,67,585,-0.0129,0.0014,0.9988716805228369,0.0001
SIGLEC1,-0.1506,0.3115239723260824,67,585,0.0163,0.0153,0.9988716805228369,0.0001
LTK,-0.1506,0.2848234038965761,67,585,-0.0085,0.0045,0.9988716805228369,0.0001
PSMB5,-0.1506,0.13785993682334094,67,585,-0.0797,-0.0128,0.9988716805228369,0.0001
CCDC102B,-0.1506,0.22135765484354586,67,585,-0.009,0.0039,0.9988716805228369,0.0001
RRM1,-0.1505,0.07402514139163224,67,585,-0.1873,-0.0995,0.9988716805228369,0.0001
SMARCE1,-0.1505,0.1840545034444948,67,585,-0.0824,-0.017,0.9988716805228369,0.0001
DHX8,-0.1504,0.615251801746549,67,585,-0.002,0.0115,0.9988716805228369,0.0001
TPX2,-0.1503,0.16724871445544875,67,585,-0.0981,0.0206,0.9988716805228369,0.0001
PRSS54,-0.1502,0.39242576210508084,67,585,-0.0019,0.0042,0.9988716805228369,0.0001
BAP1,-0.1502,0.48405656816267517,67,585,0.0092,0.0037,0.9988716805228369,0.0001
TIGIT,-0.1502,0.5162588218510611,67,585,-0.0024,-0.0037,0.9988716805228369,0.0001
PRPF38B,-0.1502,0.3429514805182873,67,585,-0.1178,-0.0112,0.9988716805228369,0.0001
ALOX12,-0.1501,0.18292661154885936,67,585,-0.0315,0.0,0.9988716805228369,0.0001
GLOD5,-0.15,0.306638750887939,67,585,-0.0049,0.0,0.9988716805228369,0.0001
OR5M10,-0.15,0.43643089242530386,61,552,-0.0019,-0.002,0.9988716805228369,0.0001
FAM200C,-0.15,0.39508416868825047,67,585,0.0027,0.0103,0.9988716805228369,0.0001
VCP,-0.15,0.3524425548885738,67,585,-0.0966,-0.0445,0.9988716805228369,0.0001
TBATA,-0.1499,0.08406512139815786,67,585,-0.0119,0.0052,0.9988716805228369,0.0001
GTF2I,-0.1499,0.4085387235924034,67,585,-0.0276,-0.0071,0.9988716805228369,0.0001
B4GALNT1,-0.1499,0.23161011359354888,67,585,-0.0008,0.0078,0.9988716805228369,0.0001
TNNT1,-0.1498,0.481067830666449,67,585,0.0027,0.0056,0.9988716805228369,0.0001
ATAD5,-0.1498,0.15497338888759163,67,585,-0.0184,0.0162,0.9988716805228369,0.0001
ACSM4,-0.1498,0.4218665958902923,67,585,-0.0044,-0.013,0.9988716805228369,0.0001
CHDH,-0.1498,0.323456773952583,67,585,-0.0222,-0.0005,0.9988716805228369,0.0001
SUSD4,-0.1497,0.23699667080916864,67,585,-0.0202,0.0021,0.9988716805228369,0.0001
NAPG,-0.1497,0.33913201907257473,67,585,0.0228,0.0774,0.9988716805228369,0.0001
EIF2S3,-0.1497,0.2074580183465763,67,585,-0.066,-0.0045,0.9988716805228369,0.0001
RGS12,-0.1496,0.21093452530318813,67,585,-0.0252,0.0055,0.9988716805228369,0.0001
PPP2R2A,-0.1496,0.5904410593287783,67,585,0.0076,0.0154,0.9988716805228369,0.0001
TAAR1,-0.1496,0.13302083380866495,67,585,-0.0193,0.0034,0.9988716805228369,0.0001
ASPA,-0.1495,0.60374360327625,67,585,-0.0018,0.0005,0.9988716805228369,0.0001
DRG2,-0.1494,0.11340017086172426,67,585,-0.0401,0.0073,0.9988716805228369,0.0001
IL17A,-0.1494,0.23564180306033755,67,585,-0.0044,0.0023,0.9988716805228369,0.0001
PCDHB16,-0.1494,0.28236375154468574,67,585,0.0117,0.0062,0.9988716805228369,0.0001
LEO1,-0.1493,0.19467361074281886,67,585,0.0063,0.009,0.9988716805228369,0.0001
AK8,-0.1493,0.253400835350055,67,585,-0.0021,0.0017,0.9988716805228369,0.0001
FSD1L,-0.1492,0.541799850937446,67,585,-0.0073,0.0021,0.9988716805228369,0.0001
USE1,-0.1491,0.5754055587481877,67,585,0.0113,0.0205,0.9988716805228369,0.0001
KLC1,-0.1491,0.22974551763067197,67,585,-0.0193,0.005,0.9988716805228369,0.0001
SSX7,-0.149,0.2951223492562812,67,585,0.0168,0.0191,0.9988716805228369,0.0001
KRTAP23-1,-0.149,0.20475578096974367,67,585,-0.0306,-0.003,0.9988716805228369,0.0001
THSD7A,-0.1489,0.5345672547242788,67,585,-0.0211,-0.0097,0.9988716805228369,0.0001
PRRT4,-0.1489,0.1732212507796943,67,585,-0.0154,0.0063,0.9988716805228369,0.0001
NUP93,-0.1489,0.3089121696676903,67,585,-0.032,0.0036,0.9988716805228369,0.0001
IFT70B,-0.1489,0.24385357924042805,67,585,-0.011,0.0081,0.9988716805228369,0.0001
PLA2G4A,-0.1489,0.1524062586907144,67,585,-0.0293,0.0039,0.9988716805228369,0.0001
CTSE,-0.1489,0.1725738123534537,67,585,-0.0049,0.0021,0.9988716805228369,0.0001
FRMD4B,-0.1488,0.21243728573009024,67,585,-0.0139,0.0035,0.9988716805228369,0.0001
PRTFDC1,-0.1488,0.30020449136969996,67,585,-0.0065,0.0008,0.9988716805228369,0.0001
GRIN3A,-0.1488,0.3646283147398437,67,585,-0.0,0.003,0.9988716805228369,0.0001
MAP6D1,-0.1488,0.3288546194091897,67,585,-0.0229,0.0017,0.9988716805228369,0.0001
AMBRA1,-0.1488,0.4128230005953316,67,585,0.0074,0.0,0.9988716805228369,0.0001
FBXL20,-0.1487,0.16915134406952792,67,585,-0.0233,0.0,0.9988716805228369,0.0001
GPSM1,-0.1486,0.5951764722572617,67,585,0.0044,-0.0055,0.9988716805228369,0.0001
ZNF675,-0.1485,0.37596541743391954,67,585,0.0021,0.0107,0.9988716805228369,0.0001
WDR6,-0.1485,0.28698745521179325,67,585,-0.0075,-0.0058,0.9988716805228369,0.0001
VPS72,-0.1485,0.14190232285366713,67,585,-0.0352,0.0089,0.9988716805228369,0.0001
CASP10,-0.1484,0.28574949908949965,67,585,-0.0029,0.0038,0.9988716805228369,0.0001
COQ10A,-0.1484,0.3517338633511311,67,585,-0.0156,-0.0126,0.9988716805228369,0.0001
KCNV2,-0.1484,0.24440809097416805,67,585,-0.0043,0.0032,0.9988716805228369,0.0001
DCK,-0.1483,0.20402326919270575,67,585,-0.0067,0.0016,0.9988716805228369,0.0001
ANKRD13D,-0.1483,0.25597104604126175,67,585,-0.0183,0.0115,0.9988716805228369,0.0001
LY6K,-0.1483,0.26029486814342073,67,585,0.0115,0.0136,0.9988716805228369,0.0001
ANKRD35,-0.1483,0.17408732395026338,67,585,-0.0157,0.001,0.9988716805228369,0.0001
USP43,-0.1483,0.15358703743781438,67,585,-0.0149,0.0002,0.9988716805228369,0.0001
GJB3,-0.1483,0.2508486513436705,67,585,-0.0156,0.0104,0.9988716805228369,0.0001
RAD52,-0.1482,0.29892851915650176,67,585,-0.0141,0.0023,0.9988716805228369,0.0001
PARVB,-0.1481,0.556410000801392,67,585,-0.0149,0.0,0.9988716805228369,0.0001
SZT2,-0.1481,0.52648923207498,67,585,0.0027,0.0036,0.9988716805228369,0.0001
NR3C1,-0.1481,0.9301585877488479,67,585,0.0078,0.0026,0.9988716805228369,0.0001
SLC15A1,-0.1481,0.2787013477360084,67,585,-0.0029,0.0007,0.9988716805228369,0.0001
SOWAHA,-0.148,0.17692439833632112,67,585,-0.0091,0.0013,0.9988716805228369,0.0001
MLYCD,-0.148,0.4270291671673645,67,585,-0.0124,0.0,0.9988716805228369,0.0001
NHSL3,-0.148,0.19775458424629644,67,585,-0.0117,0.0013,0.9988716805228369,0.0001
ADGRE1,-0.148,0.23080968927604217,67,585,-0.0154,0.0065,0.9988716805228369,0.0001
TMEM258,-0.1479,0.49351495053743133,67,585,-0.0237,-0.0045,0.9988716805228369,0.0001
HDX,-0.1478,0.3711849018284257,67,585,-0.0144,-0.0067,0.9988716805228369,0.0001
GPD1,-0.1478,0.1217457309552116,67,585,-0.0174,0.0023,0.9988716805228369,0.0001
HASPIN,-0.1478,0.26496236929421324,67,585,-0.0058,0.0176,0.9988716805228369,0.0001
FAM47B,-0.1478,0.29607083433665626,67,585,0.0027,0.0054,0.9988716805228369,0.0001
BCAS1,-0.1478,0.24385357924042805,67,585,-0.011,0.0004,0.9988716805228369,0.0001
GJB4,-0.1478,0.5885517625948661,67,585,0.0036,0.006,0.9988716805228369,0.0001
IL1RAPL1,-0.1478,0.32379243803696633,67,585,-0.0058,-0.0023,0.9988716805228369,0.0001
FCRL3,-0.1478,0.41165192915230353,67,585,0.0026,0.0069,0.9988716805228369,0.0001
KIF19,-0.1477,0.3649906599481474,67,585,0.0011,0.0063,0.9988716805228369,0.0001
OR10A2,-0.1477,0.31550239580895745,61,552,-0.0017,0.0012,0.9988716805228369,0.0001
KIAA0513,-0.1476,0.3733865884829958,67,585,-0.0,0.0012,0.9988716805228369,0.0001
CCDC34,-0.1476,0.3755963415662158,67,585,-0.0072,0.0014,0.9988716805228369,0.0001
FLNB,-0.1475,0.0724874962274421,67,585,-0.028,0.001,0.9988716805228369,0.0001
MAT1A,-0.1474,0.17064235665217464,67,585,-0.0082,0.0076,0.9988716805228369,0.0001
CXXC4,-0.1474,0.2611656624267714,67,585,-0.0079,-0.0006,0.9988716805228369,0.0001
ZKSCAN1,-0.1474,0.2973386514359603,67,585,0.0092,0.012,0.9988716805228369,0.0001
EXTL2,-0.1474,0.35778651251617144,67,585,-0.0199,0.0027,0.9988716805228369,0.0001
COG2,-0.1474,0.2634976208257005,67,585,-0.0096,0.0288,0.9988716805228369,0.0001
VPS4B,-0.1473,0.8037037644800333,67,585,0.0466,0.0646,0.9988716805228369,0.0001
GRIA3,-0.1472,0.18247689205028805,67,585,-0.0147,0.0021,0.9988716805228369,0.0001
KRT35,-0.1472,0.2477537518885412,67,585,-0.0153,0.0061,0.9988716805228369,0.0001
CARD19,-0.1472,0.11418250859131228,67,585,-0.0143,0.0004,0.9988716805228369,0.0001
RBM15B,-0.1472,0.18815755558706038,67,585,-0.0271,-0.0038,0.9988716805228369,0.0001
MCM3,-0.147,0.22317348195241016,67,585,-0.0885,-0.0095,0.9988716805228369,0.0001
IDUA,-0.147,0.17517445843826196,67,585,-0.0012,0.0135,0.9988716805228369,0.0001
IRAK1,-0.1469,0.24440809097416805,67,585,-0.0156,0.0,0.9988716805228369,0.0001
TMPRSS7,-0.1469,0.3726517962811149,67,585,-0.0053,0.0011,0.9988716805228369,0.0001
MIS12,-0.1469,0.25855931244751285,67,585,-0.0308,0.0235,0.9988716805228369,0.0001
NIT2,-0.1468,0.3018045553775691,67,585,-0.0117,0.0074,0.9988716805228369,0.0001
GSTT2B,-0.1467,0.513354460016179,61,570,0.0063,0.0122,0.9988716805228369,0.0001
ZNF630,-0.1467,0.271772413568666,67,585,-0.0124,-0.002,0.9988716805228369,0.0001
SHF,-0.1467,0.12711544441020411,67,585,-0.0359,0.0017,0.9988716805228369,0.0001
DCST1,-0.1467,0.5260422880570911,67,585,-0.023,0.0002,0.9988716805228369,0.0001
MDN1,-0.1466,0.3221163862670975,67,585,-0.0404,0.0143,0.9988716805228369,0.0001
PMP2,-0.1466,0.24551976877038983,67,585,-0.0085,0.0047,0.9988716805228369,0.0001
FMO5,-0.1466,0.07740993057078042,67,585,-0.0158,0.0097,0.9988716805228369,0.0001
PTGER2,-0.1466,0.4917879171172346,67,585,-0.0041,0.0055,0.9988716805228369,0.0001
ANG,-0.1466,0.1489053703601711,67,585,-0.0192,0.0055,0.9988716805228369,0.0001
PTGIR,-0.1465,0.13533410039226001,67,585,-0.0128,0.0072,0.9988716805228369,0.0001
SPOCD1,-0.1464,0.16369880005885096,67,585,-0.0097,0.0064,0.9988716805228369,0.0001
CRCT1,-0.1464,0.5458895367055009,67,585,-0.015,-0.0149,0.9988716805228369,0.0001
TOP6BL,-0.1463,0.20943946860189067,67,585,-0.0062,0.0033,0.9988716805228369,0.0001
FAM174B,-0.1462,0.426630743893335,67,585,-0.0085,0.0006,0.9988716805228369,0.0001
ZHX1,-0.1461,0.5928065983095681,67,585,0.0005,0.0074,0.9988716805228369,0.0001
PTPRS,-0.146,0.39584570855612433,67,585,-0.0008,0.005,0.9988716805228369,0.0001
SLC13A1,-0.146,0.23917589426954777,67,585,-0.0113,0.0,0.9988716805228369,0.0001
ACTR1B,-0.1459,0.2015953380479225,67,585,-0.0211,0.0058,0.9988716805228369,0.0001
OTOL1,-0.1459,0.20402326919270575,67,585,-0.0186,0.0102,0.9988716805228369,0.0001
CLASRP,-0.1459,0.3197794426196573,67,585,0.0292,0.0198,0.9988716805228369,0.0001
CHP2,-0.1459,0.18180385068102078,67,585,-0.0034,0.0048,0.9988716805228369,0.0001
NGF,-0.1459,0.4334333699367424,67,585,0.0071,-0.0,0.9988716805228369,0.0001
PRG2,-0.1458,0.17824537664654017,67,585,-0.0144,0.0063,0.9988716805228369,0.0001
ATP6V1G3,-0.1458,0.12814248067418474,67,585,-0.0396,-0.0017,0.9988716805228369,0.0001
THUMPD1,-0.1458,0.47512061904996294,67,585,0.0042,0.0009,0.9988716805228369,0.0001
PDHX,-0.1458,0.07798613493944626,67,585,-0.0172,0.0075,0.9988716805228369,0.0001
DLD,-0.1457,0.306638750887939,67,585,0.0026,0.0396,0.9988716805228369,0.0001
MRPL46,-0.1457,0.4326298199422406,67,585,-0.0045,0.0154,0.9988716805228369,0.0001
RALGAPA1,-0.1457,0.12207605681594644,67,585,-0.0152,0.0115,0.9988716805228369,0.0001
VTI1B,-0.1456,0.4612632056403767,67,585,-0.0101,0.0026,0.9988716805228369,0.0001
EMC10,-0.1456,0.35315214945340856,67,585,-0.0134,0.0007,0.9988716805228369,0.0001
MEGF9,-0.1456,0.260005050383293,67,585,-0.0115,-0.0021,0.9988716805228369,0.0001
ATMIN,-0.1455,0.22868484080134455,67,585,-0.008,0.0002,0.9988716805228369,0.0001
SLC6A5,-0.1455,0.44111002648032904,67,585,-0.0098,0.002,0.9988716805228369,0.0001
MRPL3,-0.1455,0.3875175855180917,67,585,-0.0222,0.0109,0.9988716805228369,0.0001
RCL1,-0.1455,0.19232770298436508,67,585,-0.0562,-0.0178,0.9988716805228369,0.0001
NMI,-0.1454,0.2247383673801191,67,585,-0.0112,0.0021,0.9988716805228369,0.0001
DUS3L,-0.1454,0.15717111234920733,67,585,-0.0254,-0.0003,0.9988716805228369,0.0001
TM6SF2,-0.1453,0.24663498811187334,67,585,-0.0036,0.0102,0.9988716805228369,0.0001
TOP2A,-0.1453,0.12609482509763262,67,585,-0.1517,-0.0211,0.9988716805228369,0.0001
TNKS1BP1,-0.1453,0.16184257336576247,67,585,-0.0088,0.0051,0.9988716805228369,0.0001
OR11H6,-0.1453,0.23691635966557423,61,570,-0.0135,0.0048,0.9988716805228369,0.0001
LRRC75A,-0.1452,0.1264343199572427,67,585,-0.0067,0.0044,0.9988716805228369,0.0001
GJB6,-0.1452,0.2787013477360084,67,585,-0.0205,0.0001,0.9988716805228369,0.0001
MERTK,-0.1451,0.058048715869016325,67,585,-0.0398,0.0,0.9988716805228369,0.0001
SHISA2,-0.1449,0.18815755558706038,67,585,-0.0391,-0.0018,0.9988716805228369,0.0001
ZNF266,-0.1449,0.39356374853942133,67,585,0.0069,-0.0017,0.9988716805228369,0.0001
ZSWIM8,-0.1449,0.178024705333225,67,585,-0.0387,0.0131,0.9988716805228369,0.0001
C1orf141,-0.1449,0.12524919426901346,67,585,-0.0175,0.0113,0.9988716805228369,0.0001
OAS2,-0.1449,0.5716751467568604,67,585,-0.0094,-0.0054,0.9988716805228369,0.0001
LAMTOR1,-0.1448,0.4956783004837675,67,585,-0.0023,0.006,0.9988716805228369,0.0001
BEND4,-0.1448,0.25511230436321297,67,585,-0.0025,0.0036,0.9988716805228369,0.0001
ZNF317,-0.1448,0.3271615552632391,67,585,-0.0248,-0.0032,0.9988716805228369,0.0001
IRF3,-0.1448,0.2799185410021757,67,585,-0.0225,0.0018,0.9988716805228369,0.0001
SLC4A2,-0.1447,0.26496236929421324,67,585,-0.0071,0.0022,0.9988716805228369,0.0001
ZNF555,-0.1446,0.33982442912968835,67,585,0.0044,0.0049,0.9988716805228369,0.0001
ABCB7,-0.1446,0.47131882175092776,67,585,-0.0582,0.0146,0.9988716805228369,0.0001
UNC13A,-0.1445,0.23890272096514376,67,585,-0.0063,0.0035,0.9988716805228369,0.0001
SLC9A1,-0.1445,0.15319267413510412,67,585,-0.0237,0.0011,0.9988716805228369,0.0001
TRIM6,-0.1444,0.19279521419956835,67,585,-0.007,-0.0012,0.9988716805228369,0.0001
SLC16A12,-0.1444,0.23699667080916864,67,585,-0.0091,0.0038,0.9988716805228369,0.0001
DYNC1LI1,-0.1444,0.11671456671107303,67,585,-0.0049,0.0189,0.9988716805228369,0.0001
YWHAG,-0.1443,0.2611656624267714,67,585,-0.0054,0.0082,0.9988716805228369,0.0001
RASL10A,-0.1443,0.1639060339197964,67,585,-0.0191,0.0129,0.9988716805228369,0.0001
FYB1,-0.1443,0.10202120456437559,67,585,-0.0159,0.0025,0.9988716805228369,0.0001
CPPED1,-0.1442,0.24468567856304935,67,585,-0.0036,0.0,0.9988716805228369,0.0001
RLIG1,-0.1442,0.21648241692439063,67,585,-0.0456,-0.0024,0.9988716805228369,0.0001
PDE5A,-0.1441,0.19373274091803705,67,585,-0.0242,0.0,0.9988716805228369,0.0001
DDX18,-0.1441,0.21445297438961475,67,585,-0.052,-0.002,0.9988716805228369,0.0001
FAM170A,-0.144,0.38563983411673775,67,585,-0.0055,0.0022,0.9988716805228369,0.0001
ANKRD33B,-0.144,0.3871415899804751,67,585,-0.0126,0.007,0.9988716805228369,0.0001
MRPS18C,-0.144,0.4717404133794916,67,585,-0.0301,-0.0109,0.9988716805228369,0.0001
ZNF614,-0.1439,0.13840588555465452,67,585,-0.0166,0.0056,0.9988716805228369,0.0001
NEBL,-0.1438,0.10245245698147797,67,585,-0.0212,0.0044,0.9988716805228369,0.0001
VLDLR,-0.1438,0.5633240264261286,67,585,0.0027,0.0028,0.9988716805228369,0.0001
FBXO10,-0.1438,0.29892851915650176,67,585,-0.007,0.0024,0.9988716805228369,0.0001
C15orf39,-0.1437,0.16040986059426177,67,585,-0.0237,-0.0007,0.9988716805228369,0.0001
IFT22,-0.1437,0.7130973366609896,67,585,0.0007,0.0069,0.9988716805228369,0.0001
NSUN2,-0.1437,0.6186264417215216,67,585,0.0033,-0.0016,0.9988716805228369,0.0001
ZNF580,-0.1437,0.18113265279609247,67,585,-0.0351,0.0,0.9988716805228369,0.0001
TSPAN7,-0.1437,0.4675338635832925,67,585,-0.0135,0.0017,0.9988716805228369,0.0001
GHSR,-0.1436,0.24219534823866484,67,585,-0.0094,0.0034,0.9988716805228369,0.0001
EXOC1,-0.1436,0.2780941034314379,67,585,-0.0091,0.0163,0.9988716805228369,0.0001
PPT2,-0.1436,0.6711778911423151,67,585,-0.0016,0.005,0.9988716805228369,0.0001
ZNF395,-0.1435,0.10433800193308457,67,585,-0.0155,-0.0067,0.9988716805228369,0.0001
GJA9,-0.1435,0.3227861263720765,67,585,-0.0063,-0.0025,0.9988716805228369,0.0001
PCDHGA10,-0.1435,0.31911378643172006,67,585,-0.0066,-0.0017,0.9988716805228369,0.0001
PTPN21,-0.1434,0.33021315263596895,67,585,-0.0158,0.0029,0.9988716805228369,0.0001
PRDM11,-0.1433,0.418314044086762,67,585,-0.0206,0.0,0.9988716805228369,0.0001
TMEM106C,-0.1433,0.2617473098114981,67,585,-0.0259,0.004,0.9988716805228369,0.0001
IL12RB1,-0.1433,0.18157991333079504,67,585,-0.0178,0.008,0.9988716805228369,0.0001
ISG20,-0.1432,0.36390429893481235,67,585,-0.0096,0.0002,0.9988716805228369,0.0001
ZNF319,-0.1432,0.3592201363309535,67,585,-0.0203,0.0062,0.9988716805228369,0.0001
SLC41A3,-0.1432,0.25113133806647703,67,585,-0.0071,0.0029,0.9988716805228369,0.0001
LYL1,-0.1432,0.11371259773149713,67,585,-0.0117,0.0014,0.9988716805228369,0.0001
RNF113A,-0.143,0.3059912438340101,67,585,-0.0437,0.0171,0.9988716805228369,0.0001
EDNRA,-0.143,0.39737144589410367,67,585,-0.0014,0.0003,0.9988716805228369,0.0001
OR7D4,-0.143,0.3562103180978333,61,570,0.0083,0.0076,0.9988716805228369,0.0001
MEIS1,-0.143,0.27597584467199343,67,585,-0.0015,0.013,0.9988716805228369,0.0001
OR52N5,-0.143,0.2225868606430883,61,570,-0.0339,-0.011,0.9988716805228369,0.0001
TUT7,-0.1429,0.20869482465958922,67,585,-0.0125,0.0076,0.9988716805228369,0.0001
MORN4,-0.1428,0.13319768352757147,67,585,-0.0274,0.0,0.9988716805228369,0.0001
LMNB1,-0.1428,0.31646023752127217,67,585,0.0063,0.0189,0.9988716805228369,0.0001
COX7C,-0.1427,0.4789391853764492,67,585,-0.0136,0.0132,0.9988716805228369,0.0001
CCDC51,-0.1427,0.4717404133794916,67,585,0.0554,0.0584,0.9988716805228369,0.0001
HS3ST4,-0.1427,0.4447733569844091,67,585,-0.0007,-0.0062,0.9988716805228369,0.0001
METAP1,-0.1426,0.15837978534730712,67,585,-0.0593,0.0423,0.9988716805228369,0.0001
ARHGEF39,-0.1426,0.3966081344249833,67,585,-0.0101,0.0,0.9988716805228369,0.0001
CRCP,-0.1426,0.3671694515515831,67,585,-0.033,0.0057,0.9988716805228369,0.0001
AIP,-0.1426,0.3890237926189001,67,585,-0.0077,0.0018,0.9988716805228369,0.0001
FAM178B,-0.1426,0.41752698677689926,67,585,-0.0021,0.003,0.9988716805228369,0.0001
SPECC1L,-0.1425,0.3285155530101037,67,585,0.0023,0.0188,0.9988716805228369,0.0001
TMEM60,-0.1425,0.18157991333079504,67,585,-0.0104,-0.0004,0.9988716805228369,0.0001
ZNF354C,-0.1424,0.2562577390375772,67,585,-0.0074,-0.0017,0.9988716805228369,0.0001
PPP1R11,-0.1424,0.16915134406952792,67,585,-0.037,0.0146,0.9988716805228369,0.0001
PIGN,-0.1424,0.2302771663812846,67,585,-0.0072,0.0057,0.9988716805228369,0.0001
EDC4,-0.1424,0.3167911369940839,67,585,0.0015,0.0162,0.9988716805228369,0.0001
NAGA,-0.1423,0.22736390394292072,67,585,-0.0047,0.0007,0.9988716805228369,0.0001
CYP8B1,-0.1423,0.4917879171172346,67,585,-0.008,-0.0001,0.9988716805228369,0.0001
NOL3,-0.1423,0.27779081927464777,67,585,-0.009,-0.0005,0.9988716805228369,0.0001
HNF4G,-0.1422,0.3138212099516179,67,585,-0.0114,-0.0004,0.9988716805228369,0.0001
HSPB3,-0.1422,0.17085615970869794,67,585,-0.0064,0.0004,0.9988716805228369,0.0001
RGS8,-0.1422,0.16724871445544875,67,585,-0.0219,0.0029,0.9988716805228369,0.0001
COL6A1,-0.1421,0.3510260750192892,67,585,-0.0242,-0.0026,0.9988716805228369,0.0001
RAG2,-0.1421,0.24440809097416805,67,585,-0.0203,0.0005,0.9988716805228369,0.0001
ZMYND11,-0.1421,0.8624655855643214,67,585,0.0107,-0.002,0.9988716805228369,0.0001
NAP1L2,-0.1421,0.09463806329816035,67,585,-0.0182,0.0,0.9988716805228369,0.0001
ARAF,-0.142,0.4390823357900754,67,585,-0.0187,-0.005,0.9988716805228369,0.0001
SCGB2A1,-0.142,0.10202120456437559,67,585,-0.0134,0.0045,0.9988716805228369,0.0001
TNS2,-0.1419,0.1522101357602142,67,585,-0.0295,0.0013,0.9988716805228369,0.0001
MRPL33,-0.1419,0.20256397001029158,67,585,-0.1287,0.0487,0.9988716805228369,0.0001
TMEM192,-0.1419,0.2679086728788348,67,585,-0.0114,0.0017,0.9988716805228369,0.0001
NT5M,-0.1418,0.30116384986683975,67,585,-0.0195,-0.007,0.9988716805228369,0.0001
LRP1B,-0.1418,0.1015913982369827,67,585,-0.0245,0.0166,0.9988716805228369,0.0001
OR1I1,-0.1418,0.37859460288339974,61,570,-0.0145,-0.0019,0.9988716805228369,0.0001
CCDC146,-0.1418,0.18270164921974996,67,585,-0.0069,0.0014,0.9988716805228369,0.0001
MYOC,-0.1418,0.21521240179708756,67,585,-0.0288,0.0067,0.9988716805228369,0.0001
MT1F,-0.1417,0.27296889541849323,67,585,-0.001,0.0129,0.9988716805228369,0.0001
GLIS1,-0.1417,0.22710037056823285,67,585,-0.0117,0.0022,0.9988716805228369,0.0001
CHUK,-0.1417,0.12900326258989664,67,585,-0.0123,0.0206,0.9988716805228369,0.0001
PSMB1,-0.1417,0.4390823357900754,67,585,0.0155,0.0044,0.9988716805228369,0.0001
FMNL1,-0.1416,0.21495904431617718,67,585,-0.0083,0.009,0.9988716805228369,0.0001
SEL1L3,-0.1416,0.11418250859131228,67,585,-0.0301,0.0,0.9988716805228369,0.0001
MAMSTR,-0.1416,0.07358311772751495,67,585,-0.0275,0.0072,0.9988716805228369,0.0001
CCT6A,-0.1415,0.1725738123534537,67,585,-0.0573,0.0332,0.9988716805228369,0.0001
C3orf18,-0.1414,0.21775781738112354,67,585,-0.0266,-0.0042,0.9988716805228369,0.0001
MYL3,-0.1414,0.36029771981215597,67,585,-0.0072,0.0006,0.9988716805228369,0.0001
CDADC1,-0.1412,0.10970357068097028,67,585,-0.0278,0.0,0.9988716805228369,0.0001
PEX11G,-0.1412,0.17064235665217464,67,585,-0.0151,0.0,0.9988716805228369,0.0001
C11orf24,-0.1412,0.11449663081862409,67,585,-0.0306,-0.001,0.9988716805228369,0.0001
TIMM17B,-0.1412,0.3595791055722277,67,585,0.001,-0.0014,0.9988716805228369,0.0001
COL25A1,-0.1411,0.20087108377392493,67,585,-0.016,0.012,0.9988716805228369,0.0001
PSD4,-0.1411,0.24109427730099708,67,585,0.0017,0.0089,0.9988716805228369,0.0001
ZNF766,-0.1411,0.33913201907257473,67,585,-0.0084,0.0013,0.9988716805228369,0.0001
RAB27B,-0.1411,0.8052933180225216,67,585,0.0002,0.0003,0.9988716805228369,0.0001
KCTD10,-0.1411,0.3408647423390192,67,585,0.0539,0.0609,0.9988716805228369,0.0001
TRABD2A,-0.1411,0.16163731072483445,67,585,-0.0141,0.0061,0.9988716805228369,0.0001
ADGRE2,-0.141,0.2260484151740375,67,585,-0.0316,0.0,0.9988716805228369,0.0001
TNFRSF13C,-0.1409,0.19847061736489668,67,585,-0.0158,0.0,0.9988716805228369,0.0001
SLC25A23,-0.1409,0.1730052365484831,67,585,-0.0137,0.004,0.9988716805228369,0.0001
RFXANK,-0.1408,0.21193550873783984,67,585,-0.0129,-0.001,0.9988716805228369,0.0001
PLEC,-0.1408,0.10375492115604452,67,585,-0.0102,0.0121,0.9988716805228369,0.0001
HHIP,-0.1408,0.161432244700486,67,585,-0.0242,-0.0034,0.9988716805228369,0.0001
TOGARAM1,-0.1408,0.3744904572065182,67,585,-0.0031,-0.0028,0.9988716805228369,0.0001
GLUD1,-0.1407,0.3204460063749024,67,585,-0.0123,0.0,0.9988716805228369,0.0001
TSPAN32,-0.1407,0.42028550489261196,67,585,0.0014,0.0,0.9988716805228369,0.0001
SLC12A6,-0.1407,0.25311636968489437,67,585,-0.006,0.001,0.9988716805228369,0.0001
ABCC12,-0.1407,0.2187820204439448,67,585,-0.0143,-0.0006,0.9988716805228369,0.0001
