gene,cohens_d,p_value,n_lost,n_intact,median_resid_lost,median_resid_intact,fdr,composite_score
NF1,-0.3724,0.0004105592695940654,67,585,-0.111,-0.0109,0.7245155994946247,0.0521
SCD5,-0.3706,0.005344894259880371,67,585,-0.0287,0.0045,0.9055524643035545,0.016
COL26A1,-0.368,0.12202233035139999,23,134,-0.049,0.0074,0.9988716805228369,0.0002
POLR3E,-0.3658,0.012884868502093142,67,585,-0.0837,0.0085,0.9204724187690524,0.0132
SPNS2,-0.3653,0.01124901129880979,67,585,-0.0175,0.0118,0.9144824211572445,0.0142
LCE1F,-0.365,0.09483135511583031,23,134,-0.0666,0.0871,0.9988716805228369,0.0002
MELK,-0.3641,0.015180291902280056,67,585,-0.0158,0.0076,0.9386686983213505,0.01
WBP4,-0.3636,0.009626618665342245,67,585,-0.037,0.0114,0.9055524643035545,0.0157
XPOT,-0.3609,0.01064812858969532,67,585,-0.05,0.0242,0.9055524643035545,0.0155
GPALPP1,-0.3607,0.00271376040769608,67,585,-0.035,0.0126,0.9027528056843022,0.016
PPP1R1A,-0.3598,0.010690082431559108,67,585,-0.0339,0.0025,0.9055524643035545,0.0155
DHX57,-0.3585,0.0016340834890928582,67,585,-0.0366,0.008,0.8617867953801188,0.0232
PPP1R2,-0.3584,0.0019100302757539742,67,585,-0.1266,0.0295,0.9027528056843022,0.0159
PDE1B,-0.3574,0.006837031571128714,67,585,-0.0376,-0.0002,0.9055524643035545,0.0154
LIG1,-0.3573,0.03750657995584395,67,585,-0.012,0.0248,0.9976759412731231,0.0004
PAX9,-0.3557,0.14042195742618724,67,585,0.0004,0.0077,0.9988716805228369,0.0002
UBL4B,-0.3548,0.004046776254234701,67,585,-0.0361,0.0011,0.9055524643035545,0.0153
FBXL8,-0.3541,0.003345555056157444,67,585,-0.0412,0.0035,0.9055524643035545,0.0153
LCE2B,-0.354,0.20349440028577148,67,567,0.0333,0.0468,0.9988716805228369,0.0002
RCAN2,-0.3528,0.009897952722140583,67,585,-0.0293,-0.0003,0.9055524643035545,0.0152
TENT4A,-0.3513,0.042195086686449786,67,585,-0.0184,0.0033,0.9976759412731231,0.0004
MYL5,-0.3512,0.005481917446155544,67,585,-0.0387,0.0035,0.9055524643035545,0.0151
SHISA6,-0.351,0.0021828049922646186,67,585,-0.0429,0.0026,0.9027528056843022,0.0156
FZR1,-0.351,0.008434761105454809,67,585,-0.1075,0.0192,0.9055524643035545,0.0151
DCTN2,-0.3502,0.02934596017748433,67,585,-0.0555,0.0007,0.9976759412731231,0.0004
CCM2,-0.3498,0.009645777432542267,67,585,-0.0152,0.0143,0.9055524643035545,0.0151
TBXA2R,-0.3497,0.010236575583176385,67,585,-0.031,0.0,0.9055524643035545,0.0151
ANAPC15,-0.3496,0.004108624382892671,67,585,-0.1508,0.0083,0.9055524643035545,0.0151
H2BC15,-0.3491,0.3544143009294255,67,567,0.1783,0.1839,0.9988716805228369,0.0002
DCTN3,-0.3486,0.020646668096065607,67,585,-0.0539,-0.0048,0.9666198580432177,0.0051
CALHM6,-0.3481,0.0041894035102110734,67,585,-0.0307,0.0045,0.9055524643035545,0.015
VDAC2,-0.3473,0.07763999474218601,67,585,0.0081,0.0238,0.9988716805228369,0.0002
GP1BA,-0.3473,0.016334946645613756,67,585,-0.0053,0.0021,0.9386686983213505,0.0095
GALM,-0.3467,0.005528291581788569,67,585,-0.0191,0.0021,0.9055524643035545,0.0149
STAT2,-0.3453,0.010155984959165398,67,585,-0.0418,-0.0062,0.9055524643035545,0.0149
SPRR1B,-0.3439,0.2869593836934773,23,134,0.0515,0.0536,0.9988716805228369,0.0002
TMT1B,-0.3431,0.004625219076982715,67,585,-0.047,0.0127,0.9055524643035545,0.0148
OR51E1,-0.3423,0.1387301388410554,61,570,-0.0015,0.0042,0.9988716805228369,0.0002
RBM42,-0.3419,0.04504845209645453,67,585,-0.0424,0.0226,0.9976759412731231,0.0003
SLAIN2,-0.3404,0.0034961697895694657,67,585,-0.0295,0.0086,0.9055524643035545,0.0147
LMBR1L,-0.3401,0.02488571363834851,67,585,-0.045,0.0,0.9976759412731231,0.0003
NECAB1,-0.3396,0.01283535469000747,67,585,-0.0202,0.011,0.9204724187690524,0.0122
CASR,-0.3396,0.000919424598505466,67,585,-0.0273,0.0189,0.7816447959322184,0.0363
LMTK2,-0.3396,0.0055516111587023366,67,585,-0.0267,0.0211,0.9055524643035545,0.0146
KRTAP16-1,-0.3395,0.00795415700448456,67,585,-0.0311,-0.0019,0.9055524643035545,0.0146
PPP1R7,-0.3392,0.01434162464306266,67,585,-0.0169,0.0286,0.937064421680845,0.0096
ZNF502,-0.3374,0.007452423113874104,67,585,-0.025,0.0045,0.9055524643035545,0.0145
HKDC1,-0.3371,0.035184692709731,67,585,-0.0107,0.0089,0.9976759412731231,0.0003
CBY2,-0.336,0.005244164939153157,67,585,-0.0191,0.0052,0.9055524643035545,0.0145
PECR,-0.335,0.035006727858083266,67,585,-0.0229,-0.0019,0.9976759412731231,0.0003
BEX4,-0.3339,0.0010462035080237154,67,585,-0.0351,0.0096,0.7816447959322184,0.0357
ACTL6A,-0.3336,0.0023858280058931796,67,585,-0.1504,0.0103,0.9027528056843022,0.0148
CBLL1,-0.3331,0.02698915364957088,67,585,-0.0356,0.0191,0.9976759412731231,0.0003
REST,-0.3318,0.04381648412021227,67,585,-0.0423,0.0072,0.9976759412731231,0.0003
CD2,-0.3315,0.05832121980328983,67,585,-0.0089,0.0072,0.9988716805228369,0.0002
MST1,-0.3315,0.1809468901281861,23,134,-0.0134,0.0111,0.9988716805228369,0.0002
A4GNT,-0.3313,0.0154984551320148,67,585,-0.0256,-0.0003,0.9386686983213505,0.0091
ACSM1,-0.331,0.003925608646340484,67,585,-0.0401,0.0027,0.9055524643035545,0.0143
CD1D,-0.3302,0.038330283505823334,67,585,-0.0248,0.0015,0.9976759412731231,0.0003
OR4K13,-0.3302,0.02847412797521991,61,570,-0.0167,0.0088,0.9976759412731231,0.0003
HOXC11,-0.3297,0.010135925777254884,67,585,-0.0333,0.0021,0.9055524643035545,0.0142
CPLX4,-0.3289,0.004868539139520486,67,585,-0.0164,0.0063,0.9055524643035545,0.0142
L1CAM,-0.3288,0.009588402879848456,67,585,-0.0182,0.0031,0.9055524643035545,0.0142
NAA40,-0.3286,0.022036755684901207,67,585,-0.0096,0.0108,0.982937975586974,0.0025
OR10R2,-0.3277,0.0056048054397622145,61,570,-0.0231,0.0077,0.9055524643035545,0.0141
FBXL17,-0.3274,0.006865267225994252,67,585,-0.0615,0.004,0.9055524643035545,0.0141
DDX19A,-0.3272,0.059699727138110566,67,585,0.0429,0.078,0.9988716805228369,0.0002
GRB7,-0.3269,0.0021138759302014743,67,585,-0.0366,0.0062,0.9027528056843022,0.0145
ALDOB,-0.3267,0.007036892117691423,67,585,-0.0234,0.0031,0.9055524643035545,0.0141
OR52D1,-0.3267,0.017077176938622714,61,570,-0.0229,0.0008,0.9386686983213505,0.009
DNAJC10,-0.3263,0.008485931983411524,67,585,-0.0303,0.0155,0.9055524643035545,0.0141
KRT28,-0.326,0.0031099104741390752,67,585,-0.037,0.013,0.9027528056843022,0.0145
PRRG3,-0.326,0.014616524039757581,67,585,-0.051,0.0,0.9382557101001527,0.009
ZBTB1,-0.3258,0.0030415506650344425,67,585,-0.0479,0.0165,0.9027528056843022,0.0145
ANGPTL1,-0.3257,0.005112527320839043,67,585,-0.0313,0.0001,0.9055524643035545,0.014
HPCAL4,-0.324,0.023381815589928377,67,585,-0.0383,0.003,0.9866071533903916,0.0019
OR5M3,-0.3239,0.021909623263929135,61,570,-0.0166,0.0125,0.9800737204410435,0.0028
ZSWIM2,-0.3235,0.0007145604164276302,67,585,-0.051,0.0,0.7334220095713464,0.0436
OR2C1,-0.3228,0.017669152739313382,61,570,-0.0631,-0.0006,0.9386686983213505,0.0089
CEP68,-0.3227,0.03506596389627148,67,585,-0.0393,0.0,0.9976759412731231,0.0003
MT4,-0.3221,0.01456117544301217,67,585,-0.0378,-0.002,0.9382557101001527,0.0089
C10orf95,-0.3215,0.12082866178083462,23,134,-0.0197,0.0098,0.9988716805228369,0.0002
GPR61,-0.3212,0.00710953248672765,67,585,-0.0412,0.0176,0.9055524643035545,0.0138
CDH23,-0.321,0.01434162464306266,67,585,-0.0232,0.0032,0.937064421680845,0.0091
CSTA,-0.3207,0.04482894749022387,67,585,-0.0101,0.0137,0.9976759412731231,0.0003
STRA8,-0.3206,0.009588402879848456,67,585,-0.023,0.0145,0.9055524643035545,0.0138
MFN1,-0.3202,0.1527990814758186,67,585,-0.0055,0.0083,0.9988716805228369,0.0002
PF4V1,-0.3194,0.009240130280316708,61,570,-0.0403,-0.0078,0.9055524643035545,0.0138
TPBGL,-0.3193,0.011879816926196178,67,585,-0.0474,0.0076,0.9204724187690524,0.0115
TAFA4,-0.3191,0.010115901879386602,67,585,-0.0309,0.001,0.9055524643035545,0.0137
NOTO,-0.319,0.012860090511269899,67,585,-0.034,0.0094,0.9204724187690524,0.0115
OS9,-0.3188,0.0035270232489908212,67,585,-0.0288,0.0218,0.9055524643035545,0.0137
WDR87,-0.3182,0.012638979014469096,67,585,-0.0079,0.0181,0.9204724187690524,0.0115
CPOX,-0.3182,0.014205892898116934,67,585,-0.0355,0.0165,0.937064421680845,0.009
GJA4,-0.318,0.011949229593478477,67,585,-0.0183,0.0097,0.9204724187690524,0.0114
DZANK1,-0.3168,0.006837031571128714,67,585,-0.0219,-0.0007,0.9055524643035545,0.0136
NAV2,-0.3167,0.033099307662154125,67,585,-0.0168,0.0065,0.9976759412731231,0.0003
FAM227B,-0.3165,0.02804826803330911,67,585,-0.0035,0.0112,0.9976759412731231,0.0003
GOSR1,-0.3162,0.009996496510446623,67,585,-0.0195,0.0102,0.9055524643035545,0.0136
AREG,-0.3161,0.009996496510446623,67,585,-0.0366,0.0014,0.9055524643035545,0.0136
KPNA2,-0.3161,0.018027445121018195,67,585,-0.0277,0.0322,0.9386686983213505,0.0087
ENTREP2,-0.3158,0.008166482403141322,67,585,-0.0395,-0.0032,0.9055524643035545,0.0136
UTP6,-0.3156,0.0514904814036962,67,585,-0.0146,-0.0045,0.9988716805228369,0.0002
TMEM221,-0.3151,0.062249130077290604,67,585,-0.0213,0.0023,0.9988716805228369,0.0002
DFFA,-0.3147,0.00240759973865425,67,585,-0.0344,0.0043,0.9027528056843022,0.014
PRAME,-0.3143,0.006752949612963443,67,585,-0.0243,-0.0045,0.9055524643035545,0.0135
FANCM,-0.3143,0.017828427366052755,67,585,-0.036,0.0354,0.9386686983213505,0.0086
LARP7,-0.3143,0.00914025273958822,67,585,-0.0682,0.0083,0.9055524643035545,0.0135
RAF1,-0.314,0.03602544012452604,67,585,-0.0039,0.0217,0.9976759412731231,0.0003
EPGN,-0.3134,0.005047834946333257,67,585,-0.033,0.0071,0.9055524643035545,0.0135
STAR,-0.3133,0.01740381487258227,67,585,-0.0215,0.0038,0.9386686983213505,0.0086
CHEK1,-0.3132,0.02605646176276922,67,585,-0.0998,0.0035,0.9976759412731231,0.0003
KRIT1,-0.3131,0.0028573704868753735,67,585,-0.044,0.0088,0.9027528056843022,0.0139
TAOK2,-0.3129,0.018982140029839507,67,585,-0.0197,0.0,0.9454687579862562,0.0076
ADAMTS3,-0.312,0.02996211017634952,67,585,-0.0177,0.0032,0.9976759412731231,0.0003
MBL2,-0.3117,0.023803233195592605,67,585,-0.0195,0.0036,0.9920600380151693,0.0011
CDH5,-0.3105,0.01839736909943836,67,585,-0.0223,0.0193,0.9386686983213505,0.0085
TAOK1,-0.3104,0.0060118801696899945,67,585,-0.0718,-0.0026,0.9055524643035545,0.0134
NKAIN2,-0.3103,0.01994431307658618,67,585,-0.0247,0.0078,0.95634250848791,0.006
PATL1,-0.3097,0.010196209386182875,67,585,-0.0311,0.0037,0.9055524643035545,0.0133
CSK,-0.3086,0.018636219764787285,67,585,-0.0544,0.0193,0.9386686983213505,0.0085
SAP130,-0.3084,0.042195086686449786,67,585,-0.0488,-0.001,0.9976759412731231,0.0003
ANKRD2,-0.3084,0.15201420500916818,67,585,-0.0027,-0.0021,0.9988716805228369,0.0002
DNAAF11,-0.3082,0.023381815589928377,67,585,-0.0236,0.0046,0.9866071533903916,0.0018
