gene,d_unstratified,fdr_unstratified,cs_unstratified,d_tp53mut,fdr_tp53mut,n_lost_tp53mut,n_intact_tp53mut,d_tp53wt,fdr_tp53wt,n_lost_tp53wt,n_intact_tp53wt,confounding_class
ADAM7,-0.4163,0.2446346496580845,0.2546,-0.3334,0.9085634321589086,52,376,-0.6258,0.8801446036990509,15,209,not significant
DCTN2,-0.4161,0.6780490098953341,0.0702,-0.4066,0.9999689672426924,52,376,-0.6092,0.8565507742402518,15,209,not significant
FZR1,-0.416,0.5559311675252981,0.1061,-0.4435,0.9958368092609757,52,376,-0.2709,0.9570556557072453,15,209,not significant
PAX1,-0.4116,0.4952628302477431,0.1256,-0.3745,0.9958368092609757,52,376,-0.4995,0.8860826964290076,15,209,not significant
PHPT1,-0.411,0.2446346496580845,0.2513,-0.3476,0.9999689672426924,52,376,-0.6188,0.8565507742402518,15,209,not significant
LIMK2,-0.41,0.6780490098953341,0.0692,-0.2747,0.9999689672426924,52,376,-0.8198,0.8565507742402518,15,209,not significant
SPRED2,-0.4088,0.2446346496580845,0.25,-0.4884,0.5914863145194388,52,376,-0.2948,0.8646953223146893,15,209,not significant
PRKCE,-0.4057,0.6451632751223236,0.0772,-0.3642,0.9999689672426924,52,376,-0.6753,0.8565507742402518,15,209,not significant
PRKD3,-0.405,0.7119858820355325,0.0597,-0.2013,0.9999689672426924,52,376,-1.0042,0.870743014543521,15,209,not significant
OR52D1,-0.4037,0.5148043083045757,0.1164,-0.3169,0.9999689672426924,48,364,-0.6063,0.8565507742402518,13,206,not significant
PF4,-0.4024,0.5233633374815786,0.1132,-0.4226,0.9396996915509332,48,364,-0.3712,0.9134622011678166,13,206,not significant
RAD51,-0.4022,0.2960357973687008,0.2126,-0.3603,0.9085634321589086,52,376,-0.5355,0.8565507742402518,15,209,not significant
IYD,-0.4015,0.5031518987318858,0.1198,-0.3606,0.9085634321589086,52,376,-0.571,0.8990744118498754,15,209,not significant
SLAIN2,-0.4,0.4762008617394153,0.1289,-0.3935,0.9999689672426924,52,376,-0.4661,0.8565507742402518,15,209,not significant
RPL6,-0.3992,0.8359229090433322,0.0311,-0.5762,0.9999689672426924,18,104,0.0387,0.9863389484109085,5,30,not significant
TPBGL,-0.3962,0.5221159999823018,0.1118,-0.3618,0.9999689672426924,52,376,-0.5401,0.8801446036990509,15,209,not significant
HINT1,-0.3958,0.3767898540284046,0.1678,-0.3986,0.9085634321589086,52,376,-0.438,0.8801446036990509,15,209,not significant
ITGB5,-0.3899,0.5910446511533526,0.089,-0.4034,0.9999689672426924,52,376,-0.3582,0.9503931024834732,15,209,not significant
H2BC15,-0.3897,0.9317321247622332,0.012,-0.2726,0.9999689672426924,52,366,-0.883,0.927055149008759,15,201,not significant
PAX9,-0.3896,0.779174714124885,0.0422,-0.4782,0.9999689672426924,52,376,0.0548,0.9897097931038553,15,209,not significant
STAT2,-0.3893,0.5233633374815786,0.1095,-0.3834,0.9999689672426924,52,376,-0.4912,0.8565507742402518,15,209,not significant
PTPN11,-0.3892,0.5559311675252981,0.0992,-0.2895,0.9999689672426924,52,376,-0.637,0.8565507742402518,15,209,not significant
MARS1,-0.3884,0.5598093086198781,0.0979,-0.361,0.9999689672426924,52,376,-0.6041,0.8565507742402518,15,209,not significant
REST,-0.3871,0.6780490098953341,0.0653,-0.3367,0.9999689672426924,52,376,-0.5506,0.9157113964247774,15,209,not significant
SHISA6,-0.3858,0.5221159999823018,0.1089,-0.3207,0.9999689672426924,52,376,-0.5454,0.8903606145203774,15,209,not significant
