cancer_type,gene,cohens_d,p_value,n_lost,n_intact,median_dep_lost,median_dep_intact,fdr,composite_score,gene_set
Pan-cancer (RAS-excluded),DCTN2,-0.4161,0.010795614170694804,67,585,-1.0292,-0.9405,0.6780490098953341,0.0702,
Pan-cancer (RAS-excluded),FZR1,-0.416,0.003782912324041634,67,585,-0.356,-0.2163,0.5559311675252981,0.1061,
Pan-cancer (RAS-excluded),PAX1,-0.4116,0.000856234885822321,67,585,-0.0761,-0.0205,0.49526283024774315,0.1256,
Pan-cancer (RAS-excluded),PHPT1,-0.411,0.0001552967936384701,67,585,-0.0259,0.011,0.24463464965808454,0.2513,
Pan-cancer (RAS-excluded),LIMK2,-0.41,0.010543887259331173,67,585,0.0494,0.0697,0.6780490098953341,0.0692,
Pan-cancer (RAS-excluded),SPRED2,-0.4088,0.00010548325294303169,67,585,0.0339,0.1048,0.24463464965808454,0.25,
Pan-cancer (RAS-excluded),PRKCE,-0.4057,0.008658515294623482,67,585,-0.0845,-0.05,0.6451632751223236,0.0772,
Pan-cancer (RAS-excluded),PRKD3,-0.405,0.02388830893388724,67,585,-0.0221,0.004,0.7119858820355325,0.0597,
Pan-cancer (RAS-excluded),OR52D1,-0.4037,0.0014274288651252543,61,570,-0.029,0.0027,0.5148043083045757,0.1164,
Pan-cancer (RAS-excluded),PF4,-0.4024,0.002480311508824767,61,570,-0.2637,-0.2236,0.5233633374815786,0.1132,
Pan-cancer (RAS-excluded),RAD51,-0.4022,0.0003136846885285436,67,585,-1.4021,-1.2119,0.29603579736870084,0.2126,
Pan-cancer (RAS-excluded),IYD,-0.4015,0.0009702156695912626,67,585,-0.0716,-0.0298,0.5031518987318858,0.1198,
Pan-cancer (RAS-excluded),SLAIN2,-0.4,0.0007436073910380698,67,585,-0.1247,-0.0738,0.47620086173941534,0.1289,
Pan-cancer (RAS-excluded),RPL6,-0.3992,0.08908865535563035,23,134,-2.579,-2.3275,0.8359229090433322,0.0311,
Pan-cancer (RAS-excluded),TPBGL,-0.3962,0.001963756319866956,67,585,-0.1569,-0.0981,0.5221159999823018,0.1118,
Pan-cancer (RAS-excluded),HINT1,-0.3958,0.00046229305608303504,67,585,0.0242,0.0602,0.3767898540284046,0.1678,
Pan-cancer (RAS-excluded),ITGB5,-0.3899,0.006922055476114218,67,585,-0.4659,-0.3643,0.5910446511533526,0.089,
Pan-cancer (RAS-excluded),H2BC15,-0.3897,0.263006402521054,67,567,-0.8899,-0.8575,0.9317321247622332,0.012,
Pan-cancer (RAS-excluded),PAX9,-0.3896,0.048373374807000095,67,585,0.056,0.0639,0.779174714124885,0.0422,
Pan-cancer (RAS-excluded),STAT2,-0.3893,0.0022952953965709537,67,585,-0.1384,-0.0876,0.5233633374815786,0.1095,
Pan-cancer (RAS-excluded),PTPN11,-0.3892,0.0032436679405577857,67,585,-0.873,-0.7582,0.5559311675252981,0.0992,RAS/MAPK core
Pan-cancer (RAS-excluded),MARS1,-0.3884,0.004308630931046915,67,585,-1.906,-1.7893,0.5598093086198781,0.0979,
Pan-cancer (RAS-excluded),REST,-0.3871,0.012736835764015709,67,585,-0.2227,-0.1823,0.6780490098953341,0.0653,
Pan-cancer (RAS-excluded),SHISA6,-0.3858,0.001490855514853203,67,585,0.0081,0.0466,0.5221159999823018,0.1089,
Pan-cancer (RAS-excluded),RBM42,-0.385,0.02284367119979275,67,585,-0.7019,-0.631,0.711128243547715,0.057,
Pan-cancer (RAS-excluded),FKBP6,-0.3809,0.06661584136075242,23,134,0.2436,0.3137,0.8135785120137442,0.0341,
Pan-cancer (RAS-excluded),MFN1,-0.3803,0.025782150593732383,67,585,-0.0905,-0.0383,0.7219270726160641,0.0538,
Pan-cancer (RAS-excluded),LMTK2,-0.3797,0.0019012093097955133,67,585,-0.1158,-0.0599,0.5221159999823018,0.1072,
Pan-cancer (RAS-excluded),PATL1,-0.379,0.0013528246513794578,67,585,-0.0691,-0.0229,0.5148043083045757,0.1093,
Pan-cancer (RAS-excluded),ANAPC4,-0.3786,0.008383869187548729,67,585,-1.2694,-1.1475,0.6451632751223236,0.0721,
Pan-cancer (RAS-excluded),OR2C1,-0.3779,0.006373387206950652,61,570,-0.0972,-0.0311,0.5910446511533526,0.0863,
Pan-cancer (RAS-excluded),GALM,-0.3744,0.0016494688777629063,67,585,-0.0367,-0.0134,0.5221159999823018,0.1057,
Pan-cancer (RAS-excluded),PRRG3,-0.3728,0.0034503513405316957,67,585,0.048,0.0933,0.5559311675252981,0.0951,
Pan-cancer (RAS-excluded),KLHL38,-0.3712,0.18450711817570664,67,585,-0.0845,-0.0707,0.8990645357508448,0.0172,
Pan-cancer (RAS-excluded),RAF1,-0.3678,0.018161207223763163,67,585,-0.0937,-0.0563,0.6956303534759828,0.058,RAS/MAPK core
Pan-cancer (RAS-excluded),MYL5,-0.3675,0.0036931075188394702,67,585,0.075,0.1066,0.5559311675252981,0.0937,
