,MOFA_0,MOFA_1,MOFA_2,MOFA_3,MOFA_4,MOFA_5,MOFA_6,MOFA_7,MOFA_8
C3001,-1.2599714856633168,0.342495280975343,-1.3759007992101326,0.7786045547021563,1.8157242926598394,0.7365342775553081,-0.5190335908556923,-0.2304601895407722,-0.6440924101703412
C3002,-1.0472400203981236,1.2379926768374991,2.229933461061443,-0.4397668061401571,1.650749655141938,0.5938603376003261,-0.573404432203152,0.22724371158140058,-0.9659479117761989
C3008,-1.8536996438811424,0.6683573175079397,-1.315409683935509,0.901294171053955,-0.41785688479594246,0.9287628814363535,0.4996986424665436,-0.05894176480930119,0.3394807398810585
C3009,3.1907490893485084,-1.2392693195295128,-1.2115664689200116,-1.7281850609285914,0.7302948290030207,-1.1032248032959995,0.14997584437870903,0.003090230458713329,0.01985951656081319
C3010,-1.6613705483280055,1.5479406354112353,-1.3638380495855558,0.08275469122781717,-0.6840189860789369,0.902921717755481,-0.13397071902687993,-0.30269802288367775,0.3053971233375575
C3012,2.286372665515575,0.6684699618801512,2.0537564717709156,0.8896545186684937,-1.031736708513929,0.12768290353956666,0.14118520016937333,-0.14116365899068126,0.1116570121060835
C3016,2.529599116543935,1.2374240112327406,0.9242288859883968,-0.6531082104238491,-0.9024617680357714,0.8937589834145505,0.16763012354298848,0.06716128492131533,0.0950794865047031
C3017,-0.8899328770666746,-1.1209949960805266,1.896379912028569,-0.5995582578539624,-0.7044724276563543,-0.9212020092640807,-1.7325189157714407,-0.36749206199300216,1.0662522754713717
C3021,-1.7545662573958674,0.08751393929983142,-1.189895379029793,1.198787259645731,-0.30644738436785934,0.8167570319771067,0.528378877131473,-0.014146503621990198,0.33874648322573836
C3023,-1.6265549567212556,-0.31209974812338764,-1.127095601952129,-0.4628874073377647,-0.43967651178348355,0.8625964470162462,0.3911819931697884,-0.10328827469342487,0.292633593516183
C3027,-1.554469144938484,0.7357391928117026,-1.4517648677780195,0.31329383062939753,0.4439204695436512,0.7852628490445615,-0.20345064414288178,0.630332318960894,-1.0284863262998933
C3028,-1.6607759666173698,-1.4598895350449523,-1.3398085030780982,0.30888584777811345,-0.5509364621036452,0.6599536438866177,0.17420493801667594,0.4732626007165888,-0.8370725675071952
C3030,-1.5274061401633772,-0.13511977812656037,-0.8508468399196625,-1.6367413857147524,-0.4390430928102035,-1.0641424472568608,0.44753538261507825,-0.07931868974343163,0.3295230277788689
C3031,3.4209421262437543,-1.3561663499010976,1.3878599946430434,0.9117495006348756,1.3896562576974913,-0.9279979064336057,0.15138708008027463,0.17915267372264523,0.028608193715927245
C3035,2.012729095831988,0.21207521975067634,2.076851913657985,0.9056387140260278,-0.4392908239678925,0.7690698069007279,0.12308798577642609,-0.10863228629674576,0.1384771378765765
E5001,-1.2336422484363243,-0.3673127416297943,-0.5832620290663636,-0.8196969421069412,-0.08456665586277752,-0.9599802118559411,-0.13702658262424736,-0.44170747463871673,-0.31913075198852753
E5009,-1.7065372110430868,-0.7299550128692137,-0.6283491914490884,1.1037796698711766,-0.15456651892557202,0.6634779095692765,0.3440648642835543,0.022741634802707113,0.3552970438509809
E5013,3.335173757454291,-0.21715172901193078,-0.7311058260183587,-0.47402201248123527,-0.7900418493044392,0.8231079178654089,0.08158653711228384,0.26809548609953276,-0.04958325384464377
H4001,0.7813599212421186,-0.19120208048534526,-0.9085995445179341,-0.8588868754610308,-0.05096954139244359,-0.7749676878534905,-0.5111685974229215,0.9646527267132803,-0.029408333426806894
H4004,0.502370999804748,-0.0603578264709752,-1.05594126981106,-1.1732496063441307,0.3836436205070422,-0.7970233916144174,0.01452823994106311,-0.7874654230606772,-0.7159057354277467
H4006,0.48942541708239495,0.5359702384879015,-0.9745547461300094,-0.9977125336102504,1.0554990559614594,0.16284534833478115,-0.342990200333191,0.5841705674106875,-0.12431437450938627
H4007,-2.617858737796186,1.140001013525583,2.50836802981585,0.9841027467142435,0.09989510366140815,1.2320498460636042,0.4563963727427616,0.005431384428144121,0.2278974203237647
