,MOFA_0,MOFA_1,MOFA_2
sp_0,0.36263485656341543,0.4195614563615996,0.17362826015407534
sp_1,0.18132119193003468,0.44712282126348546,0.1685760448905851
sp_2,0.1828693692816119,-0.4840870389753316,-0.024824429641471593
sp_3,-0.3480364830341987,-0.7403804153497203,-0.25546942087251334
sp_4,-0.40760572169376524,0.15242529381569944,-0.009965374569259071
sp_5,0.3862631258450558,0.35678122056520023,-0.06988278528324433
sp_6,1.5098759420207268,-0.2428815200337573,-0.01919615660509237
sp_7,0.16036155242970057,-0.755938524202734,0.38750293100746036
sp_8,-0.49755073393446864,-0.47277390057699326,0.518003517190058
sp_9,-0.13843949882820158,-0.25487706721149,-0.5370142355858318
sp_10,0.5627009459057611,-0.1273632941406433,0.21504988557015503
sp_11,0.9977710426705925,0.5427504631674746,0.6580730348024857
