feature,mean_in_subtype,mean_out_subtype,mean_diff,p_value,fdr
Bacteroides_Bacteroides_salyersiae,-1.1360025038440198,-2.317968826419081,1.1819663225750614,0.009052742504372527,0.6498369441196127
Peptostreptococcaceae_noname_Peptostreptococcaceae_noname_unclassified,0.9604548630665775,2.467349119839709,-1.5068942567731314,0.009618281846359013,0.6498369441196127
Parabacteroides_Parabacteroides_johnsonii,-1.0834325097096908,-2.7051142514972115,1.6216817417875207,0.01021510891463615,0.6498369441196127
Paraprevotella_Paraprevotella_xylaniphila,-1.6513134957951898,-2.7651161480747986,1.1138026522796087,0.01294523494826934,0.6498369441196127
Bifidobacterium_Bifidobacterium_pseudocatenulatum,-0.6314033492530539,-2.0285840364745495,1.3971806872214958,0.016301994400908213,0.6498369441196127
Lachnospiraceae_noname_Lachnospiraceae_bacterium_8_1_57FAA,2.0095638403026284,3.309527317847237,-1.2999634775446087,0.017252308250963168,0.6498369441196127
Blautia_Ruminococcus_obeum,3.29067720540638,3.8303568300813353,-0.5396796246749553,0.034779041317124205,0.9345510024376594
Bacteroides_Bacteroides_sp_4_3_47FAA,-1.1269926771191427,-2.1782027730892777,1.051210095970135,0.034779041317124205,0.9345510024376594
Odoribacter_Odoribacter_unclassified,-1.4085899254122973,0.24205318253178354,-1.6506431079440809,0.0405081015630998,0.9345510024376594
Porphyromonas_Porphyromonas_uenonis,-2.0491979607045794,-3.0124964410354433,0.963298480330864,0.04475653945736233,0.9345510024376594
Megamonas_Megamonas_unclassified,-1.6760837810934304,-2.6321332850127463,0.956049503919316,0.05182992721790964,0.9345510024376594
Ruminococcus_Ruminococcus_bromii,0.9809389576191314,2.9132800265995864,-1.932341068980455,0.05438638016139703,0.9345510024376594
Streptococcus_Streptococcus_salivarius,0.7947850985349048,1.8466848794023556,-1.0518997808674508,0.07202455899335196,0.9345510024376594
Butyricicoccus_Butyricicoccus_pullicaecorum,-1.7151375423939548,-2.2372505934750206,0.5221130510810659,0.07537666387270958,0.9345510024376594
Saccharomyces_Saccharomyces_cerevisiae,-2.451977342718541,-2.780232866122383,0.328255523403842,0.07885504887648569,0.9345510024376594
Streptococcus_Streptococcus_parasanguinis,0.6491955005203819,2.0645495139303573,-1.4153540134099756,0.07885504887648569,0.9345510024376594
Erysipelotrichaceae_noname_Erysipelotrichaceae_bacterium_5_2_54FAA,-2.0764367173200315,-2.871881089175531,0.7954443718554995,0.08246291044055036,0.9345510024376594
Bifidobacterium_Bifidobacterium_catenulatum,-1.858312028460632,-2.471136262201254,0.612824233740622,0.09007986955483889,0.9345510024376594
Klebsiella_Klebsiella_pneumoniae,0.42545980971513,2.4105095116424344,-1.9850497019273043,0.09409536824701477,0.9345510024376594
Siphoviridae_noname_Propionibacterium_phage_PAD20,-2.2515513403468423,-2.5446202704892364,0.2930689301423941,0.10255635562921431,0.9345510024376594
