treatment_id,drug_name,cohens_d,p_value,n_lost,n_intact,median_sens_lost,median_sens_intact,fdr
BRD:BRD-K04643927-001-01-6,,-0.2348,0.03094158359915158,75,393,0.1099,0.2037,0.3649182949335905
BRD:BRD-K04657451-001-01-0,,0.1963,0.0877858171971683,84,458,0.1023,0.0537,0.5557739199028833
BRD:BRD-K04691817-001-01-8,,-0.0297,0.5404740572019044,85,468,0.1452,0.1708,0.880366774285817
BRD:BRD-K04701033-001-04-7,,-0.0155,0.9713746722054598,85,451,-0.7098,-0.7221,0.994708763600908
BRD:BRD-K04704168-003-14-3,,-0.0075,0.7868187034645057,85,468,0.186,0.2048,0.9600772376444898
BRD:BRD-K04710043-001-17-8,,0.041,0.8188314052422687,85,451,0.0988,0.0959,0.9650209892770366
BRD:BRD-K04804440-001-09-5,,0.0974,0.35306550343659815,85,468,0.2367,0.2019,0.8039284937406108
BRD:BRD-K04833372-001-06-2,,-0.1695,0.09184183017932401,85,465,-0.0145,0.0714,0.5613084332587877
BRD:BRD-K04843302-001-02-5,,-0.4261,0.00020015275672945,74,393,0.1094,0.2508,0.02164428788792094
BRD:BRD-K04851519-001-06-8,,0.0259,0.9415218264792276,85,471,-0.1766,-0.1383,0.9909725696531283
BRD:BRD-K04853698-376-01-4,LDN193189,-0.4083,2.2974868417836184e-05,118,754,-6.1334,-5.2991,0.005777753946559544
BRD:BRD-K04923131-001-15-4,,-0.4027,0.0022689713602127093,85,463,-0.0219,0.2184,0.09225338644218141
BRD:BRD-K04956647-003-02-5,,-0.0204,0.8199220688150962,85,468,0.2083,0.2281,0.9650209892770366
BRD:BRD-K04972057-001-01-1,,-0.0462,0.2818751698897226,75,393,-0.0722,-0.02,0.7750566636520162
BRD:BRD-K04993719-001-01-7,,-0.1668,0.06699574024989895,85,466,0.0874,0.2663,0.5111248048278807
BRD:BRD-K05048137-001-03-9,,-0.0813,0.25421494720655347,85,465,-0.2597,-0.2312,0.7564064380072296
BRD:BRD-K05104363-001-10-0,,0.122,0.12101221342300171,78,457,-0.3491,-0.5063,0.6103531054627475
BRD:BRD-K05151076-001-02-6,,0.1677,0.1672794454741401,85,468,0.2459,0.2039,0.6619038408785176
BRD:BRD-K05181084-003-03-7,,-0.1843,0.12775968952991254,85,469,-0.0926,-0.0269,0.6167819891412526
BRD:BRD-K05185389-001-02-6,risedronate,0.1811,0.09323882194924427,118,754,0.0025,-0.0857,0.5617004299427754
BRD:BRD-K05236810-001-19-0,,0.1957,0.2250145688145636,85,467,0.2146,0.1972,0.7265575595410246
BRD:BRD-K05262258-001-02-9,TC-I-2014,-0.105,0.18723883909986205,118,756,-0.2437,-0.1941,0.6878228401070947
BRD:BRD-K05355328-001-02-9,anagliptin,0.0963,0.3122033753144463,118,756,-0.041,-0.096,0.7869673870564223
BRD:BRD-K05361803-001-03-9,,-0.0605,0.5236214484656391,85,469,0.104,0.1451,0.8754048371534858
BRD:BRD-K05395900-322-05-4,,-0.0667,0.9315412500658676,85,464,0.2986,0.2716,0.9892215514773666
BRD:BRD-K05419687-001-01-0,,-0.0864,0.47749512273001515,74,393,0.2104,0.2395,0.8570408995833286
BRD:BRD-K05434375-001-06-5,,0.1371,0.25843027722255996,85,468,0.3799,0.3383,0.7599573765011616
BRD:BRD-K05444225-001-01-7,,-0.0795,0.34789864765135015,84,458,-0.6288,-0.588,0.8018437941455083
BRD:BRD-K05445342-001-05-3,,-0.0605,0.510772248045977,77,447,-3.6531,-3.4149,0.8674696258709814
BRD:BRD-K05446112-001-01-8,,-0.1172,0.1891456454116962,85,468,0.2183,0.3039,0.689741639283253
BRD:BRD-K05464208-001-05-7,,-0.1098,0.1931482344718366,85,469,-0.1267,-0.0425,0.6928852546948877
BRD:BRD-K05524748-003-04-4,,-0.031,0.44948214392184027,77,454,0.0842,0.0629,0.8447487165460761
BRD:BRD-K05528470-305-02-2,,-0.0631,0.7193528771279556,84,471,0.0818,0.1085,0.9461795866674007
BRD:BRD-K05531427-001-01-7,,-0.2745,0.020445190927645487,75,393,-2.5711,-2.2289,0.3025193094396365
BRD:BRD-K05619559-001-12-7,,0.0429,0.504217613711796,85,473,-0.1903,-0.1951,0.8649181530171517
BRD:BRD-K05638300-001-01-2,,-0.1419,0.2299962528427687,77,447,-0.335,-0.3107,0.7314403045002529
BRD:BRD-K05653025-001-02-9,NHI-2,-0.0848,0.2852821242504956,118,754,0.0055,0.0535,0.7755867175586002
BRD:BRD-K05658747-001-02-9,,0.1329,0.3224261071876401,85,465,-0.0386,-0.1331,0.7898036744717699
BRD:BRD-K05673000-236-12-1,,-0.1422,0.25749875687421075,85,468,0.2201,0.2354,0.7591167130866954
BRD:BRD-K05674516-001-01-7,,0.1034,0.27642362567888534,83,467,-0.1328,-0.1942,0.7718873898335675
BRD:BRD-K05674516-001-02-5,,-0.0729,0.6791681627766446,85,468,0.1055,0.0888,0.9347421017913686
BRD:BRD-K05677083-001-05-4,,-0.1716,0.28024852444399695,77,447,-0.1176,-0.0784,0.7747510755049147
BRD:BRD-K05804044-001-06-0,BRD-K05804044-001-18-5,0.0493,0.2959077136433703,85,468,0.2786,0.1348,0.7787243655729045
BRD:BRD-K05804044-001-18-5,BRD-K05804044-001-18-5,0.2312,0.0038089013446060177,119,761,-0.6031,-0.8835,0.12677666730330814
BRD:BRD-K05850076-001-01-5,,0.131,0.2109300551466914,84,467,-0.1436,-0.2213,0.7122402116211005
BRD:BRD-K05858796-001-01-7,,-0.1345,0.33040828124781796,84,450,-0.1045,-0.099,0.7928190262223274
BRD:BRD-K05878375-236-05-7,,-0.0463,0.7761000041840405,77,447,-0.1172,-0.0637,0.9583533458244655
BRD:BRD-K05900209-001-03-4,,-0.155,0.30567137800373756,77,447,-0.1316,-0.079,0.7846913635710313
BRD:BRD-K05906022-001-05-1,,0.2982,0.01829355945527071,85,464,-0.0248,-0.1404,0.2868666713655615
BRD:BRD-K05907307-001-07-1,,0.0433,0.8056999432773648,85,469,0.1513,0.139,0.9635272855031012
BRD:BRD-K05919151-001-01-6,,0.2091,0.15596739488922728,77,447,0.0766,0.0749,0.6540089682348814
BRD:BRD-K05973499-300-01-0,,0.0175,0.46823074791953256,74,393,0.2397,0.2059,0.855257497856143
BRD:BRD-K05977355-001-19-0,,-0.0743,0.42344027393717,85,466,0.0124,0.0221,0.8392082838266958
BRD:BRD-K05977823-001-05-3,,-0.2245,0.09308137584853968,74,393,-0.7498,-0.6711,0.5617004299427754
BRD:BRD-K06014311-001-04-9,DH-97,0.0836,0.3840669269397887,118,754,-0.0263,-0.0334,0.8209597219056928
BRD:BRD-K06147391-300-06-8,,-0.0711,0.7715350621629834,85,468,0.1198,0.1772,0.9583533458244655
BRD:BRD-K06152156-001-01-8,,0.114,0.2521553003483622,68,412,0.2049,0.1473,0.7532487854665109
BRD:BRD-K06159959-001-03-9,CCMQ,-0.0271,0.8275806918583563,118,756,0.0714,0.029,0.9669710646967267
BRD:BRD-K06181161-048-15-1,,0.0782,0.4994646066309236,85,469,-0.1036,-0.1386,0.8635196831595705
BRD:BRD-K06182768-001-02-3,,-0.1819,0.09581734719689283,84,451,-0.0525,0.0121,0.5641111040573704
BRD:BRD-K06191411-001-02-5,SM-164,0.0014,0.6020939610781881,118,754,-0.2579,-0.2194,0.9093042807072408
BRD:BRD-K06204668-001-03-9,"3,4-DCPG-(R)",-0.0667,0.4047957859668335,118,754,0.1212,0.1517,0.8288917085585613
BRD:BRD-K06208435-003-08-2,,-0.0215,0.6505200688117505,85,473,-0.0064,-0.0002,0.9274639502753704
BRD:BRD-K06221026-001-06-8,,0.1147,0.21183315462083818,85,471,0.1438,0.0483,0.7131121070280075
BRD:BRD-K06222852-001-03-2,,0.0453,0.49747925356900013,85,465,-0.035,-0.1263,0.8635196831595705
BRD:BRD-K06234293-001-04-2,,-0.0195,0.7764549138182582,85,463,-1.4898,-1.4785,0.9583533458244655
BRD:BRD-K06240250-001-01-6,,-0.0888,0.16412563458184348,85,468,-0.038,0.0562,0.6584568278868157
BRD:BRD-K06273313-001-07-9,,-0.0294,0.6415927930862169,84,451,-0.0677,-0.0448,0.9243932408882788
BRD:BRD-K06294530-001-01-5,,-0.0703,0.48998160352248976,85,465,0.4421,0.4729,0.8610827537729526
BRD:BRD-K06328344-015-01-7,,0.1335,0.24525466095642756,84,451,-0.0038,-0.0421,0.7476558055605527
BRD:BRD-K06335600-003-20-7,,0.0528,0.41887167639423106,85,468,0.2158,0.1989,0.8364141922274281
BRD:BRD-K06357403-001-01-4,,-0.0161,0.9537167815021543,84,451,-0.155,-0.163,0.9920885115819289
BRD:BRD-K06388322-312-02-6,,-0.2173,0.03601384751175581,85,468,0.1063,0.2084,0.39098567321782896
BRD:BRD-K06388517-001-01-2,,-0.1301,0.17804343646458676,85,451,0.005,0.0835,0.6779781463611096
BRD:BRD-K06405316-001-04-9,CID-2745687,-0.152,0.2613679710586836,118,754,0.0811,0.0999,0.7611596524397584
BRD:BRD-K06408664-001-03-5,fludrocortisone-acetate,0.0486,0.577689650078065,85,469,-0.0021,-0.0985,0.8963897221104955
BRD:BRD-K06408664-001-04-9,fludrocortisone-acetate,-0.0781,0.7769588910897176,118,756,-0.0845,-0.0478,0.9583533458244655
BRD:BRD-K06426971-001-02-7,,-0.2817,0.0188086222101124,85,469,-3.0256,-2.6973,0.2927030373317837
BRD:BRD-K06455935-001-01-3,,-0.2048,0.06095698272340719,84,451,0.0929,0.154,0.4956861229843531
BRD:BRD-K06467130-304-02-7,,-0.1444,0.14163588344876296,85,451,-0.2073,-0.1296,0.636261683109353
BRD:BRD-K06496777-003-02-9,AT-1015,0.0088,0.37405626389503455,118,754,-0.0215,-0.038,0.816490657053582
BRD:BRD-K06502269-001-02-6,,-0.0573,0.5183336927002089,85,451,-0.0191,0.0016,0.8715913257638481
BRD:BRD-K06519765-001-01-1,,-0.1266,0.27291352679660874,85,451,-1.0033,-0.806,0.7679580799622766
BRD:BRD-K06520168-001-03-9,propyphenazone,-0.1322,0.568976582697178,117,752,0.194,0.2066,0.8942393512474867
BRD:BRD-K06542892-001-01-9,,0.4054,0.001870466680960773,84,462,0.1278,-0.0369,0.08070187867943347
BRD:BRD-K06543683-066-02-1,,-0.5946,4.691129250890467e-06,84,471,-0.7073,-0.1017,0.0016764614533445407
BRD:BRD-K06557128-001-07-0,,-0.126,0.4343229724195977,85,468,0.0988,0.13,0.8423389885479904
BRD:BRD-K06593056-001-04-8,,0.0712,0.5812716625641678,85,465,-0.1854,-0.2219,0.8984371929912816
BRD:BRD-K06644925-001-03-0,,-0.0412,0.555349070532601,84,471,-0.1649,-0.0832,0.8887155759878295
BRD:BRD-K06674495-334-03-2,,0.0286,0.5341463129495657,85,468,0.2601,0.225,0.8784578834508685
BRD:BRD-K06712146-001-04-9,YM-90709,0.1503,0.05085737838008799,118,751,-0.1264,-0.1957,0.45920425425637956
BRD:BRD-K06749501-001-02-1,,0.1773,0.10969006892581379,85,469,0.0392,-0.0616,0.5887776209308876
BRD:BRD-K06750613-001-07-3,,-0.1436,0.2184054948618137,75,393,-4.0393,-3.883,0.7195740029856945
BRD:BRD-K06753942-001-14-5,,-0.2076,0.10214500437066852,85,465,-0.869,-0.7765,0.5770088017278197
BRD:BRD-K06762493-001-08-1,,0.1886,0.13714175168618803,85,468,0.4023,0.3399,0.6262546490142553
BRD:BRD-K06814349-304-01-9,,-0.1877,0.08721837230588145,85,465,-3.3613,-3.0757,0.5555466678770498
BRD:BRD-K06854232-001-19-9,,0.2036,0.08374719422773401,85,459,0.0358,-0.0344,0.5444454124332592
BRD:BRD-K06858286-001-01-3,,-0.0775,0.5557129816803859,85,468,-2.1963,-2.166,0.8888789506736914
BRD:BRD-K06878038-001-18-6,,0.0068,0.5807630612940862,85,465,0.158,0.1186,0.898264507104065
BRD:BRD-K06883221-001-01-9,,0.1805,0.2711346117655662,84,451,0.2008,0.1767,0.7657969197515594
BRD:BRD-K06890060-001-09-1,,0.0152,0.7033845295812524,74,393,0.0013,-0.0069,0.94243561864584
BRD:BRD-K06900071-001-01-2,,-0.0949,0.2694707410789816,85,468,0.1455,0.1974,0.7655675028980273
BRD:BRD-K06902185-003-01-7,,0.2155,0.07637950528199917,85,468,0.3358,0.3002,0.533008058442728
BRD:BRD-K06980535-003-25-9,,0.0409,0.4843102246338402,78,457,-0.4361,-0.4806,0.8601483590341278
BRD:BRD-K07061232-001-01-8,,0.1659,0.10986469009122747,75,393,0.0329,0.0025,0.5887776209308876
BRD:BRD-K07070922-001-01-4,,-0.0836,0.36439034163497575,85,451,-0.0832,-0.0727,0.8138368889168844
BRD:BRD-K07074923-001-01-5,,0.0828,0.299308853695203,75,393,0.1004,0.0543,0.7816565833040109
BRD:BRD-K07106112-003-03-8,,0.381,0.0010837387110508073,85,468,0.0381,-0.1992,0.05748895193777329
BRD:BRD-K07150325-001-01-7,,0.0625,0.8271856687750658,74,393,0.196,0.2217,0.9669710646967267
BRD:BRD-K07160047-001-01-3,,0.1271,0.4287057134090585,85,468,0.1589,0.1546,0.840486706479262
BRD:BRD-K07166362-330-02-8,,-0.0676,0.5884366036438757,77,447,-0.225,-0.2344,0.9036413957669618
BRD:BRD-K07202345-001-19-4,,-0.0188,0.509586442986911,85,471,0.0307,-0.0203,0.8669661426528859
BRD:BRD-K07208025-001-29-7,,0.0229,0.7636445697075915,85,468,0.2171,0.155,0.9583533458244655
BRD:BRD-K07220430-001-18-4,,0.0231,0.5656546153501124,85,468,-0.6122,-0.6406,0.8929164494130424
BRD:BRD-K07220430-001-19-2,,0.1968,0.20741006793620576,85,468,0.1075,0.0457,0.7109169279784221
BRD:BRD-K07237224-001-19-6,,-0.106,0.24530079761557,85,468,0.3882,0.4521,0.7476558055605527
BRD:BRD-K07265709-003-05-6,,-0.0222,0.8195094528736381,77,447,-0.5048,-0.4896,0.9650209892770366
BRD:BRD-K07283971-001-01-3,,-0.0875,0.7800154455325148,85,468,0.0863,0.1074,0.9592166177826621
BRD:BRD-K07310275-001-02-5,,-0.0957,0.35999361154967024,85,468,-3.4572,-3.2656,0.8109741608054332
BRD:BRD-K07359318-001-03-9,,-0.0344,0.6956798735376095,77,447,-0.3939,-0.3501,0.9410767881450084
BRD:BRD-K07395323-001-02-9,17-PA,-0.0148,0.8323708741001734,118,754,-0.0244,-0.0251,0.9669710646967267
BRD:BRD-K07409305-001-01-1,,-0.0143,0.7044102150089848,84,451,-0.2141,-0.1702,0.9425714840698147
BRD:BRD-K07441213-001-18-9,,-0.19,0.16085049207707036,85,469,-0.1377,-0.0645,0.6562805676381289
BRD:BRD-K07442505-001-03-6,,-0.0434,0.948337835721292,85,472,-0.2485,-0.2956,0.9919596997194671
BRD:BRD-K07449869-001-01-5,,0.1447,0.13144541374836272,75,393,0.099,0.0462,0.6190681460221872
BRD:BRD-K07460388-019-02-9,PHP-501,-0.1212,0.46244775860238274,118,754,0.0175,0.0152,0.8514154774702221
BRD:BRD-K07487750-001-03-3,,0.1622,0.25952358477434845,85,469,0.0475,0.0132,0.7605863213697112
BRD:BRD-K07507905-236-02-6,,0.1451,0.23977293543059575,84,470,0.0076,-0.0467,0.7424847216701868
BRD:BRD-K07572174-001-39-4,,0.0203,0.6962822894363562,77,447,-0.1781,-0.2986,0.9410767881450084
BRD:BRD-K07609981-001-01-7,,0.0358,0.9373608043702516,85,468,0.0704,0.0635,0.9896874298979953
BRD:BRD-K07612980-001-05-3,,-0.1287,0.31421408262634465,77,447,-3.2938,-3.1402,0.7869673870564223
BRD:BRD-K07612980-001-07-9,,-0.1325,0.2626381349228062,85,473,-0.2014,-0.1357,0.7614636917364304
BRD:BRD-K07625016-001-01-2,,-0.1009,0.23570771860114836,84,451,-0.1305,-0.0303,0.740390060506859
BRD:BRD-K07656463-001-01-5,,-0.0841,0.7012952213330741,74,393,-0.0183,-0.0176,0.9421833305998364
BRD:BRD-K07682953-001-01-8,,-0.0391,0.649627990470631,85,451,-0.0533,-0.0434,0.9272486057503044
BRD:BRD-K07691486-001-15-5,,-0.1342,0.150414444064436,85,467,0.1804,0.2131,0.6446680730759413
BRD:BRD-K07736136-001-04-6,,-0.0377,0.6652186327749142,77,447,-0.0219,0.0037,0.9333667631889834
BRD:BRD-K07753030-003-17-6,,-0.0453,0.5414508729108458,85,468,-0.0736,-0.0201,0.8812203804085914
BRD:BRD-K07762753-001-04-4,,0.1329,0.3569496317099867,85,465,-0.4107,-0.5258,0.80789599977027
