dep_gene,n_double,n_a_only,n_b_only,n_wt,mean_double,mean_a_only,mean_b_only,mean_wt,d_main_a,d_main_b,p_main_a,p_main_b,interaction_d,interaction_delta,p_interaction,p_kruskal,classification,from_atlas_a,from_atlas_b,fdr_interaction,fdr_classification
VPS36,29,117,65,975,-0.3270760895432504,-0.27007806744803603,-0.24821046174356606,-0.2559109455830494,-0.0985,-0.0573,0.18849113612094848,0.8556905354273132,-0.2076,-0.0647,0.24567231898004882,0.34835693139863966,additive,False,True,0.423573,additive
NOXRED1,29,117,65,975,0.010049346865399182,0.030081391056476024,0.031386053588672365,0.03587231926488522,-0.0979,-0.1078,0.3938456655828868,0.08169161937140407,-0.1255,-0.0155,0.24567231898004882,0.28771262298514627,additive,False,True,0.423573,additive
TRMT6,29,117,65,975,-0.3481484749670209,-0.4620275447933818,-0.29934984155917294,-0.4111685214463577,-0.1448,0.4225,0.08271767891072401,8.814243215627669e-05,0.0137,0.0021,0.2820257613976441,9.464586198857106e-05,additive,False,True,0.454544,additive
WDR77,29,117,65,975,-1.2303042770456445,-1.395243292912407,-1.2935575918442845,-1.3735856302832774,0.0131,0.2195,0.7986738166650025,0.031096696073397392,0.1834,0.0849,0.2894150778280481,0.1900574955489366,additive,False,True,0.454544,additive
ZBTB7A,29,117,65,975,-0.3063194683393804,-0.35828307210743343,-0.3277931019965441,-0.33676031425449215,-0.0446,0.0678,0.8480648323489804,0.3815162273705628,0.1743,0.043,0.2909084489859032,0.766719234296888,additive,False,True,0.454544,additive
KDSR,29,117,65,975,-0.3279220155793493,-0.34924618525895096,-0.182496720159321,-0.294721974284752,-0.1877,0.2399,0.08456183915288505,0.02613180426385666,-0.4031,-0.0909,0.35489420440638486,0.005235649430687704,additive,False,True,0.534202,additive
PSD,29,117,65,975,-0.040170186315742505,-0.03092191082402607,-0.0052062058413747106,-0.024903220926171418,-0.078,0.082,0.1850461125631363,0.3476657099117293,-0.2687,-0.0289,0.3669431541530236,0.20198638932135818,additive,False,True,0.534202,additive
TADA2A,29,117,65,975,-0.6161270030079145,-0.510853389045233,-0.6683243184180969,-0.5213891071965964,-0.0055,-0.6121,0.7432363799158999,9.069747510976892e-09,0.1803,0.0417,0.37394139220885614,8.878816131016944e-08,additive,False,True,0.534202,additive
DYNLL1,29,117,65,975,-0.5029951586498934,-0.5646210604997258,-0.52518474574551,-0.6245218910469026,0.1921,0.2909,0.00923027217153241,0.010456502269867154,-0.1168,-0.0377,0.4309335023862182,0.00881903372190387,additive,False,True,0.592035,additive
MAU2,29,117,65,975,-0.33944151313287957,-0.45544041686675657,-0.332267667933482,-0.5366680233065535,0.2377,0.5058,0.007071498365785693,1.4294762499046955e-06,-0.2314,-0.0884,0.45824021587474917,2.924111302439118e-06,additive,False,True,0.592035,additive
ZZZ3,29,117,65,975,-0.3751841983425275,-0.3205980216745745,-0.4192716757342062,-0.2957547600524892,-0.1491,-0.5782,0.08391263528005533,2.468218868370557e-07,0.368,0.0689,0.46022714647721197,2.3025068681906873e-06,additive,False,True,0.592035,additive
OR7D2,25,105,59,878,-0.019696630737577124,0.005680294075653222,-0.028852677422329116,-0.010121911632022312,0.1075,-0.1572,0.09114201192974347,0.12250876817648061,-0.0508,-0.0066,0.4617870574284203,0.08873456534768676,additive,False,True,0.592035,additive
JUN,29,117,65,975,-0.35137777514499624,-0.31066134642320614,-0.3627516343664403,-0.2988533084419227,-0.0512,-0.1905,0.9193303887569211,0.05862923866929313,0.0736,0.0232,0.5305747794719375,0.3049749937618633,additive,False,True,0.663218,additive
MAGEC3,29,117,65,975,0.10231634018324585,0.09632033710121674,0.08184555236878016,0.0941513203964849,0.0489,-0.0737,0.623311642747747,0.36884283675124274,0.2267,0.0183,0.5566457639353797,0.5629627142001048,additive,False,True,0.678836,additive
BAG3,29,117,65,975,-0.07425081899524898,-0.08182194163705986,-0.10042621190128048,-0.06627267301011379,-0.1071,-0.2197,0.6377993740640981,0.027512919788970844,0.3727,0.0417,0.6313968105715744,0.08102697324117675,additive,False,True,0.751663,additive
PPP1R15B,29,117,65,975,-0.8844256725818237,-0.8442069103287507,-1.1061378242274136,-0.8604037205565601,0.0489,-0.3733,0.47134399711246244,0.0007164389679869264,0.4068,0.2055,0.697966692411927,0.001378409469038911,additive,False,True,0.811589,additive
DDX1,29,117,65,975,-0.37268705236584176,-0.41610314071531607,-0.32212338246652206,-0.3884583388309708,-0.1038,0.2409,0.19623627594148063,0.004070917646118127,-0.0958,-0.0229,0.7769681102600183,0.008302451645704183,additive,False,True,0.882918,additive
SLC39A7,29,117,65,975,-1.064847934813511,-1.1193984399671029,-1.1157767646869512,-1.1726087569761576,0.1615,0.1784,0.19677272175958005,0.3458964030303485,-0.0291,-0.0023,0.8148685807663542,0.5177657299661891,additive,False,True,0.90541,additive
SLC25A22,29,117,65,975,-0.18354472751127526,-0.22966465610322936,-0.13507702099752228,-0.1835328507010419,-0.248,0.2381,0.004842726174944924,0.0682766254187931,-0.0406,-0.0023,0.8789666283876955,0.003911000314817351,additive,False,True,0.955399,additive
RTCB,29,117,65,975,-0.730742916621431,-0.7937498970189073,-0.6472573064442296,-0.7660022224928151,-0.0651,0.2763,0.5994285673087025,0.014490531699440387,-0.1538,-0.0557,0.8996680176511805,0.050575998047194634,additive,False,True,0.957094,additive
POLR1G,29,117,65,975,-0.41671423498357235,-0.4377504335578253,-0.41223461717469545,-0.44671654063893956,0.0552,0.1615,0.7653879344887253,0.26706433720069855,-0.0669,-0.0134,0.9516903180388296,0.7058751695309599,additive,False,True,0.991344,additive
NHP2,29,117,65,975,-0.8064047396520695,-0.8595803363123362,-0.751608183642461,-0.7932882703767111,-0.2386,0.1301,0.012975060257696786,0.2235367979902828,0.0173,0.0115,0.9934677436737218,0.030483045186014884,additive,False,True,0.996081,additive
MSI2,29,117,65,975,-0.11940877011338695,-0.16300636796844414,-0.08145487998183847,-0.15967714425216634,0.0025,0.3814,0.5652761106204494,0.0007991692189750246,-0.2388,-0.0346,0.996080618182298,0.003305077443040659,additive,False,True,0.996081,additive
