dep_gene,n_double,n_a_only,n_b_only,n_wt,mean_double,mean_a_only,mean_b_only,mean_wt,d_main_a,d_main_b,p_main_a,p_main_b,interaction_d,interaction_delta,p_interaction,p_kruskal,classification,from_atlas_a,from_atlas_b,fdr_interaction,fdr_classification
NXT1,37,88,109,952,-0.7276215899650463,-0.7705014088716012,-0.5094214336141946,-0.5780191889117735,-0.3366,0.053,4.237082200746472e-05,0.31419888010368235,-0.025,-0.0257,0.2909330061788541,0.00017328865790427282,additive,False,True,0.507641,additive
IL18R1,37,88,109,952,0.014717945830832293,0.009982119173263835,-0.011901508866766813,0.041192879992653426,-0.1693,-0.305,0.10918189467488787,0.0014308123299590252,0.405,0.0578,0.29702100321353264,0.0013403050318063537,additive,False,True,0.507641,additive
IFNL2,33,79,94,840,0.21359414230779777,0.18929464131037257,0.17682949147735658,0.15856098855745349,0.1849,0.129,0.053044317004853625,0.15041823580785044,0.0253,0.006,0.29740560259239035,0.17065612377052114,additive,False,True,0.507641,additive
KRT8,14,31,37,273,-0.7958278686818524,-0.7401893327329981,-0.6621649930539019,-0.7166020880059762,-0.1396,0.0593,0.49350926237745785,0.4118984789258834,-0.3061,-0.1101,0.3211782368763162,0.5240513752071232,additive,False,True,0.535943,additive
GABARAP,37,88,109,952,-0.20259586476471667,-0.15052395263357524,-0.18356076840530203,-0.16607350640076696,0.013,-0.1597,0.5993040731324957,0.13697186359371089,-0.2182,-0.0346,0.32481410008918954,0.29317559082658373,additive,True,False,0.535943,additive
UGCG,37,88,109,952,-0.10508031246736514,-0.14658480146887223,-0.10550598414501644,-0.14547481996468029,0.0298,0.1696,0.3732542977622002,0.024291761452849846,0.0065,0.0015,0.38676070156993947,0.14706160192167161,additive,True,False,0.627694,additive
PTPN1,37,88,109,952,-0.18563158662478413,-0.19647196792003455,-0.17917842266648384,-0.20323285378474365,0.0292,0.0852,0.6923715904596244,0.28488488659724587,-0.0612,-0.0132,0.4014476080721999,0.5442867841410877,additive,True,False,0.640223,additive
CCND2,37,88,109,952,-0.09555431109013252,-0.12684820694344426,-0.149000959301837,-0.17327834769168696,0.1655,0.1054,0.088632756952759,0.44017351810409355,0.0319,0.007,0.4074148880186278,0.3648369263455702,additive,False,True,0.640223,additive
LCE2C,14,31,31,240,-1.6262286710409501,-1.644995359581294,-1.461198245818052,-1.5294874443538093,-0.2645,0.0676,0.24347384951180395,0.6355434680483701,-0.1995,-0.0495,0.44102376413032374,0.5100744142374121,additive,False,True,0.682209,additive
DNAJC9,37,88,109,952,-1.475342796701137,-1.3807731666869663,-1.3977594020963018,-1.3898635945024054,-0.0239,-0.0374,0.7805702167480567,0.7950887363879784,-0.1093,-0.0867,0.45382879116081876,0.8908221080596577,additive,True,False,0.685538,additive
TRAK2,37,88,109,952,0.025591276346071723,0.03212521916331006,0.052715093799465255,0.025425148148479838,0.0184,0.1867,0.5494625196178782,0.09690569968217186,-0.3201,-0.0338,0.45702560170427675,0.20216154398529954,additive,True,False,0.685538,additive
C9orf57,14,31,37,273,-0.11747360521505747,-0.09213600877292603,-0.11814449167589215,-0.10068529606714857,0.0169,-0.1113,0.870958834722983,0.32355665801348243,-0.0483,-0.0079,0.47857293954930546,0.7371108952445744,additive,False,True,0.707145,additive
TIGD1,14,31,37,273,-0.1892316373725075,-0.14760344246196783,-0.1707728671254617,-0.14748689324890252,-0.0555,-0.153,0.9250737226497284,0.14496743773924672,-0.1053,-0.0183,0.5418539299452307,0.4925106330161042,additive,False,True,0.768425,additive
