dep_gene,n_double,n_a_only,n_b_only,n_wt,mean_double,mean_a_only,mean_b_only,mean_wt,d_main_a,d_main_b,p_main_a,p_main_b,interaction_d,interaction_delta,p_interaction,p_kruskal,classification,from_atlas_a,from_atlas_b,fdr_interaction,fdr_classification
TTR,34,91,67,994,0.10308579552324328,0.1117441276405578,0.10969759558926963,0.11182264764687437,-0.0206,-0.039,0.8391920650880611,0.7495583931290128,-0.0578,-0.0065,0.5191259359314653,0.9198018832064445,additive,True,False,0.796931,additive
VGF,34,91,67,994,0.010445231776271754,0.016414148054331428,0.023216412833901922,0.001645677599085779,0.0828,0.1127,0.2663346174887975,0.22346898831873918,-0.1883,-0.0275,0.527984926766923,0.322209082160131,additive,True,False,0.796931,additive
SEPTIN9,29,83,58,897,-0.18674283031669367,-0.17387655676403369,-0.17461610461693117,-0.19546035813651383,0.1184,0.1043,0.11835143041071915,0.29958027127114695,-0.2377,-0.0337,0.5591386309816366,0.2248943064723341,additive,True,False,0.796931,additive
GABARAP,34,91,67,994,-0.1478894484174852,-0.17268036903136968,-0.1424054401398617,-0.16958645609691886,0.013,0.173,0.5993040731324957,0.10339606663126495,-0.0182,-0.0024,0.568781019275318,0.2716084956367162,additive,True,False,0.796931,additive
SPTSSA,34,91,67,994,-0.3945554165359802,-0.4683430185429187,-0.3531184729367706,-0.4299843906674275,-0.0887,0.254,0.43802053132654406,0.04451769988304695,-0.0479,-0.0031,0.5780472294251315,0.12943757427533464,additive,True,False,0.796931,additive
PLA2G4D,34,91,67,994,-0.17185644517326737,-0.19462348872299462,-0.19202014202470125,-0.1620620596569125,-0.1679,-0.1401,0.10187300207608478,0.12877236688830343,0.3662,0.0527,0.5897288589915213,0.12461258367875484,additive,True,False,0.796931,additive
PRDX6,34,91,67,994,-0.07267312222583545,-0.07620076968242877,-0.0692150775592754,-0.09170894541120747,0.0893,0.1189,0.24241566100406653,0.3406886595175135,-0.1146,-0.019,0.6326561632206634,0.4531635064043892,additive,True,False,0.832442,additive
ANKRD17,34,91,67,994,-0.21701824425858876,-0.21748449655255137,-0.24623354778626735,-0.19489714866652635,-0.0709,-0.1462,0.8651705033558251,0.38237342392882556,0.185,0.0518,0.6669319186886202,0.6706525456153647,additive,True,False,0.843723,additive
ETNK1,15,30,27,283,-0.09945033927063439,-0.08776163847357155,-0.06518146642126499,0.022961457934911222,-0.2921,-0.2448,0.1061251620040337,0.23698775730739507,0.1705,0.0765,0.6876035778942023,0.3475435690384467,additive,True,False,0.843723,additive
L3HYPDH,34,91,67,994,-0.1349895070425813,-0.12945155917889664,-0.16712480006419284,-0.14079470430044466,0.0762,-0.1091,0.18794626744803233,0.6898172573818021,0.1137,0.0208,0.691852884976737,0.49550290272688147,additive,True,False,0.843723,additive
DOCK7,34,91,67,994,-0.13526850582327948,-0.18758720158062045,-0.1216865837775462,-0.17009190490350687,-0.0316,0.2271,0.5322872589464347,0.11327211921369873,-0.0082,0.0039,0.7815734341133121,0.3133841213056238,additive,True,False,0.904056,additive
CD163L1,34,91,67,994,0.1345453917967288,0.12252295184042913,0.15664602343800038,0.15215484531656834,-0.2358,-0.0041,0.03042177942832278,0.6638240107980711,0.0413,0.0075,0.7920412555396403,0.19470659359402098,additive,True,False,0.904056,additive
ZFP36L2,34,91,67,994,-0.27814043861081184,-0.26234577962789957,-0.2319841915616646,-0.26470134890684943,-0.0171,0.0725,0.9707081583168418,0.4128663600683977,-0.2088,-0.0485,0.8078129678473065,0.8036318261161091,additive,True,False,0.904056,additive
PTGES3L,15,30,27,283,0.0651270979722597,0.03866770938782211,0.07497370696677484,0.07420798792159819,-0.1298,0.0032,0.1780007193071249,0.8369743217628103,0.128,0.0257,0.8136505287339604,0.5085153499030088,additive,True,False,0.904056,additive
PLBD1,34,91,67,994,0.060210221813655804,0.06431951249422152,0.0528509193199117,0.0725875263629274,-0.059,-0.1202,0.8974094057465977,0.40648340830359797,0.1093,0.0156,0.834270526566898,0.8744469820996985,additive,True,False,0.906816,additive
CEBPB,34,91,67,994,-0.19868187383809188,-0.21677913632924323,-0.19015920760809374,-0.17845241562183078,-0.1524,-0.0529,0.22265643601884677,0.6653682213796458,0.1411,0.0298,0.8984830714014682,0.6421376361978082,additive,True,False,0.917357,additive
CAMP,34,91,67,994,-0.039844846351581045,-0.06148481731071501,-0.05348841504722401,-0.04241332978786208,-0.1048,-0.041,0.20348823663281068,0.4962775798045913,0.279,0.0327,0.8984830714014682,0.6097504264351556,additive,True,False,0.917357,additive
CIMIP2C,34,91,67,994,-0.05105088133553721,-0.054494297492362516,-0.041620123767206973,-0.03541846078702203,-0.1553,-0.068,0.07658582181823356,0.537114537267201,0.078,0.0096,0.9038702933811913,0.34840142552333786,additive,True,False,0.917357,additive
RHOA,34,91,67,994,-0.4050415218239645,-0.4877428374012045,-0.34731438310766044,-0.4460695926543855,-0.0622,0.2029,0.25429439742589466,0.09761026267299658,-0.0589,-0.0161,0.9173571857533902,0.14769838130665242,additive,True,False,0.917357,additive
