analyte,k,pooled_g,se,ci_lower,ci_upper,p_value,i_sq,tau_sq,q_stat,q_p_value,significant,direction,category
IFN-γ,6,1.09412997054879,0.1292132042129754,0.8408720902913582,1.347387850806222,0.0,0.0,0.0,1.1440063980726287,0.950135063786796,True,up,adaptive
IL-12,3,0.9963418793920444,0.1646226417506903,0.6736815015606912,1.3190022572233977,1.4281233973179042e-09,0.0,0.0,0.1736774707344934,0.9168249351486552,True,up,adaptive
IL-17A,4,1.0464764055488418,0.1457785377050562,0.7607504716469315,1.332202339450752,7.045475314271243e-13,0.0,0.0,0.0225233516587457,0.9991070324194894,True,up,adaptive
IL-1β,3,1.5171673120309808,0.1673300863079565,1.189200342867386,1.8451342811945757,0.0,0.0,0.0,0.0702520310875393,0.9654837426325148,True,up,innate
IL-6,7,1.456130485746798,0.1288087588296626,1.2036653184406592,1.708595653052937,0.0,0.0,0.0,2.0372947238782664,0.9162368319375525,True,up,innate
IL-8,4,1.1311896968607702,0.1472583218816733,0.8425633859726904,1.41981600774885,1.5765166949677223e-14,0.0,0.0,0.0735802753399974,0.9948072855253236,True,up,innate
TNF-α,7,1.110492291838719,0.1230394263412487,0.8693350162098714,1.3516495674675666,0.0,0.0,0.0,2.0934118979961616,0.9109100547588204,True,up,innate
IL-10,4,-0.8202891310866685,0.1404427908882796,-1.0955570012276965,-0.5450212609456404,5.197100305665003e-09,0.0,0.0,0.292222421574163,0.961484534239571,True,down,regulatory
