gene,n_cancer_types,mean_cohens_d,min_fdr,cancer_types
RABL2B,3,-0.8395518949031882,0.3865237714951714,Ovary/Fallopian Tube;Pancreas;Uterus
LALBA,3,-0.8324011283527049,0.3100561446908712,Bowel;Lymphoid;Uterus
PON2,3,-0.8291089356232842,0.37829287207713486,Biliary Tract;Bowel;Uterus
OR4N5,3,-0.8252741034675046,0.42848535566264334,Bowel;Esophagus/Stomach;Pancreas
ARHGEF40,4,-0.8248985223806478,0.40201927324629744,Bladder/Urinary Tract;Bowel;Lymphoid;Ovary/Fallopian Tube
VWA3B,3,-0.823798297395435,0.4427054144116893,Esophagus/Stomach;Ovary/Fallopian Tube;Skin
SDHB,3,-0.8226368246689805,0.46247448267199825,Lung;Ovary/Fallopian Tube;Pancreas
ZSWIM8,3,-0.8189256863742532,0.46584391393059277,Esophagus/Stomach;Lymphoid;Ovary/Fallopian Tube
IKBKE,3,-0.8161479162080599,0.36538501067420426,Esophagus/Stomach;Ovary/Fallopian Tube;Uterus
MAP3K12,3,-0.8153717034945315,0.4071280465090441,Bowel;Esophagus/Stomach;Ovary/Fallopian Tube
PLAGL1,4,-0.8147187940573846,0.4718123375383657,Esophagus/Stomach;Lung;Lymphoid;Ovary/Fallopian Tube
RTN3,3,-0.8142229422543648,0.35321402552304804,Bowel;Lymphoid;Uterus
NAMPT,3,-0.8141214948476464,0.44662453857016415,Bowel;Lung;Pancreas
AOX1,3,-0.8096545024565472,0.6137357200341474,Bladder/Urinary Tract;Lung;Lymphoid
SLC49A3,3,-0.8092832344338392,0.48897571387687483,Breast;Lymphoid;Ovary/Fallopian Tube
CRACDL,3,-0.8019685994005981,0.3865237714951714,Bowel;Ovary/Fallopian Tube;Uterus
RTL8C,3,-0.7964261895892121,0.4748653930782628,Breast;Lung;Ovary/Fallopian Tube
HUWE1,3,-0.7905552372179177,0.49965723451532185,Esophagus/Stomach;Lung;Ovary/Fallopian Tube
SAP130,3,-0.7865370048923649,0.4857665312476536,Bowel;Lymphoid;Ovary/Fallopian Tube
IMMT,3,-0.78271677983652,0.3865237714951714,Bowel;Lung;Ovary/Fallopian Tube
TMX2,3,-0.7563263555463644,0.45252278424771464,Bowel;Ovary/Fallopian Tube;Pancreas
ADGRA1,3,-0.7467454858839505,0.9041286739135341,Breast;Lung;Pancreas
EXOC4,3,-0.7418350904440226,0.4375059174181126,Bladder/Urinary Tract;Bowel;Ovary/Fallopian Tube
COX7A2L,3,-0.7413598158468563,0.5279673177528519,Bowel;Lung;Skin
UNC119,3,-0.7388014649660631,0.41567091797877737,Lung;Ovary/Fallopian Tube;Uterus
SH3BP2,3,-0.7251396545396349,0.42105057003703594,Bladder/Urinary Tract;Esophagus/Stomach;Ovary/Fallopian Tube
DPY30,4,-0.7160493433011216,0.4638267689040502,Bowel;Esophagus/Stomach;Lung;Ovary/Fallopian Tube
IL9R,3,-0.7080569807387608,0.36538501067420426,Bowel;Ovary/Fallopian Tube;Uterus
GPIHBP1,3,-0.6960185514929647,0.37247201604888536,Lymphoid;Ovary/Fallopian Tube;Pancreas
ATP1A1,3,-0.6876690094850585,0.3865237714951714,Lymphoid;Ovary/Fallopian Tube;Pancreas
LRRC32,3,-0.6805893773540951,0.4352158137284654,Bladder/Urinary Tract;Esophagus/Stomach;Uterus
ADSL,3,-0.6778246290834429,0.4744787693120259,Bowel;Lung;Ovary/Fallopian Tube
GGN,3,-0.6617601214068544,0.42105057003703594,Bowel;Ovary/Fallopian Tube;Pancreas
MINK1,3,-0.6535570022531839,0.39318181437050126,Ovary/Fallopian Tube;Pancreas;Uterus
DDIT3,3,-0.6229197213069737,0.4718123375383657,Bowel;Esophagus/Stomach;Ovary/Fallopian Tube
