,B_cell,CD4_T_naive,CD8_T,Dendritic_cell,Endothelial,Epithelial,Fibroblast,Goblet,ILC3,Inflammatory_Mac,Macrophage,Monocyte,Myofibroblast,NK,Paneth,Plasma,Th1,Th17,Treg,pDC
CNOT3,0.039836586,0.042813316,0.04992977,0.035352096,0.04337973,0.045584533,0.055264115,0.048163857,0.042593755,0.039427727,0.046657745,0.04915035,0.036803283,0.04483669,0.049488742,0.033749286,0.031745687,0.023873376,0.038731925,0.055701
LENG1,0.09440559,0.11707697,0.12955713,0.07399707,0.13393174,0.080424726,0.07882542,0.101239346,0.10231274,0.0919237,0.095936224,0.12366167,0.104447365,0.11124847,0.09473818,0.056178845,0.09661981,0.05895833,0.087416515,0.12973556
TMC4,0.0007533372,0.003123875,0.006374058,0.0033499328,0.0053789685,0.2676434,0.0032165535,0.11703412,0.0,0.0049931193,0.015379357,0.0067696585,0.010064972,0.0074221813,0.017466206,0.0030028278,0.0013579347,0.002547672,0.0026845026,0.0013176237
MBOAT7,0.022340603,0.033193313,0.03584057,0.079498395,0.0917124,0.17269643,0.08011717,0.0784119,0.14421417,0.12119101,0.12295059,0.20293677,0.04730374,0.034315016,0.16295749,0.017561942,0.040956073,0.060467623,0.037715897,0.08809332
TSEN34,0.07059017,0.07336019,0.0969771,0.11212261,0.17203729,0.17306642,0.19437353,0.1919298,0.070828184,0.12228407,0.2309855,0.21753444,0.14661062,0.07186757,0.18514538,0.08835354,0.05820927,0.044843767,0.04921468,0.13698688
RPS9,3.5172608,3.4598916,3.0014358,3.2649615,2.6709988,2.8492153,2.5127785,3.0669286,3.0624013,3.2375271,3.152222,3.4337208,2.9482536,3.0339704,3.2277088,2.285755,3.092514,3.0452626,3.0780919,3.3016756
LILRB3,0.0061757816,0.007160142,0.004735007,0.022200026,0.013091603,0.0037181673,0.00493808,0.004550511,0.00830479,0.18368179,0.22605577,0.3748018,0.00939844,0.0076451884,0.16054508,0.002974397,0.0043899114,0.010102136,0.004819007,0.0468396
CTB-83J4.1,8.501279e-05,9.1360926e-05,0.0,0.0,0.0,0.000503442,0.0,0.00027942748,0.0,0.0013877401,0.0067286147,0.0018627589,0.0,7.103034e-05,0.0062760445,0.00018416165,0.0,0.0014544134,0.00017245632,0.0
LILRA6,0.00020859609,0.0008900205,0.0024598052,0.0,0.0011449878,0.0,0.0,0.0,0.0032441535,0.030925091,0.030695032,0.103881255,0.001412819,0.0004865973,0.012034547,0.0,0.00039013725,0.0,0.0013987509,0.0045116954
LILRB2,0.004525513,0.0017922465,0.0016909483,0.02739419,0.016892701,0.0008682468,0.00089505984,0.0024472452,0.002929689,0.21042453,0.36222175,0.3736209,0.020184787,0.0029204695,0.15431687,0.0023474814,0.0019713636,0.008321336,0.0012964001,0.061067138
LILRB5,0.00050259085,0.0006447257,0.0002526497,0.002001076,0.0,0.0015226749,0.0,0.002222992,0.0,0.023513269,0.19138944,0.0077099213,0.0,0.0009287047,0.010807133,0.0023641784,0.0,0.0,0.0006929887,0.0038837749
LILRA5,0.0034830123,0.004150293,0.0048472323,0.0353473,0.012786154,0.0014760308,0.0024125443,0.00054430094,0.0047381944,0.22063443,0.2763465,0.4968626,0.025403706,0.004849896,0.1733825,0.0017451649,0.002558884,0.0071463175,0.0028687613,0.10291443
LILRA4,0.016249215,0.00062235916,0.0005903595,0.010436687,0.0,0.0,0.0008887815,0.0003800865,0.0,0.01309131,0.0082192505,0.011835338,0.002209869,0.00032538676,0.011124754,0.0011002735,0.0005390565,0.0,0.000396028,0.50254804
