cancer_type,gene,cohens_d,p_value,n_msi,n_mss,median_dep_msi,median_dep_mss,fdr
Pan-cancer (pooled),MAST1,-0.0069,0.9194338771816536,44,1142,-0.1889,-0.1869,0.9762179566404685
Pan-cancer (pooled),MAST2,0.1263,0.4681322870229483,44,1142,-0.1945,-0.2151,0.780481640037981
Pan-cancer (pooled),MAST3,-0.1774,0.1531793279064818,44,1142,-0.2098,-0.1811,0.5019478305356588
Pan-cancer (pooled),MAST4,-0.2346,0.15960170830848963,44,1142,-0.0389,-0.0223,0.5120447721738286
Pan-cancer (pooled),MASTL,-0.3903,0.014084139415442985,44,1142,-1.621,-1.4895,0.17586539265898896
Pan-cancer (pooled),MAT1A,-0.0588,0.465660282770923,44,1142,-0.0738,-0.053,0.7787497230335217
Pan-cancer (pooled),MAT2A,-0.2414,0.12966891753266774,44,1142,-1.5148,-1.4453,0.4730607040240621
Pan-cancer (pooled),MAT2B,-0.1606,0.08270613955868152,44,1142,0.0424,0.0793,0.38801773637538417
Pan-cancer (pooled),MATCAP1,-0.3256,0.025396134540679214,44,1142,-0.1703,-0.1181,0.23201322777299932
Pan-cancer (pooled),MATCAP2,-0.125,0.4501738325172975,44,1142,0.0315,0.04,0.7700149757576706
Pan-cancer (pooled),MATK,-0.1308,0.3772575949488023,44,1142,-0.1129,-0.0826,0.7214040668686118
Pan-cancer (pooled),MATN1,0.1999,0.05985368047887613,44,1142,-0.1771,-0.2026,0.3353863577083525
Pan-cancer (pooled),MATN2,-0.0172,0.8108739914040399,44,1142,0.0872,0.0657,0.9392623733763463
Pan-cancer (pooled),MATN3,0.3337,0.010807688440887085,44,1142,0.0161,-0.0122,0.1561584701317859
Pan-cancer (pooled),MATN4,0.1845,0.13046545482389785,44,1142,-0.0095,-0.0221,0.47339708909893025
Pan-cancer (pooled),MATR3,0.0631,0.825513082495545,44,1142,-0.2738,-0.2645,0.9436615505691456
Pan-cancer (pooled),MAU2,-0.1738,0.16871024627453246,44,1142,-0.5715,-0.528,0.5246519989505102
Pan-cancer (pooled),MAVS,-0.2125,0.11451851048355134,44,1142,0.0844,0.1158,0.4493285364290064
Pan-cancer (pooled),MAX,0.184,0.13911983314923718,44,1142,-0.6205,-0.704,0.48438841046587566
Pan-cancer (pooled),MAZ,-0.1399,0.38506207002927695,44,1142,-0.1152,-0.0878,0.7277434611759815
Pan-cancer (pooled),MB,-0.1095,0.7935327562658065,44,1142,-0.0237,-0.0163,0.9331607983081176
Pan-cancer (pooled),MB21D2,0.366,0.00848125730968109,44,1142,-0.0129,-0.0446,0.14338826601873103
Pan-cancer (pooled),MBD1,0.1744,0.490704237522683,44,1142,0.0609,0.0671,0.7944039078204432
Pan-cancer (pooled),MBD2,-0.029,0.612098721544615,44,1142,-0.049,-0.0245,0.8545669950663343
Pan-cancer (pooled),MBD3,-0.223,0.023793846891690618,44,1142,-0.1923,-0.1147,0.22486647253080516
Pan-cancer (pooled),MBD3L1,0.0104,0.799764333383383,44,1142,0.0916,0.1008,0.9362521552456383
Pan-cancer (pooled),MBD4,0.0045,0.9372556386572025,44,1142,-0.0984,-0.1113,0.9822859814578466
Pan-cancer (pooled),MBD5,-0.1212,0.5684574402483162,44,1142,0.0802,0.0787,0.8342302744962435
Pan-cancer (pooled),MBD6,-0.0176,0.8871080902838444,44,1142,-0.1368,-0.1297,0.9654488447972575
Pan-cancer (pooled),MBIP,0.4349,0.004186786659554883,44,1142,-0.0252,-0.0926,0.1039796005435992
Pan-cancer (pooled),MBL2,-0.1033,0.27287407120476126,44,1142,0.1137,0.1437,0.6351122755416114
Pan-cancer (pooled),MBLAC1,0.1029,0.9515361491664125,44,1142,-0.1718,-0.167,0.9874410955901928
Pan-cancer (pooled),MBLAC2,-0.0084,0.9998210564967179,44,1142,0.0628,0.0662,0.99993258765367
Pan-cancer (pooled),MBNL1,0.0793,0.573028699671236,44,1142,-0.133,-0.1561,0.8374747423428912
Pan-cancer (pooled),MBNL2,0.0688,0.5678492587299001,44,1142,0.1399,0.1216,0.8341201817224412
Pan-cancer (pooled),MBNL3,0.0731,0.638461668097877,44,1142,0.1228,0.1124,0.8678838731455562
Pan-cancer (pooled),MBOAT1,-0.0044,0.6757511311054283,44,1142,-0.0529,-0.0628,0.8856083563697876
Pan-cancer (pooled),MBOAT2,0.0511,0.9233515094265256,44,1142,0.0956,0.1056,0.9779454173376863
Pan-cancer (pooled),MBOAT4,0.2035,0.21563892569372578,44,1142,0.1027,0.0789,0.5751333596034801
Pan-cancer (pooled),MBOAT7,0.0965,0.6513345873555882,44,1142,0.0633,0.0627,0.8749685710123654
Pan-cancer (pooled),MBP,-0.3598,0.05367928035032341,44,1142,0.0908,0.1228,0.32062730711580584
Pan-cancer (pooled),MBTD1,0.1222,0.4075356916242868,44,1142,-0.3142,-0.3494,0.7399273477637796
Pan-cancer (pooled),MBTPS1,-0.1042,0.42035193794792347,44,1142,-0.7555,-0.6431,0.7485679411405517
Pan-cancer (pooled),MBTPS2,-0.1924,0.12663188651631233,44,1142,-0.7086,-0.5937,0.46817244476783426
Pan-cancer (pooled),MC1R,-0.2096,0.22629818339021113,44,1142,-0.0405,-0.0191,0.5878245293886536
Pan-cancer (pooled),MC2R,0.0205,0.9998210564967179,44,1142,0.0896,0.0948,0.99993258765367
Pan-cancer (pooled),MC3R,-0.0068,0.9390396939030727,44,1142,0.1182,0.1215,0.9827771406861611
Pan-cancer (pooled),MC4R,0.1472,0.3426731900862833,44,1142,0.1103,0.0887,0.6940554581991579
Pan-cancer (pooled),MC5R,-0.0503,0.861661390023529,44,1142,0.04,0.0404,0.9569212426924254
Pan-cancer (pooled),MCAM,-0.1911,0.13567701070707466,44,1142,0.0218,0.0502,0.4801311385412583
Pan-cancer (pooled),MCAT,-0.2819,0.070698147247434,44,1142,-0.1357,-0.1076,0.3611648086306949
Pan-cancer (pooled),MCC,-0.0126,0.5278268184398003,44,1142,0.1624,0.1545,0.8142874198953849
Pan-cancer (pooled),MCCC1,-0.0457,0.9094707616197779,44,1142,0.0233,0.0165,0.9729562810455366
Pan-cancer (pooled),MCCC2,-0.0823,0.45071222941717226,44,1142,-0.0045,-0.0005,0.7700544054958853
Pan-cancer (pooled),MCCD1,-0.3319,0.0374727984678422,44,1142,-0.2174,-0.1776,0.2763232568873309
Pan-cancer (pooled),MCEE,-0.2568,0.08808410959030989,44,1142,-0.1338,-0.1067,0.4004655601074662
Pan-cancer (pooled),MCEMP1,0.0506,0.994094918250371,44,1142,-0.0676,-0.0547,0.9989417159351828
Pan-cancer (pooled),MCF2,-0.0065,0.9005870902479385,44,1142,0.0789,0.0987,0.9700502862519244
Pan-cancer (pooled),MCF2L,-0.1078,0.8286581258107548,44,1142,-0.0123,-0.0115,0.9446070472926029
Pan-cancer (pooled),MCF2L2,-0.1461,0.408043826414598,44,1142,-0.0399,-0.0229,0.7401005311996922
Pan-cancer (pooled),MCFD2,-0.1919,0.1722070890583588,44,1142,-0.1076,-0.076,0.5300605241452909
Pan-cancer (pooled),MCHR1,-0.0734,0.5184864150425773,44,1142,-0.0834,-0.0669,0.8094184144287354
Pan-cancer (pooled),MCHR2,0.0649,0.7465615290339085,44,1142,0.1221,0.1183,0.914322435428387
Pan-cancer (pooled),MCIDAS,0.0251,0.6823215888817687,44,1142,-0.1113,-0.1177,0.8882465812573687
Pan-cancer (pooled),MCL1,-0.035,0.7769805483586442,44,1142,-0.5585,-0.6096,0.9269486502075083
Pan-cancer (pooled),MCM10,0.1686,0.12332266918658168,44,1142,-0.4775,-0.5235,0.4635783737046941
