Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,subtype
GO_Biological_Process_2023,Ionotropic Glutamate Receptor Signaling Pathway (GO:0035235),2/12,0.0003978405023918531,0.0100933608940155,0,0,83.08333333333333,650.4975835514635,GRIA2;GRIN2A,NPY_NGF
Reactome_2022,Trafficking Of GluR2-containing AMPA Receptors R-HSA-416993,2/17,0.0008132713373134499,0.0101128522813759,0,0,55.375,393.96243373102385,GRIA2;PRKCB,NPY_NGF
Reactome_2022,MECP2 Regulates Neuronal Receptors And Channels R-HSA-9022699,2/18,0.000913470506242016,0.0108855235327173,0,0,51.911458333333336,363.2898548418271,GRIA2;GRIN2A,NPY_NGF
KEGG_2021_Human,Calcium signaling pathway,5/240,0.0003256016997118094,0.0109076569403456,0,0,9.321513002364066,74.85021791799562,CHRM3;GRIN2A;PRKCB;SLC8A1;EGFR,NPY_NGF
GO_Biological_Process_2023,ERBB2 Signaling Pathway (GO:0038128),2/13,0.00046942457388711873,0.0110881321762991,0,0,75.52651515151516,578.8354329773197,NRG1;EGFR,NPY_NGF
GO_Biological_Process_2023,Peptidyl-Tyrosine Autophosphorylation (GO:0038083),2/13,0.00046942457388711873,0.0110881321762991,0,0,75.52651515151516,578.8354329773197,ALK;EGFR,NPY_NGF
Reactome_2022,MAPK Family Signaling Cascades R-HSA-5683057,5/318,0.0011612532671422,0.0127453149314432,0,0,6.970891018814341,47.111062249720945,LRRC7;KIT;NRG1;FGF13;EGFR,NPY_NGF
Reactome_2022,Signaling By ERBB2 TMD/JMD Mutants R-HSA-9665686,2/21,0.0012477930702112,0.0127453149314432,0,0,43.708333333333336,292.25047477799524,NRG1;EGFR,NPY_NGF
Reactome_2022,Negative Regulation Of NMDA Receptor-Mediated Neuronal Transmission R-HSA-9617324,2/21,0.0012477930702112,0.0127453149314432,0,0,43.708333333333336,292.25047477799524,GRIN2A;LRRC7,NPY_NGF
Reactome_2022,SHC1 Events In ERBB2 Signaling R-HSA-1250196,2/21,0.0012477930702112,0.0127453149314432,0,0,43.708333333333336,292.25047477799524,NRG1;EGFR,NPY_NGF
