feature,fp_mean,fp_std,fp_median,fp_n,tn_mean,tn_std,tn_median,tn_n,mean_diff,cohens_d,t_statistic,t_pvalue,ks_statistic,ks_pvalue
prot_CXCL8,241.36999999999998,81.4040344290953,239.81599999999997,4,795.1313965517243,493.8420058270622,714.079,58,-553.7613965517243,-1.5646893901803238,-7.2330091404131185,7.060285677244764e-08,0.8103448275862069,0.004893832516200736
prot_SPP1,2.05767225,0.9853804683404865,2.30896,4,12.94141824137931,14.550627188269523,4.660935,58,-10.88374599137931,-1.0554024482993103,-5.516079754464873,7.826649513216943e-07,0.6379310344827587,0.05649598006614741
prot_ERBB2,10.8987,5.1469466204083885,12.666,4,16.107349827586205,12.829458405361056,13.367899999999999,58,-5.208649827586205,-0.5328753775040579,-1.6934235572256158,0.14079991051953408,0.4482758620689655,0.34346458245570005
prot_S100A4,40752.45,6745.05409244433,41046.3,4,34300.72931034483,4342.8474008443545,34506.600000000006,58,6451.720689655165,1.1373542891700434,1.8862489953867672,0.15067083532730183,0.5431034482758621,0.15045397915191489
prot_SEPT9,25299.25,4763.628130252541,25479.5,4,20901.287931034483,4015.530070057501,21209.95,58,4397.962068965517,0.9982918761176753,1.8028301223357686,0.16076013406108597,0.5258620689655172,0.1750486246179495
prot_TIMP1,10413.33,4387.722205533678,9510.46,4,6477.515689655174,1637.5367093676737,6644.93,58,3935.8143103448256,1.1884866718669742,1.7854576068161083,0.17042976144910799,0.6810344827586207,0.031245238372666236
prot_MMP9,4513.8575,2871.607314906584,3744.615,4,3068.629189655172,1648.5955358813485,2866.08,58,1445.228310344828,0.6172584268345997,0.9953155482443391,0.39001456069598056,0.3448275862068966,0.6683218456739779
cv_fold,2.0,1.4142135623730951,2.5,4,1.9482758620689655,1.443951860415233,2.0,58,0.051724137931034475,0.036191983841260635,0.07065320108551454,0.9475791369083275,0.20689655172413793,0.9882386684473288
