study,n_responder,n_non_responder,mean_responder,mean_non_responder,log2FC_R_vs_NR,cohens_d,mann_whitney_U,pvalue,FDR
GSE16879,20,17,1133.5449999999998,1108.8823529411766,0.03173535432342354,0.04120004313221571,155.0,0.6585590914962616,0.6585590914962616
GSE12251,12,11,3525.5010173333335,3572.2278720909094,-0.018995815870430328,-0.04151255038170105,75.0,0.6008776409544788,0.6585590914962616
GSE73661,8,15,9.47342714625,9.606412907133334,-0.020111382906728772,-0.35778676125908565,52.0,0.6355233585008789,0.6585590914962616
