cancer_type,gene,cohens_d,ci_lower,ci_upper,p_value,n_lost,n_intact,median_dep_lost,median_dep_intact,fdr,classification
Uterus,PIK3CB,0.38164190245604573,-0.3462561645120822,1.1247744715403283,0.37215999848634584,19,14,-0.0784584076371785,-0.15208071574809556,0.532865452378177,NOT_SIGNIFICANT
CNS/Brain,PIK3CB,-0.32315913241029354,-0.7664433006687559,0.1016290819376248,0.10774164816727877,34,50,-0.20830458957944098,-0.13094095879680812,0.3232249445018363,NOT_SIGNIFICANT
Skin,PIK3CB,-1.4970878876381253,-2.4616381169073605,-0.7406749051681593,6.972257085846759e-05,14,61,-0.5077686128584403,-0.1200322883538887,0.002196260982041729,ROBUST
Breast,PIK3CB,-2.2287637545985333,-3.359279453676942,-1.570324951652572,5.6480691233082904e-06,10,42,-0.5337905772791762,-0.07261397887545175,0.0003558283547684223,ROBUST
Bowel,PIK3CB,-0.2598333094170454,-1.2773948071004124,0.6714973419331954,0.9248759110365152,8,53,-0.04985278057957705,-0.0522523057059457,0.9248759110365152,NOT_SIGNIFICANT
Ovary/Fallopian Tube,PIK3CB,0.17241695175221036,-0.5009828408838393,0.8501703120902888,0.6447470087849501,6,52,-0.1011697207862785,-0.10161933841668135,0.8289604398663645,NOT_SIGNIFICANT
Lymphoid,PIK3CB,-0.4799762116866337,-1.1731509775456344,0.18369927033827074,0.20601535695726958,13,78,-0.1081083323670071,-0.038320787987413396,0.5189576869188639,NOT_SIGNIFICANT
Lung,PIK3CB,-1.3041619337010182,-2.796030772709375,-0.19891821588745331,0.023446076092159037,8,117,-0.27283382310002424,-0.0963443823408989,0.17832072047392392,NOT_SIGNIFICANT
Esophagus/Stomach,PIK3CB,-1.0902147751098403,-2.9807268212314626,0.29382809049813374,0.3474833369859518,5,64,-0.0583920146002195,-0.07792781590206345,0.532865452378177,NOT_SIGNIFICANT
