gene,nf1_cohens_d,nf1_fdr,kras_cohens_d,kras_pvalue,kras_mean_dep_mut,kras_mean_dep_wt,category
ABHD17B,0.0183,0.9823944221865752,,,,,neither
ABHD17C,0.0006,0.9961234093825128,-0.3975090305918867,0.15625250910799351,0.08976823026733817,0.16043792285596603,KRAS_specific
ABHD18,-0.104,0.9656114473409808,0.3773418534389536,0.11013077261535723,0.18565002596660854,0.10821675297793633,neither
ABHD2,0.1622,0.9658317839680748,,,,,neither
ABHD3,0.1061,0.9935679037459302,-0.2483807212286379,0.18194310792953017,-0.15314819961104856,-0.11853546666409327,neither
ABHD4,0.0492,0.9907296327053308,-0.406934543774422,0.09018356221532368,-0.0029213184304606337,0.05605769832304845,KRAS_specific
ABHD5,0.0931,0.993302184314158,-0.26262420258054253,0.16873115702042119,-0.07844991082699437,-0.04958103215394723,neither
ABHD6,0.0234,0.9975610407095122,,,,,neither
ABHD8,0.1871,0.8508868687211766,,,,,neither
ABI1,0.3055,0.6451632751223236,,,,,neither
ABI2,-0.0004,0.9975894567911704,,,,,neither
ABI3,0.0324,0.9839588188603888,,,,,neither
ABI3BP,-0.0167,0.9919488452605149,,,,,neither
ABITRAM,-0.0702,0.9760694922996784,0.40102393558110555,0.13341220245736674,0.04690701100865811,-0.012188641157706227,neither
ABL1,0.1182,0.942520063980189,,,,,neither
ABL2,0.2049,0.818279223559409,,,,,neither
ABLIM1,-0.258,0.8943774342954771,,,,,neither
ABLIM2,0.2114,0.7265651525977933,,,,,neither
ABLIM3,-0.1109,0.9507420729631676,,,,,neither
ABR,0.1616,0.934073162165061,,,,,neither
ABRA,0.1267,0.9032036840547224,-0.5635426786657519,0.12300622349952452,-0.07458178400305027,0.02187716673381482,KRAS_specific
ABRACL,0.1554,0.9367609238098936,,,,,neither
ABRAXAS1,-0.1345,0.9658239653851955,,,,,neither
ABRAXAS2,0.198,0.8922470905174421,,,,,neither
ABT1,-0.1549,0.9677910102825864,,,,,neither
ABTB1,-0.1726,0.9430714503494906,,,,,neither
ABTB2,0.1101,0.9823944221865752,0.36234643285838863,0.15625250910799351,0.10091572728210138,0.05368981467950628,neither
ABTB3,-0.0367,0.9773106863644524,0.5808580571593054,0.033735018851620294,0.03851531213803894,-0.05363961130944565,neither
ACAA1,-0.0156,0.9975894567911704,,,,,neither
ACAA2,0.1328,0.9773106863644524,0.35244810952492733,0.09018356221532368,-0.06275247813381159,-0.10269413915052907,neither
ACACA,0.0218,0.9935679037459302,,,,,neither
ACACB,-0.1596,0.9123211084160816,,,,,neither
ACAD10,-0.0302,0.9935679037459302,,,,,neither
ACAD11,-0.1773,0.8668924880609018,,,,,neither
ACAD8,-0.1765,0.9032036840547224,,,,,neither
ACAD9,-0.0516,0.9975610407095122,-0.31011223489373535,0.11013077261535723,-0.30925772353064346,-0.25101091540996706,KRAS_specific
ACADL,0.0358,0.9873145795670764,,,,,neither
ACADM,-0.305,0.6780490098953341,-0.42304936222976375,0.030409054132567653,-0.02788349544260585,0.026945786574285414,shared_RAS_dependency
ACADS,0.0044,0.9935679037459302,-0.8370608643624627,0.0011241582904121929,-0.21851443737446238,-0.11330978346140166,KRAS_specific
ACADSB,-0.1649,0.8197859316907492,,,,,neither
ACADVL,-0.0016,0.9970947017753858,,,,,neither
ACAN,0.0315,0.9886201045012536,,,,,neither
ACAP1,-0.0944,0.9793104017325636,0.21661380288032708,0.17745644079681333,-0.03584869793099357,-0.0600686844381065,neither
ACAP2,0.0011,0.9975894567911704,,,,,neither
ACAP3,-0.1375,0.9944547156000132,,,,,neither
ACAT1,-0.1763,0.9024949901071614,,,,,neither
ACAT2,-0.0123,0.9949424194863864,,,,,neither
ACBD3,0.0272,0.9949424194863864,,,,,neither
ACBD4,-0.0136,0.988635996854372,,,,,neither
ACBD5,-0.2177,0.9020296443327318,,,,,neither
ACBD6,-0.1077,0.988903223701504,,,,,neither
ACBD7,-0.0361,0.9601966365350418,,,,,neither
ACCS,0.1383,0.8996402825756117,,,,,neither
ACCSL,0.019,0.9944547156000132,,,,,neither
ACD,0.1122,0.8943774342954771,,,,,neither
ACE,-0.0185,0.9823944221865752,,,,,neither
ACE2,0.1276,0.9024949901071614,-0.08542623606241881,0.2157266425164236,0.21966282670770557,0.23080332082929048,neither
ACER1,0.2599,0.7297637036844843,,,,,neither
ACER2,0.18,0.925158561429615,,,,,neither
ACER3,-0.1141,0.9651016409936232,0.1412173658577458,0.22616099921205812,0.11200881344041665,0.09308659167881479,neither
ACHE,-0.0632,0.9823944221865752,,,,,neither
ACIN1,-0.0486,0.9884311331492306,,,,,neither
ACKR1,-0.0635,0.9823944221865752,0.38553263725040143,0.2157266425164236,-0.05599177779650453,-0.09958075071162424,neither
ACKR2,0.1688,0.8990645357508448,,,,,neither
ACKR3,0.0355,0.9944547156000132,,,,,neither
ACKR4,0.3196,0.6956303534759828,,,,,neither
ACLY,0.1707,0.8548700217577266,,,,,neither
ACMSD,0.2234,0.8228039115189821,,,,,neither
ACO1,-0.0906,0.9718855019962706,,,,,neither
ACO2,0.2399,0.7699766263888559,-0.3231889644417041,0.2315111660290653,-0.9818580316414247,-0.8073323510088312,KRAS_specific
ACOD1,0.0724,0.9765275852398302,,,,,neither
ACOT1,0.1306,0.9793104017325636,,,,,neither
ACOT11,-0.1741,0.8943774342954771,,,,,neither
ACOT12,0.0525,0.9989217463031048,,,,,neither
ACOT13,-0.1772,0.887094148871769,0.38891387906967106,0.2315111660290653,0.023952702978309467,-0.02828205397769135,neither
ACOT2,-0.14,0.9373910967084378,,,,,neither
ACOT4,0.3701,0.5616487887061005,,,,,neither
ACOT6,-0.0069,0.9839588188603888,0.4320757403827819,0.06282680376498592,-0.022500896891836788,-0.08180603449546832,neither
ACOT7,-0.0849,0.9823944221865752,,,,,neither
ACOT8,0.0562,0.9975610407095122,,,,,neither
ACOT9,-0.155,0.8995271344185874,,,,,neither
ACOX1,0.0008,0.9851360850459384,,,,,neither
ACOX2,0.0356,0.9975610407095122,,,,,neither
ACOX3,0.008,0.9823944221865752,,,,,neither
ACOXL,-0.179,0.8732998940610351,,,,,neither
ACP1,0.0383,0.9949424194863864,,,,,neither
ACP2,0.0347,0.9841370715577772,0.45035723010867923,0.09556093399941473,0.1027739054438526,0.04491651615448001,neither
ACP3,0.1649,0.8922470905174421,,,,,neither
ACP4,-0.1696,0.887094148871769,-0.6949254930188717,0.0027476347713746682,-0.02138838399205885,0.07440413187513842,KRAS_specific
ACP5,0.1737,0.8922470905174421,0.28937484932533586,0.13341220245736674,0.032941901167111626,0.004478073926615215,neither
ACP6,-0.0935,0.9682613726680008,,,,,neither
ACP7,-0.0026,0.993302184314158,,,,,neither
ACR,0.1216,0.9107773512633518,,,,,neither
ACRBP,-0.0245,0.9975610407095122,,,,,neither
ACRV1,0.0399,0.9983658360500032,,,,,neither
ACSBG1,-0.0189,0.992265324626336,0.2226888877440137,0.148330766120533,0.06741184360620751,0.044039132642274555,neither
ACSBG2,-0.1175,0.9317321247622332,,,,,neither
ACSF2,0.3858,0.6780490098953341,,,,,neither
ACSF3,-0.0839,0.9658317839680748,0.33865074202663836,0.22616099921205812,0.12332463863313325,0.07404067623575473,neither
ACSL1,0.2,0.942520063980189,,,,,neither
