interneuron_subclass,BACH1,BACH2,BCL11A,CREB5,DLX1,ID2,KLF6,LHX6,MAF,MAFB,NFIB,NFIX,NPAS3,PROX1,RORB,RXRA,SATB1,SOX5,SOX6,ZBTB20,CEBPB,JUN,NFIA,NPAS1,BCL11B,CREB3,ETV1,KLF13,POU3F3,RARB,EMX2,MAFK,PBX3,POU3F4,NR2F2,HIF3A,ARNTL2,EGR1,POU2F2,SOX4,RXRG,FOXP2,MEIS2,ESR2,MYT1,NR4A1,MAFF,POU3F2,IKZF2,ID4,FOS,EGR3,REST,MEIS1,PAX6,ASCL1,ONECUT2,EBF1,CEBPD,SOX9
CR,-0.03859193849336138,-0.05308547569696419,-0.036905227215552054,-0.009631010883213248,-0.026019137860538135,0.014780791750195685,-0.009671999333418963,-0.037219920486083045,-0.05810097353578046,-0.05087984072423258,-0.03267513809582629,-0.01502570135282193,-0.07000836472977219,-0.007374908608317351,-0.010199302685019432,-0.009928129386877035,-0.05387668795003805,-0.05353332611461162,-0.07644662259564386,-0.029855216017698433,-0.006827004791764319,-0.01663791523768696,-0.03211365654768921,-0.019544059653053954,-0.039284591078774626,-0.009456319307413287,-0.045089219179863166,-0.00465249261726839,-0.015318197664643166,-0.020066303771104337,-0.0012813709046377965,-0.006115155043903154,-0.005851063493934423,0.0038224472717727624,0.05760856621337069,0.0008471477109513818,-0.010919985878123926,-0.02278917922569005,-0.009240854946106816,-0.017529347917445946,0.020709098245771673,-0.0024359527011310863,-0.009683640963552646,-0.008929537212661024,-0.002646669770655077,-0.0053340794395225904,-0.003471839606053766,-0.003597409814082327,-0.007179793257254525,-0.018596968506741366,-0.012783409294599724,0.0005389821260744597,-0.0016156178351643027,0.0025539169405041076,0.0005677528435810861,-0.004513378245573596,0.004599565627409369,-0.00047430722016052716,-0.003038077127826023,-0.0024006531790254043
NPY_NGF,-0.03353979015454645,-0.04380999625181421,-0.029114923875310086,-0.010480299095116271,-0.030480198113388857,0.03703690854192524,-0.011822229783164715,-0.029429788826049255,-0.05210475588044231,-0.04653999521572192,0.0010601948572023703,-0.017721691708174104,-0.07809241916989978,-0.020333422948956598,-0.010333042183956373,-0.01056785750993803,-0.05272829885727637,-0.03989793055773605,-0.06513703688658383,-0.030454876562018188,-0.006618080339413948,-0.015241632695716378,-0.03133325972806549,-0.01791612246801333,-0.020901248181893817,-0.012727855269820915,-0.03473353806054953,-0.007193125135262672,-0.012945012811658867,-0.019171997286307457,-0.0028587016077211884,-0.004841705830022466,-0.006010811110074059,-0.006913361005041756,-0.04713099935509025,-0.00692350783391319,-0.007690774701642247,-0.007071893805554813,-0.006712037053014315,-0.0026185076630730764,-0.02930035974981291,-0.002810961770263685,-0.008757016413399205,-0.00834621801351487,-0.00431810634744978,-0.006849931271260448,-0.0015925982833440505,-0.01443420381413456,-0.00711901167769607,-0.011448625832611,-0.022151190068063,-0.0001267601982600878,-0.001952175135021395,-0.0004880741089183647,0.0017288885026923986,0.005324524010844076,0.001491516771243827,-0.00039531558945035184,-0.005468846798231186,-0.001362098228420078
PTHLH,-0.044947766827243746,-0.055513812262541894,-0.036938344055483865,-0.010449576459185926,-0.03690113008742214,-0.06082537547449428,-0.0150584919320475,-0.017938834271297197,-0.052620540512724384,-0.04583232272853429,-0.04873865283434983,-0.03395759054288896,-0.09145290930780044,-0.026360121338200912,-0.01172545343140146,-0.013811130608114173,-0.05597862883467944,-0.04877658809506071,-0.03382260610638428,-0.03480416399115051,-0.00974395420904392,-0.016246744090269553,-0.03703490835819116,-0.0247867587082256,-0.03683651405607643,-0.012208544128486182,-0.06562001798277722,-0.011473654891097447,-0.019091154373793516,-0.023333247116596782,-0.005314580861637932,-0.009389695484917708,-0.010983760256589781,-0.009679610295668183,-0.12415958292676949,-0.009175640697478784,-0.014578696586273194,-0.023638202805100865,-0.012105472620440802,-0.017471938500150254,-0.035752774236663606,-0.006871359608968593,-0.01132729357571442,-0.011825047994785495,-0.00870519734588885,-0.010132162692582597,-0.006772938252683341,-0.017630656905227984,-0.009914353499992977,-0.022049914789368116,-0.0339818083769652,-0.0031395691071152087,-0.0025919575512269185,-0.005866279049930912,-0.003007559483714605,-0.007147868369049838,-0.002522446558636102,-0.0028399181832203437,-0.009963161652127997,-0.00781455088199155
PV_FSI,-0.04276049959609901,-0.05180498193977391,-0.03748543517094273,-0.012124100400118378,-0.0404379704075529,-0.030850084565926285,-0.015261690506454496,-0.028891060148561,-0.05567578384066607,-0.050349444904782756,-0.04825403072737237,-0.03295940247950248,-0.09571819293403674,-0.02700553321273422,-0.01248960723843723,-0.014978451942604106,-0.05902145263952445,-0.04544716790577787,-0.030421473587540944,-0.034805667023055396,-0.009359868983940377,-0.02012461901329046,-0.03633573514490543,-0.024147729075360422,-0.03265257184021636,-0.015868375979248065,-0.05417880450284363,-0.011850091481333815,-0.02028047428906116,-0.021498386216469625,-0.0054029516759332655,-0.009157924606732865,-0.010953719013883135,-0.009642335867612125,-0.12315930846986539,-0.00862652878671062,-0.012856525601488273,-0.025329692556085696,-0.011213699743331472,-0.021626640720065936,-0.043123646003081814,-0.006308990461001674,-0.01137480196685114,-0.011060921023471774,-0.008875676631186017,-0.008439261019106109,-0.005549541637176219,-0.0165015157955918,-0.009315762029198682,-0.022593293019048062,-0.04037475375504443,-0.0033202714396606305,-0.0018248893374981218,-0.0031706518567328635,-0.0032150919250247254,-0.006512072142190355,-0.0023859743311354137,-0.0016637704873486868,-0.01075342302575222,-0.008271577902589537
SST_PLTS,-0.03668513183520525,-0.051928162525951616,-0.027198606669426913,-0.010832703899518669,-0.03453674194095843,-0.05059325664697007,-0.014143713411079813,-0.023676352940492053,-0.04992455481214169,-0.040310546516722404,-0.06858590475925007,-0.0352343218424913,-0.08934500564260714,-0.030219621017834087,-0.011017213841722528,-0.015641377891815557,-0.04875898343676486,-0.05587418866911815,-0.04619241013021691,-0.03174107565846462,-0.005785561591939571,-0.002511909870931849,-0.04011943577739018,-0.020419390561345306,-0.03319087227979657,-0.014455027702691053,-0.05527737704315717,-0.009131725087945077,-0.015496815125896266,-0.02333552669074811,-0.00255815251901443,-0.008446753037013933,-0.010074503590799257,-0.006612520363016433,-0.13438639803087246,-0.009653200009871056,-0.011067075845912724,0.03598010001873659,-0.01069622400073414,0.004992082304644362,-0.04212466293544902,-0.002994281772727936,-0.01049771980342165,-0.009967294789404781,-0.006556474616394191,-0.004231765186081891,-0.004025371755910691,-0.016444974316422903,-0.010610150835062924,0.007125377353361505,0.06524345223817966,-0.0015781511932992432,-0.0014947004303618137,-0.00375565145428013,-0.002214953875195557,-0.005390392609525119,0.00371652064366341,-0.00046463380953782224,-0.0069598202136194965,-0.006050813499598459
