library,term,overlap,p_value,adj_p_value,genes,combined_score
GO_Biological_Process_2023,Negative Regulation Of Macromolecule Metabolic Process (GO:0010605),2/186,0.0175868771046071,0.0616212791394998,PRKN;PARP14,43.46721815960094
GO_Biological_Process_2023,Defense Response To Virus (GO:0051607),2/189,0.0181243532212572,0.0616212791394998,SAMHD1;MBL2,42.44480268606261
Reactome_2022,Signaling By Cytosolic FGFR1 Fusion Mutants R-HSA-1839117,1/17,0.0185435492893687,0.0750499904334582,CUX1,236.908142520545
GO_Biological_Process_2023,Negative Regulation Of Oxidative Stress-Induced Intrinsic Apoptotic Signaling Pathway (GO:1902176),1/17,0.0185435492893687,0.0616212791394998,PRKN,236.908142520545
GO_Biological_Process_2023,Positive Regulation Of Dendrite Morphogenesis (GO:0050775),1/17,0.0185435492893687,0.0616212791394998,CUX1,236.908142520545
GO_Biological_Process_2023,Positive Regulation Of Small GTPase Mediated Signal Transduction (GO:0051057),1/17,0.0185435492893687,0.0616212791394998,STK19,236.908142520545
GO_Biological_Process_2023,Cellular Response To Unfolded Protein (GO:0034620),1/17,0.0185435492893687,0.0616212791394998,PRKN,236.908142520545
GO_Biological_Process_2023,Regulation Of Tubulin Deacetylation (GO:0090043),1/17,0.0185435492893687,0.0616212791394998,EP300,236.908142520545
GO_Biological_Process_2023,Negative Regulation Of Insulin Secretion (GO:0046676),1/17,0.0185435492893687,0.0616212791394998,PRKN,236.908142520545
GO_Biological_Process_2023,Carbohydrate Derivative Catabolic Process (GO:1901136),1/17,0.0185435492893687,0.0616212791394998,SAMHD1,236.908142520545
GO_Cellular_Component_2023,NADPH Oxidase Complex (GO:0043020),1/17,0.0185435492893687,0.0609288048079257,DUOX2,236.908142520545
GO_Biological_Process_2023,"DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Cell Cycle Arrest (GO:0006977)",1/17,0.0185435492893687,0.0616212791394998,PIDD1,236.908142520545
GO_Molecular_Function_2023,Metal Ion Binding (GO:0046872),3/521,0.0187303570871683,0.070992180730123,TREX1;MASP1;DUOX2,23.5940717489396
Reactome_2022,Infectious Disease R-HSA-5663205,4/961,0.0193952341269596,0.0750499904334582,MASP2;MASP1;PARP14;MBL2,17.41428712699994
GO_Biological_Process_2023,Regulation Of Protein Deacetylation (GO:0090311),1/18,0.0196240651712844,0.0616212791394998,EP300,219.7945772360195
Reactome_2022,TP53 Regulates Transcription Of Genes Involved In G2 Cell Cycle Arrest R-HSA-6804114,1/18,0.0196240651712844,0.0750499904334582,EP300,219.7945772360195
Reactome_2022,Metabolism Of Amine-Derived Hormones R-HSA-209776,1/18,0.0196240651712844,0.0750499904334582,DUOX2,219.7945772360195
Reactome_2022,RORA Activates Gene Expression R-HSA-1368082,1/18,0.0196240651712844,0.0750499904334582,EP300,219.7945772360195
GO_Molecular_Function_2023,Mannose Binding (GO:0005537),1/18,0.0196240651712844,0.070992180730123,MBL2,219.7945772360195
GO_Biological_Process_2023,Regulation Of Exosomal Secretion (GO:1903541),1/18,0.0196240651712844,0.0616212791394998,PRKN,219.7945772360195
GO_Biological_Process_2023,Negative Regulation Of Peptide Hormone Secretion (GO:0090278),1/18,0.0196240651712844,0.0616212791394998,PRKN,219.7945772360195
GO_Biological_Process_2023,Protein Autoprocessing (GO:0016540),1/18,0.0196240651712844,0.0616212791394998,PIDD1,219.7945772360195
GO_Biological_Process_2023,Negative Regulation Of Signal Transduction By P53 Class Mediator (GO:1901797),1/18,0.0196240651712844,0.0616212791394998,PRKN,219.7945772360195
GO_Biological_Process_2023,Response To Organophosphorus (GO:0046683),1/18,0.0196240651712844,0.0616212791394998,DUOX2,219.7945772360195
GO_Biological_Process_2023,Neuron Fate Commitment (GO:0048663),1/18,0.0196240651712844,0.0616212791394998,MYT1L,219.7945772360195
MSigDB_Hallmark_2020,Interferon Gamma Response,2/200,0.0201543754357544,0.0806175017430178,PARP14;SAMHD1,39.00390099361183
GO_Molecular_Function_2023,DNA Polymerase Binding (GO:0070182),1/19,0.020703445636816,0.070992180730123,FANCD2,204.7460437251252
GO_Biological_Process_2023,Stimulatory C-type Lectin Receptor Signaling Pathway (GO:0002223),1/19,0.020703445636816,0.0616212791394998,EP300,204.7460437251252
Reactome_2022,Regulation Of TP53 Activity Thru Methylation R-HSA-6804760,1/19,0.020703445636816,0.0750499904334582,EP300,204.7460437251252
Reactome_2022,Nicotinamide Salvaging R-HSA-197264,1/19,0.020703445636816,0.0750499904334582,PARP14,204.7460437251252
GO_Biological_Process_2023,DNA Catabolic Process (GO:0006308),1/19,0.020703445636816,0.0616212791394998,TREX1,204.7460437251252
Reactome_2022,Scavenging By Class A Receptors R-HSA-3000480,1/19,0.020703445636816,0.0750499904334582,MASP1,204.7460437251252
GO_Biological_Process_2023,Superoxide Anion Generation (GO:0042554),1/19,0.020703445636816,0.0616212791394998,DUOX2,204.7460437251252
GO_Biological_Process_2023,Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage By P53 Class Mediator (GO:0042771),1/19,0.020703445636816,0.0616212791394998,EP300,204.7460437251252
GO_Biological_Process_2023,Dopamine Metabolic Process (GO:0042417),1/19,0.020703445636816,0.0616212791394998,PRKN,204.7460437251252
GO_Biological_Process_2023,Regulation Of Autophagy Of Mitochondrion (GO:1903146),1/19,0.020703445636816,0.0616212791394998,PRKN,204.7460437251252
GO_Biological_Process_2023,Cellular Response To Lectin (GO:1990858),1/19,0.020703445636816,0.0616212791394998,EP300,204.7460437251252
GO_Biological_Process_2023,Positive Regulation Of Mitochondrial Fission (GO:0090141),1/19,0.020703445636816,0.0616212791394998,PRKN,204.7460437251252
GO_Biological_Process_2023,Cellular Response To Catecholamine Stimulus (GO:0071870),1/19,0.020703445636816,0.0616212791394998,PRKN,204.7460437251252
GO_Biological_Process_2023,Protein Stabilization (GO:0050821),2/208,0.021688292039161,0.063825422527452,PRKN;EP300,36.769995132118694
Reactome_2022,NOTCH4 Intracellular Domain Regulates Transcription R-HSA-9013695,1/20,0.0217816918149241,0.0758002875159359,EP300,191.42059056605152
Reactome_2022,CD209 (DC-SIGN) Signaling R-HSA-5621575,1/20,0.0217816918149241,0.0758002875159359,EP300,191.42059056605152
GO_Molecular_Function_2023,Ubiquitin-Specific Protease Binding (GO:1990381),1/20,0.0217816918149241,0.070992180730123,PRKN,191.42059056605152
GO_Biological_Process_2023,Regulation Of Necroptotic Process (GO:0060544),1/20,0.0217816918149241,0.063825422527452,PRKN,191.42059056605152
GO_Molecular_Function_2023,DNA-directed DNA Polymerase Activity (GO:0003887),1/20,0.0217816918149241,0.070992180730123,POLG,191.42059056605152
GO_Molecular_Function_2023,Histone H4 Acetyltransferase Activity (GO:0010485),1/20,0.0217816918149241,0.070992180730123,EP300,191.42059056605152
GO_Molecular_Function_2023,DNA Polymerase Activity (GO:0034061),1/21,0.0228588048336812,0.0718419580487123,POLG,179.54686782262274
GO_Biological_Process_2023,Modulation By Host Of Viral Genome Replication (GO:0044827),1/21,0.0228588048336812,0.0651889133444098,PRKN,179.54686782262274
GO_Biological_Process_2023,Negative Regulation Of Reactive Oxygen Species Metabolic Process (GO:2000378),1/21,0.0228588048336812,0.0651889133444098,PRKN,179.54686782262274
GO_Biological_Process_2023,Positive Regulation Of Transcription Regulatory Region DNA Binding (GO:2000679),1/21,0.0228588048336812,0.0651889133444098,EP300,179.54686782262274
GO_Biological_Process_2023,Organelle Fission (GO:0048285),1/22,0.023934785813165,0.0651889133444098,PRKN,168.9069250201691
GO_Biological_Process_2023,Regulation Of Dopamine Secretion (GO:0014059),1/22,0.023934785813165,0.0651889133444098,PRKN,168.9069250201691
GO_Biological_Process_2023,Cellular Response To Topologically Incorrect Protein (GO:0035967),1/22,0.023934785813165,0.0651889133444098,PRKN,168.9069250201691
GO_Biological_Process_2023,Regulation Of Intracellular Steroid Hormone Receptor Signaling Pathway (GO:0033143),1/22,0.023934785813165,0.0651889133444098,EP300,168.9069250201691
GO_Biological_Process_2023,Homologous Chromosome Segregation (GO:0045143),1/22,0.023934785813165,0.0651889133444098,FANCD2,168.9069250201691
GO_Biological_Process_2023,Response To Gamma Radiation (GO:0010332),1/22,0.023934785813165,0.0651889133444098,FANCD2,168.9069250201691
Reactome_2022,PINK1-PRKN Mediated Mitophagy R-HSA-5205685,1/22,0.023934785813165,0.0816598574802102,PRKN,168.9069250201691
GO_Biological_Process_2023,Negative Regulation Of DNA-templated Transcription (GO:0045892),4/1025,0.0239715845367009,0.0651889133444098,PRKN;CUX1;MYT1L;EP300,15.393711682080497
GO_Molecular_Function_2023,N-acetyltransferase Activity (GO:0008080),1/23,0.0250096358786987,0.0736629130944434,EP300,159.3237838191313
GO_Biological_Process_2023,Negative Regulation Of Oxidative Stress-Induced Cell Death (GO:1903202),1/23,0.0250096358786987,0.0670714872665225,PRKN,159.3237838191313
GO_Biological_Process_2023,Apoptotic Process (GO:0006915),2/228,0.0257288259208777,0.0670714872665225,PIDD1;EP300,31.989004493355413
GO_Biological_Process_2023,Positive Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0030511),1/24,0.0260833561592032,0.0670714872665225,EP300,150.65231192236567
GO_Biological_Process_2023,Positive Regulation Of Cellular Response To Transforming Growth Factor Beta Stimulus (GO:1903846),1/24,0.0260833561592032,0.0670714872665225,EP300,150.65231192236567
GO_Biological_Process_2023,Response To Purine-Containing Compound (GO:0014074),1/24,0.0260833561592032,0.0670714872665225,DUOX2,150.65231192236567
GO_Biological_Process_2023,Regulation Of Heterotypic Cell-Cell Adhesion (GO:0034114),1/24,0.0260833561592032,0.0670714872665225,MBL2,150.65231192236567
GO_Biological_Process_2023,Regulation Of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Signaling Pathway (GO:1902235),1/24,0.0260833561592032,0.0670714872665225,PRKN,150.65231192236567
Reactome_2022,Aggrephagy R-HSA-9646399,1/24,0.0260833561592032,0.0872789225327184,PRKN,150.65231192236567
GO_Biological_Process_2023,Amyloid Fibril Formation (GO:1990000),1/24,0.0260833561592032,0.0670714872665225,PRKN,150.65231192236567
GO_Biological_Process_2023,Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122),2/232,0.0265713397963821,0.0678646381285975,PRKN;PIDD1,31.149654581957325
GO_Biological_Process_2023,Mismatch Repair (GO:0006298),1/25,0.0271559477765973,0.0684329883970254,TREX1,142.77242140898989
GO_Molecular_Function_2023,Nuclear Androgen Receptor Binding (GO:0050681),1/25,0.0271559477765973,0.0736629130944434,EP300,142.77242140898989
Reactome_2022,NOTCH3 Intracellular Domain Regulates Transcription R-HSA-9013508,1/25,0.0271559477765973,0.0891534889269423,EP300,142.77242140898989
GO_Biological_Process_2023,Negative Regulation Of Response To Endoplasmic Reticulum Stress (GO:1903573),1/25,0.0271559477765973,0.0684329883970254,PRKN,142.77242140898989
Reactome_2022,Attenuation Phase R-HSA-3371568,1/26,0.0282274118595077,0.0893012666100789,EP300,135.5839309094672
GO_Biological_Process_2023,Acute Inflammatory Response (GO:0002526),1/26,0.0282274118595077,0.0697383116529014,MBL2,135.5839309094672
GO_Biological_Process_2023,Mitotic G1 DNA Damage Checkpoint Signaling (GO:0031571),1/26,0.0282274118595077,0.0697383116529014,PIDD1,135.5839309094672
Reactome_2022,Signaling By ALK R-HSA-201556,1/26,0.0282274118595077,0.0893012666100789,EP300,135.5839309094672
GO_Biological_Process_2023,Regulation Of Actin Filament Bundle Assembly (GO:0032231),1/26,0.0282274118595077,0.0697383116529014,PRKN,135.5839309094672
GO_Molecular_Function_2023,NF-kappaB Binding (GO:0051059),1/26,0.0282274118595077,0.0736629130944434,EP300,135.5839309094672
GO_Molecular_Function_2023,NAD+ ADP-ribosyltransferase Activity (GO:0003950),1/26,0.0282274118595077,0.0736629130944434,PARP14,135.5839309094672
GO_Biological_Process_2023,Regulation Of Autophagy (GO:0010506),2/241,0.028507861611188,0.0699738421365523,PRKN;EP300,29.38200020905147
GO_Cellular_Component_2023,Histone Acetyltransferase Complex (GO:0000123),1/27,0.0292977495261991,0.0830607056872471,EP300,129.00263688319484
GO_Biological_Process_2023,Regulation Of Catecholamine Secretion (GO:0050433),1/27,0.0292977495261991,0.0699921438989541,PRKN,129.00263688319484
GO_Biological_Process_2023,Regulation Of Androgen Receptor Signaling Pathway (GO:0060765),1/27,0.0292977495261991,0.0699921438989541,EP300,129.00263688319484
GO_Biological_Process_2023,Regulation Of Mitochondrial Fission (GO:0090140),1/27,0.0292977495261991,0.0699921438989541,PRKN,129.00263688319484
GO_Biological_Process_2023,Positive Regulation Of Response To Wounding (GO:1903036),1/27,0.0292977495261991,0.0699921438989541,DUOX2,129.00263688319484
GO_Molecular_Function_2023,Tumor Necrosis Factor Receptor Superfamily Binding (GO:0032813),1/27,0.0292977495261991,0.0736629130944434,PIDD1,129.00263688319484
GO_Molecular_Function_2023,Acetyltransferase Activity (GO:0016407),1/27,0.0292977495261991,0.0736629130944434,EP300,129.00263688319484
GO_Molecular_Function_2023,Histone Acetyltransferase Activity (GO:0004402),1/27,0.0292977495261991,0.0736629130944434,EP300,129.00263688319484
GO_Biological_Process_2023,Positive Regulation Of DNA-binding Transcription Factor Activity (GO:0051091),2/246,0.0296078129745657,0.0699921438989541,PIDD1;EP300,28.46643249614231
GO_Biological_Process_2023,Negative Regulation Of Cytoskeleton Organization (GO:0051494),1/28,0.0303669619032499,0.0699921438989541,PRKN,122.95727551819456
Reactome_2022,Mitophagy R-HSA-5205647,1/28,0.0303669619032499,0.0926991468625524,PRKN,122.95727551819456
GO_Biological_Process_2023,Regulation Of Protein Localization To Membrane (GO:1905475),1/28,0.0303669619032499,0.0699921438989541,PRKN,122.95727551819456
GO_Biological_Process_2023,Positive Regulation Of Protein Import Into Nucleus (GO:0042307),1/28,0.0303669619032499,0.0699921438989541,EP300,122.95727551819456
GO_Biological_Process_2023,Negative Regulation Of Actin Filament Bundle Assembly (GO:0032232),1/28,0.0303669619032499,0.0699921438989541,PRKN,122.95727551819456
Reactome_2022,TRAF6 Mediated IRF7 Activation R-HSA-933541,1/28,0.0303669619032499,0.0926991468625524,EP300,122.95727551819456
GO_Biological_Process_2023,Regulation Of Glucose Metabolic Process (GO:0010906),1/28,0.0303669619032499,0.0699921438989541,PRKN,122.95727551819456
GO_Molecular_Function_2023,Ubiquitin Conjugating Enzyme Binding (GO:0031624),1/28,0.0303669619032499,0.0742303513190554,PRKN,122.95727551819456
Reactome_2022,Regulation Of TP53 Activity Thru Acetylation R-HSA-6804758,1/29,0.031435050111481,0.0942065706232966,EP300,117.38714910240454
GO_Biological_Process_2023,Positive Regulation Of Endopeptidase Activity (GO:0010950),1/29,0.031435050111481,0.0703103487700583,MBL2,117.38714910240454
GO_Biological_Process_2023,Maintenance Of Blood-Brain Barrier (GO:0035633),1/29,0.031435050111481,0.0703103487700583,MBL2,117.38714910240454
GO_Biological_Process_2023,Regulation Of Protein Modification By Small Protein Conjugation Or Removal (GO:1903320),1/29,0.031435050111481,0.0703103487700583,PRKN,117.38714910240454
GO_Biological_Process_2023,Protein Acetylation (GO:0006473),1/29,0.031435050111481,0.0703103487700583,EP300,117.38714910240454
GO_Biological_Process_2023,Protein K11-linked Ubiquitination (GO:0070979),1/29,0.031435050111481,0.0703103487700583,PRKN,117.38714910240454
GO_Biological_Process_2023,Negative Regulation Of Carbohydrate Metabolic Process (GO:0045912),1/30,0.0325020152689227,0.0710159639979931,EP300,112.24025378249362
Reactome_2022,Translation Of Structural Proteins R-HSA-9683701,1/30,0.0325020152689227,0.0942065706232966,PARP14,112.24025378249362
GO_Cellular_Component_2023,Rough Endoplasmic Reticulum (GO:0005791),1/30,0.0325020152689227,0.0830607056872471,MBL2,112.24025378249362
GO_Biological_Process_2023,Homologous Chromosome Pairing At Meiosis (GO:0007129),1/30,0.0325020152689227,0.0710159639979931,FANCD2,112.24025378249362
GO_Biological_Process_2023,Negative Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050732),1/30,0.0325020152689227,0.0710159639979931,PARP14,112.24025378249362
GO_Biological_Process_2023,Positive Regulation Of Locomotion (GO:0040017),1/30,0.0325020152689227,0.0710159639979931,DUOX2,112.24025378249362
Reactome_2022,FGFR1 Mutant Receptor Activation R-HSA-1839124,1/30,0.0325020152689227,0.0942065706232966,CUX1,112.24025378249362
GO_Biological_Process_2023,Regulation Of Dendrite Morphogenesis (GO:0048814),1/31,0.0335678584979562,0.0716872910295337,CUX1,107.4717897739846
GO_Biological_Process_2023,Regulation Of Response To Biotic Stimulus (GO:0002831),1/31,0.0335678584979562,0.0716872910295337,SAMHD1,107.4717897739846
GO_Biological_Process_2023,Regulation Of Gluconeogenesis (GO:0006111),1/31,0.0335678584979562,0.0716872910295337,EP300,107.4717897739846
GO_Molecular_Function_2023,RNA Polymerase II Complex Binding (GO:0000993),1/31,0.0335678584979562,0.0788966529334946,UVSSA,107.4717897739846
Reactome_2022,Metalloprotease DUBs R-HSA-5689901,1/31,0.0335678584979562,0.0942065706232966,EP300,107.4717897739846
Reactome_2022,Nicotinate Metabolism R-HSA-196807,1/31,0.0335678584979562,0.0942065706232966,PARP14,107.4717897739846
GO_Biological_Process_2023,Positive Regulation Of Proteolysis Involved In Protein Catabolic Process (GO:1903052),1/31,0.0335678584979562,0.0716872910295337,PRKN,107.4717897739846
Reactome_2022,Signaling By NOTCH2 R-HSA-1980145,1/32,0.0346325809282469,0.0952840786282133,EP300,103.04296619408238
GO_Biological_Process_2023,Positive Regulation Of DNA Binding (GO:0043388),1/33,0.0356961836698558,0.0749619857066972,PRKN,98.92003496654242
GO_Biological_Process_2023,Regulation Of Type I Interferon-Mediated Signaling Pathway (GO:0060338),1/33,0.0356961836698558,0.0749619857066972,SAMHD1,98.92003496654242
GO_Biological_Process_2023,Negative Regulation Of Small Molecule Metabolic Process (GO:0062014),1/33,0.0356961836698558,0.0749619857066972,EP300,98.92003496654242
GO_Molecular_Function_2023,RNA Polymerase Core Enzyme Binding (GO:0043175),1/33,0.0356961836698558,0.0788966529334946,UVSSA,98.92003496654242
GO_Molecular_Function_2023,Transcription Coactivator Binding (GO:0001223),1/34,0.0367586678440145,0.0788966529334946,EP300,95.0735042734142
GO_Molecular_Function_2023,Hsp70 Protein Binding (GO:0030544),1/34,0.0367586678440145,0.0788966529334946,PRKN,95.0735042734142
GO_Biological_Process_2023,Negative Regulation Of JNK Cascade (GO:0046329),1/34,0.0367586678440145,0.0755150893752037,PRKN,95.0735042734142
GO_Biological_Process_2023,Response To Estrogen (GO:0043627),1/34,0.0367586678440145,0.0755150893752037,EP300,95.0735042734142
GO_Biological_Process_2023,Transcription Initiation-Coupled Chromatin Remodeling (GO:0045815),1/34,0.0367586678440145,0.0755150893752037,EP300,95.0735042734142
GO_Biological_Process_2023,Superoxide Metabolic Process (GO:0006801),1/34,0.0367586678440145,0.0755150893752037,DUOX2,95.0735042734142
GO_Molecular_Function_2023,Ubiquitin-Like Protein Conjugating Enzyme Binding (GO:0044390),1/34,0.0367586678440145,0.0788966529334946,PRKN,95.0735042734142
Reactome_2022,Deubiquitination R-HSA-5688426,2/279,0.0372835669580449,0.0952840786282133,PRKN;EP300,23.39371144017591
GO_Biological_Process_2023,Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator (GO:0072332),1/35,0.037820034565529,0.077275530085243,EP300,91.47749401004982
Reactome_2022,Nucleotide Catabolism R-HSA-8956319,1/35,0.037820034565529,0.0952840786282133,SAMHD1,91.47749401004982
GO_Cellular_Component_2023,Aggresome (GO:0016235),1/35,0.037820034565529,0.0869860795007167,PRKN,91.47749401004982
Reactome_2022,RUNX1 Interacts With Co-Factors Whose Precise Effect On RUNX1 Targets Is Not Known R-HSA-8939243,1/35,0.037820034565529,0.0952840786282133,EP300,91.47749401004982
GO_Biological_Process_2023,Central Nervous System Development (GO:0007417),2/283,0.038261436683532,0.0774210297888413,PRKN;MBL2,22.87454503022449
Reactome_2022,SMAD2/SMAD3:SMAD4 Heterotrimer Regulates Transcription R-HSA-2173796,1/36,0.0388802849574893,0.0952840786282133,EP300,88.10920425980879
Reactome_2022,Transcriptional Regulation By AP-2 (TFAP2) Family Of Transcription Factors R-HSA-8864260,1/36,0.0388802849574893,0.0952840786282133,EP300,88.10920425980879
Reactome_2022,HSF1-dependent Transactivation R-HSA-3371571,1/36,0.0388802849574893,0.0952840786282133,EP300,88.10920425980879
Reactome_2022,NR1H3 And NR1H2 Regulate Gene Expression Linked To Cholesterol Transport And Efflux R-HSA-9029569,1/36,0.0388802849574893,0.0952840786282133,EP300,88.10920425980879
GO_Molecular_Function_2023,Basal RNA Polymerase II Transcription Machinery Binding (GO:0001099),1/36,0.0388802849574893,0.0814634541966444,UVSSA,88.10920425980879
GO_Biological_Process_2023,Base-Excision Repair (GO:0006284),1/36,0.0388802849574893,0.0774210297888413,POLG,88.10920425980879
Reactome_2022,Signaling By FGFR1 In Disease R-HSA-5655302,1/36,0.0388802849574893,0.0952840786282133,CUX1,88.10920425980879
GO_Biological_Process_2023,"DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0030330)",1/36,0.0388802849574893,0.0774210297888413,PIDD1,88.10920425980879
GO_Biological_Process_2023,Interstrand Cross-Link Repair (GO:0036297),1/36,0.0388802849574893,0.0774210297888413,FANCD2,88.10920425980879
GO_Biological_Process_2023,Negative Regulation Of Stress-Activated MAPK Cascade (GO:0032873),1/37,0.0399394201291641,0.0774210297888413,PRKN,84.948474454672
GO_Biological_Process_2023,Mitochondrion Disassembly (GO:0061726),1/37,0.0399394201291641,0.0774210297888413,PRKN,84.948474454672
GO_Biological_Process_2023,Positive Regulation Of Immune Effector Process (GO:0002699),1/37,0.0399394201291641,0.0774210297888413,MBL2,84.948474454672
GO_Biological_Process_2023,Protein Acylation (GO:0043543),1/37,0.0399394201291641,0.0774210297888413,EP300,84.948474454672
GO_Biological_Process_2023,Positive Regulation Of Receptor Signaling Pathway Via JAK-STAT (GO:0046427),1/37,0.0399394201291641,0.0774210297888413,EP300,84.948474454672
GO_Biological_Process_2023,Positive Regulation Of Receptor Signaling Pathway Via STAT (GO:1904894),1/37,0.0399394201291641,0.0774210297888413,EP300,84.948474454672
GO_Molecular_Function_2023,N-acyltransferase Activity (GO:0016410),1/37,0.0399394201291641,0.0817364877061964,EP300,84.948474454672
GO_Biological_Process_2023,Regulation Of Protein Import Into Nucleus (GO:0042306),1/38,0.0409974411975465,0.0783080986500086,EP300,81.97741568726948
GO_Biological_Process_2023,Response To cAMP (GO:0051591),1/38,0.0409974411975465,0.0783080986500086,DUOX2,81.97741568726948
Reactome_2022,Fanconi Anemia Pathway R-HSA-6783310,1/38,0.0409974411975465,0.0990771495607373,FANCD2,81.97741568726948
GO_Biological_Process_2023,Regulation Of Intracellular Signal Transduction (GO:1902531),2/297,0.0417615163779334,0.0783080986500086,PIDD1;EP300,21.189450243723243
GO_Biological_Process_2023,Regulation Of Protein Targeting To Mitochondrion (GO:1903214),1/39,0.0420543492750046,0.0783080986500086,PRKN,79.18010249314726
GO_Biological_Process_2023,Negative Regulation Of Mitochondrion Organization (GO:0010823),1/39,0.0420543492750046,0.0783080986500086,PRKN,79.18010249314726
GO_Biological_Process_2023,Negative Regulation Of Transport (GO:0051051),1/39,0.0420543492750046,0.0783080986500086,PRKN,79.18010249314726
GO_Biological_Process_2023,Negative Regulation Of Protein Secretion (GO:0050709),1/39,0.0420543492750046,0.0783080986500086,PRKN,79.18010249314726
GO_Biological_Process_2023,Internal Peptidyl-Lysine Acetylation (GO:0018393),1/39,0.0420543492750046,0.0783080986500086,EP300,79.18010249314726
Reactome_2022,NGF-stimulated Transcription R-HSA-9031628,1/39,0.0420543492750046,0.1002391338883672,EP300,79.18010249314726
GO_Molecular_Function_2023,Pentosyltransferase Activity (GO:0016763),1/39,0.0420543492750046,0.082239616360009,PARP14,79.18010249314726
GO_Molecular_Function_2023,Tau Protein Binding (GO:0048156),1/39,0.0420543492750046,0.082239616360009,EP300,79.18010249314726
GO_Biological_Process_2023,Regulation Of Glycolytic Process (GO:0006110),1/40,0.043110145479118,0.0791050242286729,EP300,76.54231318763195
GO_Biological_Process_2023,Positive Regulation Of Wound Healing (GO:0090303),1/40,0.043110145479118,0.0791050242286729,DUOX2,76.54231318763195
GO_Biological_Process_2023,Negative Regulation Of Cell-Cell Adhesion (GO:0022408),1/40,0.043110145479118,0.0791050242286729,MBL2,76.54231318763195
GO_Biological_Process_2023,Regulation Of Release Of Cytochrome C From Mitochondria (GO:0090199),1/41,0.0441648309205672,0.0806488216810359,PRKN,74.05131012000572
Reactome_2022,Regulation Of Beta-Cell Development R-HSA-186712,1/41,0.0441648309205672,0.1021818541185589,EP300,74.05131012000572
Reactome_2022,Binding And Uptake Of Ligands By Scavenger Receptors R-HSA-2173782,1/41,0.0441648309205672,0.1021818541185589,MASP1,74.05131012000572
KEGG_2021_Human,Homologous recombination,1/41,0.0441648309205672,0.251837773245223,RAD54L,74.05131012000572
Reactome_2022,Formation Of Incision Complex In GG-NER R-HSA-5696395,1/42,0.0452184067076381,0.1021818541185589,USP45,71.69565287330235
GO_Biological_Process_2023,Modulation By Host Of Symbiont Process (GO:0051851),1/42,0.0452184067076381,0.0813931320737486,EP300,71.69565287330235
GO_Biological_Process_2023,DNA Recombination (GO:0006310),1/42,0.0452184067076381,0.0813931320737486,TREX1,71.69565287330235
GO_Biological_Process_2023,Substantia Nigra Development (GO:0021762),1/42,0.0452184067076381,0.0813931320737486,MBL2,71.69565287330235
Reactome_2022,Intra-Golgi Traffic R-HSA-6811438,1/42,0.0452184067076381,0.1021818541185589,CUX1,71.69565287330235
Reactome_2022,SUMOylation Of Transcription Cofactors R-HSA-3899300,1/43,0.0462708739577018,0.1032196419056425,EP300,69.46503881508069
GO_Biological_Process_2023,Response To Unfolded Protein (GO:0006986),1/44,0.0473222337759817,0.0835878708753322,PRKN,67.35016647561174
GO_Biological_Process_2023,Positive Regulation Of Nucleocytoplasmic Transport (GO:0046824),1/44,0.0473222337759817,0.0835878708753322,EP300,67.35016647561174
GO_Biological_Process_2023,Regulation Of Transport (GO:0051049),1/44,0.0473222337759817,0.0835878708753322,PRKN,67.35016647561174
GO_Biological_Process_2023,Nucleobase-Containing Compound Catabolic Process (GO:0034655),1/44,0.0473222337759817,0.0835878708753322,TREX1,67.35016647561174
Reactome_2022,TP53 Regulates Transcription Of Cell Death Genes R-HSA-5633008,1/44,0.0473222337759817,0.1042287174306433,PIDD1,67.35016647561174
Reactome_2022,Heme Signaling R-HSA-9707616,1/45,0.0483724872635307,0.1052101597981793,EP300,65.34261801768183
GO_Molecular_Function_2023,Damaged DNA Binding (GO:0003684),1/45,0.0483724872635307,0.0925386712867544,EP300,65.34261801768183
GO_Biological_Process_2023,Zymogen Activation (GO:0031638),1/45,0.0483724872635307,0.0846518527111788,MASP1,65.34261801768183
GO_Biological_Process_2023,Negative Regulation Of Response To Biotic Stimulus (GO:0002832),1/45,0.0483724872635307,0.0846518527111788,TREX1,65.34261801768183
Reactome_2022,NR1H2 And NR1H3-mediated Signaling R-HSA-9024446,1/46,0.0494216355431908,0.1061649948705582,EP300,63.43475777373824
GO_Biological_Process_2023,Replication Fork Processing (GO:0031297),1/46,0.0494216355431908,0.0853030969649596,SAMHD1,63.43475777373824
GO_Biological_Process_2023,Antiviral Innate Immune Response (GO:0140374),1/46,0.0494216355431908,0.0853030969649596,MBL2,63.43475777373824
GO_Biological_Process_2023,Negative Regulation Of Cellular Metabolic Process (GO:0031324),1/46,0.0494216355431908,0.0853030969649596,PRKN,63.43475777373824
GO_Biological_Process_2023,Response To Organonitrogen Compound (GO:0010243),1/47,0.050469679710716,0.0855495019311689,PRKN,61.61964439333086
