gene,n_mutant,n_wt,median_mutant,median_wt,cohens_d,ci_lower,ci_upper,mannwhitney_U,mannwhitney_p,fdr,significant
TMEM202,7,38,0.1224730727795994,0.12423657734516069,-0.26106339052600835,-1.0690113256356892,0.5468845445836725,112.0,0.5290269067920799,1.0,False
SMPD1,7,38,-0.1668761210092192,-0.10481524198518916,-0.26104141665157315,-1.0689890487179352,0.546906215414789,120.0,0.7016215208501086,1.0,False
SLC30A4,7,38,0.0123524641176775,0.01661866721901255,-0.26079162296541125,-1.0687358118938521,0.5471525659630296,125.0,0.8183095407145324,1.0,False
ZNF862,7,38,-0.1454361885567549,-0.10868421567374076,-0.26076599119231814,-1.068709826999918,0.5471778446152818,111.0,0.5090017501248358,1.0,False
FKBP6,5,15,0.283026657561634,0.2955694164827557,-0.2605515775968694,-1.2758882994240626,0.7547851442303237,28.0,0.44453044375645,1.0,False
B3GALT4,7,38,-0.0342438254597944,-0.03905070921831395,-0.2604599745536685,-1.068399597135608,0.5474796480282709,135.0,0.9633685341569632,1.0,False
RASSF8,7,38,-0.031158842562203,-0.02267365599638025,-0.2603646829228211,-1.0683029945387896,0.5475736286931474,115.0,0.5913046869938533,1.0,False
MRPL45,7,38,-0.9461416394152852,-0.8659481884114425,-0.2600841947867849,-1.0680186503844773,0.5478502608109074,105.0,0.3973144772917887,1.0,False
CLMP,7,38,-0.0486540354841281,0.042288956568604555,-0.2600683421823214,-1.0680025799694441,0.5478658956048015,101.0,0.3314661956182092,1.0,False
CDH11,7,38,0.0187270644635818,0.0119592231902295,-0.26001475218687137,-1.0679482537595746,0.5479187493858317,122.0,0.7476587067057857,1.0,False
TAF1D,7,38,-0.5056668418469097,-0.4451515560745044,-0.2598288753028759,-1.067759824486639,0.5481020738808873,102.0,0.3472591881553878,1.0,False
CDH18,7,38,-0.0144526325419358,0.0212496399048255,-0.2598174173981412,-1.0677482093058828,0.5481133745096005,108.0,0.45129099802951195,1.0,False
TBC1D10B,7,38,-0.2067518234844959,-0.16398355384147795,-0.2598073080303218,-1.067737961178361,0.5481233451177174,130.0,0.9389847248610722,1.0,False
