gene,cohens_d,p_value,mean_test,mean_control,n_test,n_control,fdr
SYNDIG1L,0.0993,0.12317904483247268,-0.0323,-0.0461,300,886,0.39561074764575505
ZGLP1,0.0917,0.12322647544086432,-0.0084,-0.0184,300,886,0.39569414296330496
NMRK1,-0.0807,0.12327392030923814,0.0626,0.0716,300,886,0.3957775550158142
U2AF1L4,-0.1016,0.12336885283586023,-0.0817,-0.069,300,886,0.39594442932261203
CPNE9,0.119,0.12336885283586023,-0.0093,-0.0215,300,886,0.39594442932261203
ZSCAN9,-0.0746,0.12351135863770223,0.096,0.1037,300,886,0.3962638176968396
SHISA9,-0.0928,0.12351135863770223,0.0768,0.0871,300,886,0.3962638176968396
DNAJB8,0.1108,0.12355888911808231,-0.0658,-0.0787,300,886,0.39634733267650035
CELA2B,0.0945,0.12360643387581251,0.0562,0.0448,300,886,0.3964308643877181
SMDT1,0.1245,0.1237015662332423,-0.0117,-0.026,300,886,0.39659797800170815
CKB,0.1239,0.1237015662332423,0.0656,0.0498,300,886,0.39659797800170815
LMAN2L,-0.0939,0.1237491538379005,-0.0612,-0.0487,300,886,0.3966125957930625
NKX6-1,0.0892,0.1237491538379005,0.1024,0.0929,300,886,0.3966125957930625
TMEM86B,0.0868,0.12379675572982593,-0.0067,-0.0189,300,886,0.39669619187890515
OR7A5,-0.0998,0.12383934452282677,0.1096,0.1192,282,785,0.3967636976500368
CCDC137,0.1274,0.12393964715398892,-0.4044,-0.4293,300,886,0.3970160547843242
TRIM59,0.0516,0.12398730621976466,0.1093,0.104,300,886,0.397099720319903
WDR86,0.0631,0.12417808550419296,-0.1424,-0.1578,300,886,0.397572595739805
SLC12A9,0.1115,0.12417808550419296,-0.0547,-0.0684,300,886,0.397572595739805
GMPR,0.1319,0.12422581609301254,0.0727,0.057,300,886,0.39765635000428656
ARHGAP24,-0.0766,0.12427356099386806,0.0043,0.013,300,886,0.39774012099339545
CNN3,0.0503,0.12432132020923486,0.0283,0.0202,300,886,0.39782390870634343
SLC16A11,-0.0795,0.12436909374158737,-0.0268,-0.0124,300,886,0.39790771314234
EFNA3,-0.066,0.12451250026530043,-0.2292,-0.2188,300,886,0.3982283036764076
DCAF10,-0.081,0.12451250026530043,-0.1624,-0.1515,300,886,0.3982283036764076
P2RY1,-0.0913,0.12456033109033539,0.0088,0.0199,300,886,0.39824309810099423
GALNS,0.089,0.12456033109033539,0.0173,0.0053,300,886,0.39824309810099423
CDC42SE2,-0.1032,0.12465603573093877,0.0144,0.0266,300,886,0.3984799754985011
BMP1,-0.1059,0.12470390955145208,0.0086,0.0194,300,886,0.3985638995459464
TEX30,-0.0813,0.12479970020526095,0.1848,0.1934,300,886,0.3988009140724537
GPR22,-0.0407,0.12489554822592111,0.0562,0.0615,300,886,0.3990380297304776
RAB11B,0.0794,0.12499145363319761,0.0471,0.036,300,886,0.39927524653058355
CLDN6,0.1299,0.12503942786299188,-0.2587,-0.2791,300,886,0.3993374455829319
OR5K3,0.0933,0.12505424862220046,-0.2051,-0.2172,282,785,0.3993374455829319
ECT2,-0.1199,0.12508741644684956,-1.1739,-1.1287,300,886,0.39937418119114504
KLF6,0.0694,0.12513541938723957,0.0535,0.0397,300,886,0.3993891025629781
POP4,-0.1082,0.12513541938723957,-0.7062,-0.6752,300,886,0.3993891025629781
TARBP2,-0.1049,0.1251834366866307,-0.1899,-0.1752,300,886,0.3994731963507075
ZNF596,0.0986,0.12527951437228899,0.0746,0.0583,300,886,0.3995722919469113
NOG,-0.0482,0.12527951437228899,-0.0306,-0.0251,300,886,0.3995722919469113
LY96,-0.0802,0.12527951437228899,-0.0316,-0.0206,300,886,0.3995722919469113
HYI,-0.0766,0.12532757476349182,-0.2261,-0.215,300,886,0.3995873124809705
RCN1,0.1179,0.12532757476349182,-0.0982,-0.1184,300,886,0.3995873124809705
GTF3C4,0.0966,0.1253756495235668,-0.5805,-0.6047,300,886,0.3996714679175089
EIF2S3,-0.0915,0.12542373865498088,-1.8491,-1.8141,300,886,0.39975564005957337
AGO2,-0.1211,0.12547184216020066,-0.1122,-0.0904,300,886,0.3998398289063611
EFHC1,-0.0921,0.12551996004169225,-0.0954,-0.0814,300,886,0.3999240344570682
TBATA,-0.0974,0.1256162389433541,-0.0026,0.0073,300,886,0.40006897430275234
GRK6,0.0624,0.12566439996845485,-0.0798,-0.0892,300,886,0.40006897430275234
OASL,0.079,0.12571257537968863,-0.0054,-0.0144,300,886,0.40006897430275234
CROT,-0.0921,0.12571257537968863,0.0598,0.0717,300,886,0.40006897430275234
PITPNB,0.0837,0.12571257537968863,0.024,0.0089,300,886,0.40006897430275234
PLEKHJ1,0.1105,0.12576076517951992,-0.1125,-0.1278,300,886,0.40006897430275234
ELOVL7,0.1265,0.12576076517951992,0.1268,0.1159,300,886,0.40006897430275234
TMX4,-0.146,0.12576076517951992,0.0858,0.1096,300,886,0.40006897430275234
CLEC7A,-0.0913,0.12576076517951992,0.1596,0.1672,300,886,0.40006897430275234
MFSD4A,0.1185,0.12585718795483047,0.0189,-0.0008,300,886,0.400283574234091
CLHC1,-0.0828,0.1259054209352368,-0.0967,-0.0843,300,886,0.400283574234091
