gene,cohens_d,p_value,mean_test,mean_control,n_test,n_control,fdr
CSF2,-0.5555,0.00035870134717230426,-0.1054,-0.0346,34,1152,0.09458638023744982
ALDOC,-0.7283,0.00038014214078387006,-0.3926,-0.2596,34,1152,0.09813118029988875
PLEKHA4,0.6485,0.0003830897674971955,0.0923,0.0178,34,1152,0.09813118029988875
EFHC1,0.6148,0.0003890492146890141,0.0056,-0.0876,34,1152,0.09825410519139031
NDUFA11,-0.6781,0.0004051075100285406,-0.7262,-0.5468,34,1152,0.09864911477987619
SLC13A2,-0.5838,0.0004082355873114986,-0.2332,-0.1525,34,1152,0.09864911477987619
RCC1L,-0.6461,0.0004193624236329522,-0.6925,-0.5323,34,1152,0.09864911477987619
ARRB1,0.5426,0.00042178330382373403,-0.0353,-0.1116,34,1152,0.09864911477987619
DNAJB11,0.5676,0.00042503144782310084,-0.12,-0.2337,34,1152,0.09864911477987619
RMND5A,0.5668,0.00042584712544516996,-0.2585,-0.4124,34,1152,0.09864911477987619
PPM1B,-0.5451,0.0004291244745318355,-0.0726,-0.0092,34,1152,0.09864911477987619
L3MBTL1,0.5206,0.0004416254374319611,-0.0816,-0.1538,34,1152,0.09997680212937257
GFOD2,0.6304,0.00045620378686464123,-0.041,-0.1224,34,1152,0.09997680212937257
KCNK5,-0.6855,0.0004623361642800111,-0.07,0.0294,34,1152,0.09997680212937257
SART1,-0.8563,0.0004641023478319974,-1.447,-1.1845,34,1152,0.09997680212937257
SPATA31F1,0.5823,0.0004641023478319974,0.0011,-0.0748,34,1152,0.09997680212937257
RPRD1A,0.6147,0.00047392940611213366,0.0726,-0.0285,34,1152,0.09997680212937257
TFAM,-0.6373,0.00047392940611213366,-0.834,-0.6583,34,1152,0.09997680212937257
RBM42,-0.7083,0.0004922958186591426,-0.8385,-0.6542,34,1152,0.10264367819043123
ACRBP,-0.6393,0.0004988793552416194,-0.1012,-0.0272,34,1152,0.10282075538893651
MSRA,0.5745,0.0005065038787392539,0.1922,0.1378,34,1152,0.10320592101901775
C6orf58,0.6249,0.0005161873068290786,0.0968,0.0186,34,1152,0.10399724268260908
TGIF1,-0.6229,0.0005545800758686786,-0.3031,-0.1463,34,1152,0.11049083711556971
OR5D16,-0.6349,0.000573954700739787,-0.1317,-0.0499,29,1038,0.11270573231162287
TIGAR,0.5346,0.0005812715895734577,0.1298,0.0724,34,1152,0.11270573231162287
EIF2B3,-0.7504,0.0005845537396118971,-1.8254,-1.509,34,1152,0.11270573231162287
PIK3CB,0.4664,0.0005989767540362124,-0.0351,-0.1383,34,1152,0.11425800187897153
OR2AP1,-0.5757,0.0006086100973226834,-0.1756,-0.1152,29,1038,0.11435658912320475
ARHGAP27,0.6332,0.0006137304316604593,-0.0914,-0.1913,34,1152,0.11435658912320475
SNUPN,0.5493,0.0006194944304683809,-0.841,-1.03,34,1152,0.11435658912320475
RHOXF2,-0.6478,0.000625003944792486,-0.1591,-0.0698,29,1017,0.11435658912320475
SBSN,-0.6154,0.0006406645015094908,-0.11,-0.0326,34,1152,0.11603793107643111
DUSP7,-0.567,0.00065028776282244,-0.0533,0.0156,34,1152,0.11660309875169172
ETFDH,-0.8637,0.0006612745351041105,-0.0043,0.0851,34,1152,0.11739914543516639
CDKN2B,-0.609,0.0006836945636246201,0.0063,0.1074,34,1131,0.120189482552481
