gene,cohens_d,p_value,mean_test,mean_control,n_test,n_control,fdr
TTLL1,0.226,0.1109507186043289,0.0553,0.0178,80,1106,0.6145963033265635
TRAF2,0.147,0.1109507186043289,-0.3131,-0.3684,80,1106,0.6145963033265635
FADD,0.2259,0.11110223394107728,-0.2182,-0.2801,80,1106,0.6149317143759839
HOXA5,-0.1043,0.11117805283510465,-0.0827,-0.0675,80,1106,0.6149317143759839
SGF29,0.1414,0.11117805283510465,-0.5111,-0.565,80,1106,0.6149317143759839
PRAMEF12,0.1783,0.11117805283510465,-0.1085,-0.1347,80,1106,0.6149317143759839
CA11,-0.1155,0.11117805283510465,-0.1282,-0.1142,80,1106,0.6149317143759839
OXSR1,0.1492,0.11125391256399877,-0.0027,-0.0281,80,1106,0.6149822722990458
MFAP5,0.1508,0.11125391256399877,0.0477,0.0203,80,1106,0.6149822722990458
MAT2B,-0.2211,0.11132981314108052,0.0571,0.082,80,1106,0.6150329952819357
IGHMBP2,0.2168,0.11132981314108052,-0.114,-0.1459,80,1106,0.6150329952819357
SLPI,0.1937,0.11140575457966845,-0.0059,-0.0279,80,1106,0.6150838831015837
ID1,0.1803,0.11140575457966845,-0.026,-0.0583,80,1106,0.6150838831015837
PCDHAC1,-0.1047,0.111481736893079,-0.0966,-0.0818,80,1106,0.6151349355354419
GART,0.1885,0.111481736893079,-0.3001,-0.3701,80,1106,0.6151349355354419
TPP2,-0.1663,0.11155776009462658,-0.0769,-0.0558,80,1106,0.6153702296063558
CISD1,-0.1818,0.11166711032484297,0.0494,0.0657,73,994,0.6157891650728329
THY1,-0.1694,0.11170992921537881,0.0056,0.024,80,1106,0.6158410720949488
H4C4,0.159,0.11178607516120108,-0.1322,-0.1537,80,1106,0.6158924971897017
PFN4,-0.1682,0.11178607516120108,0.0319,0.0485,80,1106,0.6158924971897017
ATRNL1,-0.171,0.11186226204839561,0.1423,0.159,80,1106,0.6159440862790242
SRBD1,0.2938,0.11186226204839561,-1.5963,-1.7246,80,1106,0.6159440862790242
COX19,0.1544,0.11193848989026567,-0.2064,-0.2461,80,1106,0.6160477555598363
HSF5,-0.1437,0.11201475870011236,-0.1671,-0.1483,80,1106,0.6160477555598363
CLEC4F,-0.2587,0.11201475870011236,-0.0748,-0.0447,80,1106,0.6160477555598363
DOK2,-0.1767,0.11201475870011236,-0.0013,0.0187,80,1106,0.6160477555598363
FKBP1A,-0.2826,0.1121667948401779,-0.4404,-0.3644,68,978,0.6165194914639793
SAXO5,0.2777,0.11216741927692904,0.0876,0.0565,80,1106,0.6165194914639793
MRPL17,-0.1611,0.11239671773437913,-0.5117,-0.4653,80,1106,0.6167293407369816
KAT7,0.1871,0.11239671773437913,-0.2877,-0.3258,80,1106,0.6167293407369816
BCS1L,0.2114,0.11239671773437913,-0.3559,-0.4175,80,1106,0.6167293407369816
TM4SF20,-0.1614,0.11239671773437913,0.0403,0.061,80,1106,0.6167293407369816
ANKRD29,0.1343,0.11247323263128463,0.1328,0.1172,80,1106,0.6167293407369816
GPN3,-0.1976,0.11247323263128463,-1.2719,-1.2035,80,1106,0.6167293407369816
PPM1F,-0.2073,0.11247323263128463,0.018,0.0538,80,1106,0.6167293407369816
SCRG1,0.19,0.11247323263128463,0.1142,0.096,80,1106,0.6167293407369816
HAGHL,-0.1872,0.11254978858921214,-0.0741,-0.0545,80,1106,0.6169656118471977
SDHB,0.174,0.11262638562144497,-0.4512,-0.532,80,1106,0.6170185494595358
CCDC157,0.1506,0.11262638562144497,0.0623,0.046,80,1106,0.6170185494595358
CD6,-0.201,0.11277970296194799,-0.0735,-0.0436,80,1106,0.6172319184798185
TMEM94,0.1192,0.11277970296194799,0.0301,0.0085,80,1106,0.6172319184798185
CSNK2A2,-0.1766,0.11285642329677335,-0.0401,-0.0093,80,1106,0.6172319184798185
ACP2,-0.1737,0.11285642329677335,0.0166,0.0388,80,1106,0.6172319184798185
ADAM22,-0.1544,0.11293318475901427,-0.0285,-0.0096,80,1106,0.6172319184798185
TRAF3IP2,-0.1695,0.11293318475901427,0.0336,0.0505,80,1106,0.6172319184798185
SYNE4,0.206,0.11293318475901427,-0.0637,-0.0902,80,1106,0.6172319184798185
C1QL3,-0.2125,0.11293318475901427,0.0772,0.0989,80,1106,0.6172319184798185
METTL16,0.2228,0.11308683111882768,-1.1579,-1.2484,80,1106,0.6177054019779521
PLA2G12B,-0.1738,0.11308683111882768,-0.1407,-0.1179,80,1106,0.6177054019779521
RPS27L,0.1894,0.11316371604293708,-0.0457,-0.0742,80,1106,0.6179422705128984
PSEN1,0.1699,0.11324064214753561,-0.0373,-0.0598,80,1106,0.6181792235682023
CIROZ,-0.2229,0.11331760944588598,-0.1765,-0.1488,80,1106,0.6184162611411806
CCDC13,-0.1736,0.11339461795124853,0.0107,0.0296,80,1106,0.6186533832291408
INKA1,-0.1357,0.11354875863603987,-0.1364,-0.121,80,1106,0.6189088259918152
C1QTNF12,0.05,0.11354875863603987,-0.0466,-0.0531,80,1106,0.6189088259918152
MMGT1,0.1956,0.11362589084197776,-0.347,-0.4048,80,1106,0.6189088259918152
MYSM1,0.1655,0.11362589084197776,-0.1015,-0.1265,80,1106,0.6189088259918152
XRN1,-0.1762,0.11370306430794597,-0.646,-0.5709,80,1106,0.6189088259918152
ABCC8,0.17,0.11370306430794597,0.0572,0.0407,80,1106,0.6189088259918152
BTBD16,-0.1563,0.11370306430794597,0.0301,0.0462,80,1106,0.6189088259918152
GSDME,0.2116,0.11378027904719316,0.0129,-0.0078,80,1106,0.6189088259918152
ATP9A,-0.1279,0.11385753507296567,-0.0179,-0.0045,80,1106,0.6189088259918152
CGB7,0.2248,0.11386514601854307,0.0642,0.0283,68,978,0.6189088259918152
ZFYVE28,-0.1852,0.11393483239850741,-0.0848,-0.0633,80,1106,0.6189088259918152
SLC35G5,0.255,0.11393483239850741,0.0622,0.0273,80,1106,0.6189088259918152
CCDC86,-0.146,0.11393483239850741,-0.862,-0.8256,80,1106,0.6189088259918152
YWHAE,0.1925,0.1139907994713856,-0.3419,-0.3874,75,1090,0.6189088259918152
HOXD9,-0.1361,0.11401217103706018,-0.1784,-0.1589,80,1106,0.6189088259918152
PPP2R5E,0.2172,0.11401217103706018,-0.0809,-0.1145,80,1106,0.6189088259918152
KRT12,-0.1917,0.11401217103706018,-0.1228,-0.0974,80,1106,0.6189088259918152
GPR156,-0.1498,0.11408955100186312,0.0606,0.0779,80,1106,0.6189643533606082
RARG,0.1293,0.11408955100186312,-0.0262,-0.0482,80,1106,0.6189643533606082
RAG2,0.1793,0.1141669723061532,0.0303,0.0086,80,1106,0.6190314412212804
CFB,-0.1708,0.11424443496316483,-0.1965,-0.1754,80,1106,0.6190314412212804
BYSL,0.1999,0.11432193898613024,-1.2862,-1.3414,80,1106,0.6190314412212804
LRRC23,0.1994,0.1143994843882791,0.0576,0.0341,80,1106,0.6190314412212804
CEACAM20,-0.7675,0.11443770825506502,0.1091,0.3248,6,39,0.6190314412212804
UBTFL1,-0.6134,0.11443770825506502,0.0408,0.1467,6,39,0.6190314412212804
CROCC2,-0.984,0.11443770825506502,0.2912,0.4321,6,39,0.6190314412212804
DGKK,0.6135,0.11443770825506502,-0.0818,-0.1749,6,39,0.6190314412212804
SEC22B,0.5915,0.11443770825506502,-1.1663,-1.3905,6,39,0.6190314412212804
CCDC154,-0.7047,0.11443770825506502,0.0566,0.1333,6,39,0.6190314412212804
SRFBP1,0.129,0.11447707118283877,-0.7929,-0.8304,80,1106,0.6190627184674782
ZNF785,-0.2063,0.11455469938303411,-0.1438,-0.1175,80,1106,0.6192328918831945
CNTROB,0.1059,0.11463236900208783,-0.0326,-0.0483,80,1106,0.6192328918831945
NDUFB8,0.1554,0.11463236900208783,-0.4056,-0.4458,80,1106,0.6192328918831945
