gene,cohens_d,p_value,mean_test,mean_control,n_test,n_control,fdr
KDM6A,-0.5453,2.1627149832509296e-05,0.0292,0.1304,37,1149,0.00587570338858673
CSH2,0.6834,2.2954010176289218e-05,-0.2944,-0.4616,33,1013,0.006143109798075253
ARHGEF40,-0.6966,2.3743318286320124e-05,-0.1774,-0.0765,37,1149,0.006249932512061544
HLA-A,0.7232,2.4315505094933157e-05,-0.0779,-0.1778,37,1149,0.006249932512061544
EXOC3,-0.6415,2.457990481556827e-05,-0.7401,-0.6131,37,1149,0.006249932512061544
HSP90B1,0.6386,2.5062730992503106e-05,-0.3885,-0.5745,37,1149,0.006249932512061544
NOP9,-0.7056,2.5116931836108274e-05,-1.197,-0.9073,37,1149,0.006249932512061544
PM20D1,-0.9229,2.5444485716384623e-05,-0.1539,-0.0395,37,1149,0.006249932512061544
PSG5,0.7307,2.6853543113208543e-05,0.0046,-0.0885,37,1149,0.006501392407042293
CA5A,-0.7845,2.737873187850029e-05,-0.5094,-0.38,37,1149,0.006501392407042293
RNASE3,0.8012,2.7555954655915134e-05,-0.0303,-0.1244,37,1149,0.006501392407042293
OR1E2,-0.7107,2.7982934656076758e-05,-0.4906,-0.3759,33,1034,0.006516389627507952
KCNK5,-0.7161,2.9326275355314545e-05,-0.074,0.0298,37,1149,0.00674165953071981
MRPS18C,-0.7019,3.0609609110713526e-05,-0.427,-0.2245,37,1149,0.006947606341319041
PCDHB11,0.7131,3.1606944766114586e-05,0.0778,-0.0062,37,1149,0.007084301582515008
PLEKHB2,-0.7598,3.270476851411445e-05,-0.1245,-0.0325,37,1149,0.007171616304111006
RABL2B,-0.775,3.279792537416551e-05,-0.2947,-0.1678,37,1128,0.007171616304111006
MUC22,0.5109,3.3196372385322263e-05,0.1972,0.1422,37,1149,0.007171616304111006
SERPINB3,0.5616,3.462460840286702e-05,0.2338,0.1588,37,1128,0.007391117300854864
GYS1,-0.7672,3.621972386585256e-05,-0.068,0.033,37,1149,0.007640657278101203
NUP43,0.7943,3.6839356539857565e-05,-0.8748,-1.2438,37,1149,0.007681005838560301
R3HCC1L,0.7072,3.77078015449249e-05,0.0433,-0.032,37,1149,0.0077717079253109
PRMT1,-0.6753,3.958684700262927e-05,-1.6252,-1.3728,37,1149,0.008066269927319835
SUMF2,-0.5641,4.0516618319843795e-05,-0.0758,-0.0048,37,1149,0.00816296048419235
IFT70A,0.6774,4.1318276016236776e-05,0.0284,-0.0896,37,1128,0.008231977858301574
ADAM21,0.655,4.334066701942313e-05,0.0477,-0.0454,37,1149,0.008540016487090947
ZNF799,0.7355,4.509643256296991e-05,0.1811,0.1002,33,1034,0.008789392742245798
HIGD2A,-0.8923,4.5771688616834927e-05,-0.3921,-0.2494,37,1149,0.008804689325307759
PSG3,0.7938,4.61569793418621e-05,0.0807,-0.0409,37,1149,0.008804689325307759
RCC1L,-0.7338,4.782904087861218e-05,-0.7127,-0.5313,37,1149,0.009027605599940999
GYPE,0.7746,4.9169554077029087e-05,0.0253,-0.0845,33,1013,0.00912298437108797
BRD2,-0.6749,4.93519315150038e-05,-0.6816,-0.4273,37,1149,0.00912298437108797
RIOX2,-0.7236,5.102695970903495e-05,-0.1964,-0.1075,37,1149,0.009336371576966384
MRPL32,-0.6849,5.1776603506148464e-05,-0.71,-0.5405,37,1149,0.009377841186553012
VRK1,0.6258,5.286564802456832e-05,-0.2143,-0.4137,37,1149,0.009444234807771392
KIR3DL1,0.7489,5.319657105487204e-05,0.2002,0.1004,37,1149,0.009444234807771392
OR10H3,0.7212,5.448582358640564e-05,0.1108,0.0436,33,1034,0.009554061242073373
CUL4B,0.5388,5.488083809790627e-05,0.0659,-0.0341,37,1149,0.009554061242073373
ZNF816,0.6684,5.6615541351423974e-05,0.0742,-0.0169,37,1149,0.009761281461272918
MFSD5,0.6554,5.925397241150342e-05,0.1275,0.0486,37,1149,0.010118885517244455
IDS,-0.6911,6.188076003366542e-05,-0.0909,-0.0138,37,1149,0.010467772718525045
C14orf39,0.7153,6.488407175201119e-05,0.1961,0.0939,37,1149,0.010841759187849551
ANXA8,0.664,6.53008751484999e-05,0.06,-0.034,33,1013,0.010841759187849551
ZSCAN5A,0.6159,6.746860262141289e-05,0.0639,-0.023,37,1149,0.011098894620225272
MAP4K4,-0.6974,6.972030990039276e-05,-0.0925,0.0616,37,1149,0.011365044334763114
KIAA1143,-0.6741,7.428680947047759e-05,-0.5249,-0.4133,37,1149,0.012000331356893096
TMEM70,-0.6702,7.504932424399182e-05,-0.18,-0.0959,37,1149,0.012015262794812655
CYP2C9,0.7418,7.675299028607634e-05,0.1756,0.1037,37,1149,0.012179273175394998
SLC66A2,-0.6984,7.833345195141597e-05,0.0277,0.1184,37,1149,0.012321027429305612
BDH2,-0.7534,7.9619922728591e-05,-0.2709,-0.1435,37,1149,0.012382820649085153
SLC27A5,-0.8471,8.010747840577089e-05,-0.2333,-0.1102,37,1149,0.012382820649085153
METTL17,-0.7647,8.158713437753533e-05,-0.7268,-0.5299,37,1149,0.012412723780274719
